html,link,link_area,area_name
"  Section 150, Unknown Area 15 - No spawn records",NA,"  Section 150, Unknown Area 15 - No spawn records",NA
"<a href=""151tab-eng.html"">Section 151</a>, Redonda Islands ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/151tab-eng.html,Section 151,Redonda Islands 
"<a href=""152tab-eng.html"">Section 152</a>, Powell River ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/152tab-eng.html,Section 152,Powell River 
"  Section 160, Unknown Area 16 - No spawn records",NA,"  Section 160, Unknown Area 16 - No spawn records",NA
"<a href=""161tab-eng.html"">Section 161</a>, Sabine Channel ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/161tab-eng.html,Section 161,Sabine Channel 
"<a href=""162tab-eng.html"">Section 162</a>, Hotham Sound ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/162tab-eng.html,Section 162,Hotham Sound 
"<a href=""163tab-eng.html"">Section 163</a>, Malaspina Strait ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/163tab-eng.html,Section 163,Malaspina Strait 
"<a href=""164tab-eng.html"">Section 164</a>, Jervis Inlet ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/164tab-eng.html,Section 164,Jervis Inlet 
"<a href=""165tab-eng.html"">Section 165</a>, Sechelt Inlet ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/165tab-eng.html,Section 165,Sechelt Inlet 
"  Section 170, Unknown Area 17 - No spawn records",NA,"  Section 170, Unknown Area 17 - No spawn records",NA
"  Section 171, Other Area 17 - No spawn records ",NA,"  Section 171, Other Area 17 - No spawn records ",NA
"<a href=""172tab-eng.html"">Section 172</a>, Nanoose Bay ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/172tab-eng.html,Section 172,Nanoose Bay 
"<a href=""173tab-eng.html"">Section 173</a>, Yellow Point ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/173tab-eng.html,Section 173,Yellow Point 
"  Section 180, Unknown Area 18 - No spawn records",NA,"  Section 180, Unknown Area 18 - No spawn records",NA
"<a href=""181tab-eng.html"">Section 181</a>, Swanson Channel ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/181tab-eng.html,Section 181,Swanson Channel 
"<a href=""182tab-eng.html"">Section 182</a>, Plumper Sound ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/182tab-eng.html,Section 182,Plumper Sound 
"  Section 190, Unknown Area 19 - No spawn records",NA,"  Section 190, Unknown Area 19 - No spawn records",NA
"<a href=""191tab-eng.html"">Section 191</a>, Saanich Inlet ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/191tab-eng.html,Section 191,Saanich Inlet 
"<a href=""192tab-eng.html"">Section 192</a>, Cordova Bay ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/192tab-eng.html,Section 192,Cordova Bay 
"<a href=""193tab-eng.html"">Section 193</a>, Victoria Harbour ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/193tab-eng.html,Section 193,Victoria Harbour 
"  Section 200, Unknown Area 20 - No spawn records",NA,"  Section 200, Unknown Area 20 - No spawn records",NA
"  Section 201, Port San Juan - No spawn records ",NA,"  Section 201, Port San Juan - No spawn records ",NA
"<a href=""202tab-eng.html"">Section 202</a>, Sooke Harbour ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/202tab-eng.html,Section 202,Sooke Harbour 
"<a href=""280tab-eng.html"">Section 280</a>, Howe Sound",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/280tab-eng.html,Section 280,Howe Sound
"<a href=""291tab-eng.html"">Section 291</a>, Fraser Foreshore",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/291tab-eng.html,Section 291,Fraser Foreshore
"<a href=""292tab-eng.html"">Section 292</a>, Sechelt ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/292tab-eng.html,Section 292,Sechelt 
"<a href=""293tab-eng.html"">Section 293</a>, Boundary Bay <hr>",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/293tab-eng.html,Section 293,Boundary Bay <hr>
"  Section 210, Unknown Area 21 - No spawn records ",NA,"  Section 210, Unknown Area 21 - No spawn records ",NA
"  Section 211, Clo-oose - No spawn records ",NA,"  Section 211, Clo-oose - No spawn records ",NA
"  Section 219, Offshore Area 21 - No spawn records ",NA,"  Section 219, Offshore Area 21 - No spawn records ",NA
"<a href=""220tab-eng.html"">Section 220</a>, Nitinat Lake",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/220tab-eng.html,Section 220,Nitinat Lake
"  Section 230, Unknown Area 23 - No spawn records",NA,"  Section 230, Unknown Area 23 - No spawn records",NA
"<a href=""231tab-eng.html"">Section 231</a>, Trevor Channel ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/231tab-eng.html,Section 231,Trevor Channel 
"<a href=""232tab-eng.html"">Section 232</a>, West Barkley Sound ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/232tab-eng.html,Section 232,West Barkley Sound 
"<a href=""233tab-eng.html"">Section 233</a>, Imperial Eagle Channel ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/233tab-eng.html,Section 233,Imperial Eagle Channel 
"  Section 239, Offshore Area 23 - No spawn records ",NA,"  Section 239, Offshore Area 23 - No spawn records ",NA
"  Section 240, Unknown Area 24 - No spawn records",NA,"  Section 240, Unknown Area 24 - No spawn records",NA
"<a href=""241tab-eng.html"">Section 241</a>, Tofino Inlet ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/241tab-eng.html,Section 241,Tofino Inlet 
"<a href=""242tab-eng.html"">Section 242</a>, Hesquiat Harbour ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/242tab-eng.html,Section 242,Hesquiat Harbour 
"<a href=""243tab-eng.html"">Section 243</a>, Sydney Inlet ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/243tab-eng.html,Section 243,Sydney Inlet 
"<a href=""244tab-eng.html"">Section 244</a>, Millar Channel ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/244tab-eng.html,Section 244,Millar Channel 
"<a href=""245tab-eng.html"">Section 245</a>, Vargas Island ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/245tab-eng.html,Section 245,Vargas Island 
"  Section 249, Offshore Area 24 - No spawn records ",NA,"  Section 249, Offshore Area 24 - No spawn records ",NA
"  Section 250, Unknown Area 25 - No spawn records",NA,"  Section 250, Unknown Area 25 - No spawn records",NA
"<a href=""251tab-eng.html"">Section 251</a>, Tahsis Inlet ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/251tab-eng.html,Section 251,Tahsis Inlet 
"<a href=""252tab-eng.html"">Section 252</a>, Nootka Sound ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/252tab-eng.html,Section 252,Nootka Sound 
"<a href=""253tab-eng.html"">Section 253</a>, Esperanza Inlet ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/253tab-eng.html,Section 253,Esperanza Inlet 
"  Section 259, Offshore Area 25 - No spawn records ",NA,"  Section 259, Offshore Area 25 - No spawn records ",NA
"  Section 260, Unknown Area 26 - No spawn records",NA,"  Section 260, Unknown Area 26 - No spawn records",NA
"<a href=""261tab-eng.html"">Section 261</a>, Tahsish Inlet ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/261tab-eng.html,Section 261,Tahsish Inlet 
"<a href=""262tab-eng.html"">Section 262</a>, Clannick Cove ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/262tab-eng.html,Section 262,Clannick Cove 
"<a href=""263tab-eng.html"">Section 263</a>, Checleset Bay ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/263tab-eng.html,Section 263,Checleset Bay 
"  Section 270, Unknown Area 27 - No spawn records",NA,"  Section 270, Unknown Area 27 - No spawn records",NA
"<a href=""271tab-eng.html"">Section 271</a>, Quatsino Sound ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/271tab-eng.html,Section 271,Quatsino Sound 
"<a href=""272tab-eng.html"">Section 272</a>, Brooks Bay ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/272tab-eng.html,Section 272,Brooks Bay 
"<a href=""273tab-eng.html"">Section 273</a>, Forward Inlet ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/273tab-eng.html,Section 273,Forward Inlet 
"<a href=""274tab-eng.html"">Section 274</a>, Holberg Inlet ",http://www.pac.dfo-mpo.gc.ca/science/species-especes/pelagic-pelagique/herring-hareng/herspawn/274tab-eng.html,Section 274,Holberg Inlet 
