order_no,issued_date,revoked_date,closes_area,species,closure_type
PTN-2010-81,2010-03-04,2010-03-11,Subarea 23-3,"All BM except Manila clams, littleneck clams, varnish clams, oysters and mussels, ",biotoxins
PTN-2010-82,2010-03-04,2010-03-11,Area 24 except 24-2 to 24-14,All BM,biotoxins
PTN-2010-83,2010-03-04,2010-03-11,"SA 24-2 to 24-7, 24-9 to 24-24-14","All BM except manila clams, littleneck clams,  oysters, mussels",biotoxins
PTN-2010-84,2010-03-11,2010-04-01,Area 23 except 23-3 to 23-11,All BM,biotoxins
PTN-2010-85,2010-03-11,2010-04-01,SA 23-3 to 23-11,"All BM except Manila clams, littleneck clams, varnish clams, oysters and mussels, ",biotoxins
PTN-2010-86,2010-03-11,2010-04-29,Area 24 except 24-2 to 24-14,All BM,biotoxins
PTN-2010-87,2010-03-11,2010-04-29,SA 24-2 to 24-14,"All BM except manila clams, littleneck clams,  oysters, mussels",biotoxins
PTN-2010-88,2010-03-15,2010-03-18,"Areas 3-10 except 7-15, 7-17, 7-18, 7-22 to 7-24, 7-27 and 7-28",All BM,biotoxins
PTN-2010-89,2010-03-18,2010-03-19,"Areas 3-10 except 7-18, 7-23, 7-24, 7-27 and 7-28",All BM,biotoxins
PTN-2010-90,2010-03-18,2010-03-19,"7-18, 7-23, 7-24, 7-27and 7-28",All BM except Gducks and Horse,biotoxins
PTN-2010-91,2010-03-19,2010-03-25,"Areas 3-10 except 7-18, 7-27 and 7-28",All BM,biotoxins
PTN-2010-92,2010-03-19,2010-03-25,"7-18, 7-27and 7-28",All BM except Gducks and Horse,biotoxins
PTN-2010-93,2010-03-19,2010-11-10,SA 15-5,gducks and horseclams,biotoxins
PTN-2010-94,2010-03-19,2010-04-01,"Area 12 to 29, except 13-1 to 13-12, 13-14 to 13-17, 14-5, 14-8 and14-15, 15-4, 15-5, 16-16, 17-20, 18-1, 23-6)",Scallops,biotoxins
PTN--2010-95,2010-03-25,2010-04-06,"Areas 3-10 except 7-1, 7-18 to 7-21, 7-27, 7-28 and 7-32",All BM,biotoxins
PTN--2010-96,2010-03-25,2010-04-06,"SA  7-1, 7-18 to 7-21, 7-27, 7-28 and 7-32",All BM except Gducks and Horse,biotoxins
PSN-2010-97,2010-03-26,2010-11-08,New sanitary closure 16.31,All BM,sanitary closure
PTN-2010-98,2010-04-01,2010-05-25,Area 12,All BM,biotoxins
PTN-2010-99,2010-04-01,2010-04-09,"Area 23 except 23-3 to23-6 and 23-7 to 23-11, except that portion of 23-6 (Useless inlet)",All BM,biotoxins
PTN-2010-100,2010-04-01,2010-04-09,SA 23-6 to 23-6 except portion 23-6 and 23-7 to 23-11,"All BM except Manila, Littleneck, Varnish Clams, oysters and mussel",biotoxins
PTN-2010-101,2010-04-01,2010-04-09,"Areas 12 to 29, except 13-1 to 13-12, 13-14 to 13-17, 14-5, 14-8, 14-15, 15-4, 15-5, 16-16, 17-20, 18-1, 23-6, except Useless Inlet",Scallops,biotoxins
PTN-2010-102,2010-04-06,2010-04-07,"Areas 3-10 except 6-16, 6-17,  7-1,7-3, 7-18 to 7-21, 7-27, 7-28 and 7-32",All BM,biotoxins
PTN-2010-103,2010-04-06,2010-04-07,"SA  6-16, 6-17, 7-1, 7-3, 7-18 to 7-21, 7-27, 7-28 and 7-32",All BM except Gducks and Horse,biotoxins
PTN-2010-104,2010-04-07,2010-04-16,"Areas 3-10 except 6-16, 6-17,  7-1, 7-3, 7-19 to 7-21 and 7-32",All BM,biotoxins
PTN-2010-105,2010-04-07,2010-04-16,"SA  6-16, 6-17, 7-1, 7-3, 7-19 to 7-21, and 7-32",All BM except Gducks and Horse,biotoxins
PTN-2010-106,2010-04-09,2010-04-27,Area 23 except 23-3 to 23-11,All BM,biotoxins
PTN-2010-107,2010-04-09,2010-04-27,SA 23-6 to 23-11,"All BM except Manila, Littleneck, Varnish Clams, oysters and mussel",biotoxins
PTN-2010-108,2010-04-09,2010-06-03,"Areas 12 to 29, except 13-1 to 13-12, 13-14 to 13-17, 14-5, 14-8, 14-15, 15-4, 15-5, 16-16, 17-20, 18-1, 23-6",Scallops,biotoxins
PTN-2010-109,2010-04-16,2010-04-27,"Areas 3-10 except 6-13, 6-16, 6-17,  7-1, 7-3, 7-19 to 7-21 and 7-32",All BM,biotoxins
PTN-2010-110,2010-04-16,2010-04-27,"SA  6-13, 6-16, 6-17, 7-1, 7-3, 7-19 to 7-21, and 7-32",All BM except Gducks and Horse,biotoxins
PTN-2010-111,2010-04-19,2010-06-09,"Area 25 : 25-1 to 25-9, 25-11 AND25-15","All BM except Manila and littleneck clams, oysters, mussels, gducks & hclams",biotoxins
PTN-2010-112,2010-04-19,2010-06-09,SA 25-12 TO 14,"All BM except Manila and littleneck clams, oysters, mussels",biotoxins
PTN-2010-113,2010-04-19,2010-04-23,"Area 26, except SA 26-1, 26-6 and 26-7",All B.M.,biotoxins
PTN-2010-114,2010-04-19,2010-05-21,"SA 26-1, 26-6, 26-7",All BM except Gducks and Horse,biotoxins
PTN-2010-115,2010-04-23,2010-05-21,"Area 26, except 26-1 to26-7",All BM,biotoxins
PTN-2010-116,2010-04-23,2010-05-21,Subareas 26-2 to26-5,"All BM, except Manila Clams, Littleneck Clams, Oysters, Mussels",biotoxins
PTN-2010-117,2010-04-27,2010-05-27,"Areas 3-10 except 6-13, 6-16, 6-17,  7-1 to 7-3, and 7-31",All BM,biotoxins
PTN-2010-118,2010-04-27,2010-05-27,"SA  6-13, 6-16, 6-17, 7-1to 7-3, and 7-31",All BM except Geoducks and horseclams,biotoxins
PTN-2010-119,2010-04-27,2010-05-06,"Area 23 except 23-3, 23-5, 23-6 AND 23-8 to 23-11",All BM,biotoxins
PTN-2010-120,2010-04-27,2010-05-06,"SA 23-3, 23-5, 23-6 AND 23-8 to 23-11","All BM except Manila, Littleneck, Varnish Clams, oysters and mussel",biotoxins
PSN-2010-121,2010-04-28,2010-10-15,Seasonal closure May 1 to Oct. 15 5A Grenville channel,All BM,sanitary closure
PTN-2010-122,2010-04-29,2010-05-07,Area 24 except 24-8 to 24-12,All BM,biotoxins
PTN-2010-123,2010-04-29,2010-05-07,SA 24-8 to 24-12,"All BM except manila clams, littleneck clams,  oysters, mussels",biotoxins
PSN-2010-124,2010-05-04,2010-09-15,"Seasonal closures for Area 2, June 15 to Sept. 15, 2010",All BM,sanitary closure
PSN-2010-125,2010-05-06,2011-04-29,Area 12- new closures Port Harvey 12.28 and Karlukwees 12.29,All BM,sanitary closure
PSN-2010-127,2010-05-07,2010-09-30,"Seasonal closures May 31 to Sept. 30 (Areas 7, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 23 , 25 and 28)",All BM,sanitary closure
PTN-2010-128,2010-05-05,2010-06-02,SA 16-1 to 16-22,Geoduck and horseclams,biotoxins
PTN-2010-129,2010-05-06,2010-08-27,"Area 2, except SA 2-1",All BM,biotoxins
PTN-2010-130,2010-05-06,2010-09-03,SA 2-1,All BM except Oysters and Scallops,biotoxins
PTN-2010-131,2010-05-06,2010-05-21,"Area 23 except 23-3, 23-5, 23-6, 23-10, 23-11",All BM,biotoxins
PTN-2010-132,2010-05-06,2010-05-21,"SA 23-3, 23-5, 23-6, 23-10 and 23-11","All BM except Manila, Littleneck, Varnish Clams, oysters and mussel",biotoxins
PTN-2010-133,2010-05-07,2010-06-18,Area 24 except 24-2 to 24-14,All BM,biotoxins
PTN-2010-134,2010-05-07,2010-05-27,SA 24-2 to 24-14,"All BM except manila clams, littleneck clams,  oysters, mussels",biotoxins
PSN-2010-135,2010-05-14,2010-05-19,"Area 14, Baynes Sounds B and C seasonal closure",AL  BM,sanitary closure
PSN-2010-137,2010-05-18,2010-05-31,"Area 15, 15.1 amended,15.20 new",All B.M.,sanitary closure
PSN-2010-138,2010-05-18,2010-11-08,"Area 16 - 16.32 new, 16.33 new, 16.34 new, 16.35 new, amend 16.20; NOTE: closure 16.31 is in order PSN-2010-97.",ALL B.M.,sanitary closure
PSN-2010-139,2010-05-18,2010-11-17,Area 14 - revoke 14.25 and 14.15,All B.M.,sanitary closure
PSN-2010-140,2010-05-18,2010-05-31,Area 17 - amend closure 17.21,All BM,sanitary closure
PSN-2010-141,2010-05-18,2011-06-01,Area 18 - revoke 18.25,All B.M.,sanitary closure
PSN-2010-142,2010-05-18,2010-12-10,"Area 23, revoke 23.15, amend 23.12, new 23.18",All B.M.,sanitary closure
PSN-2010-143,2010-05-18,2011-11-18,Area 25 - revoke 25.10,All B.M.,sanitary closure
PSN-2010-144,2010-05-19,2010-06-21,"Area 14, Baynes Sounds B (AMENDED B, and C seasonal closure)",All.B.M.,sanitary closure
PTN-2010-145,2010-05-21,2010-05-27,Area 23 except 23-3 to 23-7 and 23-10 to 23-11,ALL BM,biotoxins
PTN-2010-146,2010-05-21,2010-05-27,23-3 to 23-7 and 23-10 to 23-11,"All BM except Manila, Littlenecks, Varnish Oysters and Mussels",biotoxins
PTN-2010-147,2010-05-21,2010-12-03,Area 26,ALL BM,biotoxins
PTN-2010-148,2010-05-25,2010-08-20,Area 12 except 12-10 to 12-13 and 12-15 to 12-16,ALL BM,biotoxins
PTN-2010-149,2010-05-21,2010-08-20,12-10 to 12-13 and 12-15 to 12-16,All BM except Gducks and Horse,biotoxins
PTN-2010-150,2010-05-27,2010-06-03,"Area 23, except 23-3 to 23-11",All BM,biotoxins
PTN-2010-151,2010-05-27,2010-06-03,23-3 to 23-11,"All BM, except Manila Clams, Littleneck Clams, varnish Oysters, Mussels",biotoxins
PTN-2010-152,2010-05-27,2010-06-18,24-2 to 24-7 and 24-9 to 24-14,"All BM, except Manila Clams, Littleneck Clams, Oysters, Mussels",biotoxins
PTN-2010-153,2010-05-27,2010-07-06,SA 24-8,"All BM, except Manila Clams, Littleneck Clams, Razor, Oysters, Mussels",biotoxins
PTN-2010-154,2010-05-27,2010-06-01,"Areas 3-10 except 6-13, 6-16,  7-1 to 7-3, 7-26, 7-27, 7-31, 8-2 AND 8-4",All BM,biotoxins
PTN-2010-155,2010-05-27,2010-06-01,"6-13, 6-16, 6-17, 7-1to 7-3, and 7-31",All BM except Geoducks and horseclams,biotoxins
PTN-2010-155,2010-05-27,2010-06-01,"Subareas 6-13, 6-17, 7-1 to 7-3, 7-26, 7-27, 7-31, 8-2 and 8-4",All BM,biotoxins
PTN-2010-156,2010-05-27,2010-06-02,"Area 16, except 16-1 to 16-4, 16-9 to 16-13",All BM,biotoxins
PSN-2010-157,2010-05-31,2010-11-08,"Area 17 - new closures 17.40 (Northumberland Channel, Duke Point), 17.39 (Schooner Cove, Nanoose), 17.41 (Hammond Bay)",All BM,sanitary closure
PSN-2010-158,2010-05-31,2011-11-18,"Area 15, amend 15.3 (Lund), new 15.21 (Sliammon)",All B.M.,sanitary closure
PTN-2010-159,2010-06-01,2010-06-07,"Area 3-10, except 6-13, 6-17, 7-1 to 7-3, 7-26, 7-27, 7-31 and 8-4",All B.M.,biotoxins
PTN-2010-160,2010-06-01,2010-06-07,"SA 6-13, 6-17, 7-1 to 7-3, 7-26, 7-27, 7-31 and 8-4","All BM, Except Gducks and Hclams",biotoxins
PTN-2010-161,2010-06-02,2010-07-21,"Area 16 except 16-1 to 16-4, 16-10 to 16-13, 16-16 to 16-22",All BM,biotoxins
PTN-2010-162,2010-06-02,2010-06-25,"SA 16-1 to 16-20, 16-22","All BM, Except Gducks and Hclams",biotoxins
PTN-2010-163,2010-06-03,2010-06-16,"Area 20, except SA 20-4 to 20-7",All BM,biotoxins
PTN-2010-164,2010-06-03,2010-07-07,"Area 23, except 23-3 to 23-6 (except SA 23-6 Useless Inlet), 23-7 to 23-11",All BM,biotoxins
PTN-2010-165,2010-06-03,2010-07-07,"SA 23-3 to 23-6 (except Useless Inlet), 23-7 to 23-11","All BM, except Manila Clams, Littleneck Clams, Varnish Clams, Oysters, Mussels",biotoxins
PTN-2010-166,2010-06-03,2010-06-18,"Areas 12 to 29, except 13-1 to 13-12, 13-14 to 13-17, 14-5, 14-8, 14-15, 15-4, 15-5, 16-16, 17-20, 18-1, 23-6 (except Useless Inlet)",Scallops,biotoxins
PTN-2010-167,2010-06-07,2010-06-08,"Subareas 6-13, 6-17, 7-1,  7-2, 7-26, 7-27, 7-31, and 8-4",All BM,biotoxins
PTN-2010-168,2010-06-01,2010-06-08,"SA 6-13, 6-17, 7-1,  7-2, 7-26, 7-27, 7-31 and 8-4","All BM, Except Gducks and Hclams",biotoxins
PTN-2010-169,2010-06-08,2010-06-16,"Area 3 to 10, except 6-13, 6-17, 7-1 to 7-2 and 7-31",All BM,biotoxins
PTN-2010-170,2010-06-08,2010-06-16,"6-13, 6-17, 7-1, 7-2, 7-31","All BM, Except Gducks and Hclams",biotoxins
PTN-2010-171,2010-06-09,2010-06-17,"Area 25, except 25-1 to 25-5, 25-8, 25-9, 25-11 and 25-12",All BM,biotoxins
PTN-2010-172,2010-06-09,2010-06-17,"SA 25-1 to 25-5, 25-8, 25-9, 25-11 ","All BM, except Manila, Littlenecks, Oysters and Mussels",biotoxins
PTN-2010-173,2010-06-09,2010-06-17,SA 25-12   ,"All BM, except Manila, Littlenecks, Oysters and Mussels, Gducks and Horse Clams",biotoxins
PTN-2010-174,2010-06-16,2010-06-23,"Area 3 to 10, except 7-1, 7-2 and 7-31",All BM,biotoxins
PTN-2010-175,2010-06-16,2010-06-23," 7-1, 7-2, 7-31","All BM, Except Gducks and Hclams",biotoxins
PTN-2010-176,2010-06-16,2010-06-24,SA 17-9,All shellfish,biotoxins
PTN-2010-177,2010-06-16,2010-06-17,"Area 18 except 18-1 to 18-4, 18-6, 18-9 and 18-10",All BM,biotoxins
PTN-2010-178,2010-06-16,2010-06-17,SA 19-8 to 19-12,"All bm except manila, littlenecks, oysters and mussels",biotoxins
PTN-2010-179,2010-06-17,2010-06-17,"Area 25 except SA 25-1 to 25-5, 25-11, 25-12",All BM,biotoxins
PTN-2010-180,2010-06-17,2010-06-17," SA 25-1 to 25-5, 25-11","All BM, Except Gducks and Hclams",biotoxins
PTN-2010-181,2010-06-17,2010-07-07,Area 25 except SA 25-1 to 25-5,All BM,biotoxins
PTN-2010-182,2010-06-17,2010-07-07, SA 25-1 to 25-5,"All BM, Except Gducks and Hclams",biotoxins
PTN-2010-183,2010-06-17,2010-06-18,Area 18 (except 18-1 to 18-4 and 18-9),All BM,biotoxins
PTN-2010-184,2010-06-17,2010-07-02, Area 19 (except 19-5 and 19-6),All BM,biotoxins
PTN-2010-185,2010-06-18,2010-06-23,Area 18 (except 18-2 to 18-4 and 18-9),All BM,biotoxins
PTN-2010-186,2010-06-18,2010-06-23,"Areas 12 to 29, except 13-1 to 13-12, 13-14 to 13-17, 14-5, 14-8, 14-15, 15-4, 15-5, 16-16,  17-20, 23-6 (except Useless Inlet)",Scallops,biotoxins
PTN-2010-187,2010-06-18,2010-06-25,Area 24 except 24-8 to 24-12,ALL BM,biotoxins
PTN-2010-188,2010-06-18,2010-06-25,SA 24-9 to 24-12,"All bm except manila, littlenecks, oysters and mussels",biotoxins
PSN-2010-189,2010-06-21,2010-06-25,Section B remains closed;opens C,All BM,sanitary closure
PTN-2010-190,2010-06-23,2010-06-24,"Area 18, except SA 18-1to 18-4 and 18-9",All BM,biotoxins
PTN-2010-191,2010-06-23,2010-07-02,"Area 12, Area 13, except SA 13-1 to 13-12, 13-14 to 13-18, Area 14 (except SA 14-5, 14-8, 14-15, Area 15 (except SA 15-4, 15-5), Areas 16 to 29 (except SA 16-16, 17-20, 18-1, 23-6)",Scallops,biotoxins
PTN-2010-192,2010-06-23,2010-07-02,SUBArea 18-1,"All Bm, except Pink Scallops and Spiny Scallops",biotoxins
PTN-2010-193,2010-06-23,2010-08-24,Area 3-10 ,All BM,biotoxins
PTN-2010-194,2010-06-24,2010-07-02,"Area 18 except 18-1 to 18-4, 18-6, 18-9 and 18-10",All BM,biotoxins
PTN-2010-195,2010-06-25,2010-07-21,Subareas 16-3 to 16-20 and 16-22,gducks and horseclams,biotoxins
PTN-2010-196,2010-06-25,2010-07-06,Area 24 except 24-8 and 24-9,"All bm except manila, littlenecks, oysters and mussels",biotoxins
PTN-2010-197,2010-06-25,2010-07-02,Subarea 24-9,All BM,biotoxins
PTN-2010-198,2010-07-02,2010-07-07,Subarea 24-9,"All bm except manila, littlenecks, oysters and mussels, Gducks and Hclams",biotoxins
PTN-2010-199,2010-07-02,2010-10-22,Area 19,All BM,biotoxins
PTN-2010-201,2010-07-02,2010-08-18,"Area 12, Area 13, except SA 13-1 to 13-12, 13-14 to 13-17, Area 14 (except SA 14-5, 14-8, 14-15, Area 15 (except SA 15-4, 15-5), Areas 16 to 29 (except SA 16-16, 17-20,  23-6)",Scallops,biotoxins
PTN-2010-200,2010-07-02,2010-08-18,Area 18,All BM,biotoxins
PTN-2010-202,2010-07-06,2010-08-26,"Area 24, except 24-9",All BM,biotoxins
PTN-2010-203,2010-07-07,2010-10-28,Subarea 24-9,"All bm except manila, littlenecks, oysters and mussels",biotoxins
PTN-2010-204,2010-07-07,2010-07-16,"Area 23, except 23-3, 23-5,  ptn 23-6",All BM,biotoxins
PTN-2010-205,2010-07-07,2010-07-16,"SA 23-3, 23-5, ptn 23-6","All BM, except manila, littlenecks, oysters and mussels",biotoxins
PTN-2010-206,2010-07-07,2010-07-30,Area 25 except SA 25-1 to 25-3,All BM,biotoxins
PTN-2010-207,2010-07-07,2010-07-30, SA 25-1 to 25-3,"All BM, Except Gducks and Hclams",biotoxins
PTN-2010-208,2010-07-07,2010-08-06,"SA 17-1 to17-3, 17-6, 17-8 and 17-9",All BM,biotoxins
PTN-2010-209,2010-07-15,2010-08-05,Area 20,All BM,biotoxins
PTN-2010-210,2010-07-15,2010-07-21,"Area 29, except SA 29-1, 29-2",All B.M.,biotoxins
PTN-2010-211,2010-07-15,2010-08-20,"Area 27, except SA 27-7 to 27-11",All B.M.,biotoxins
PTN-2010-212,2010-07-15,2010-08-20,SA 27-7 to 27-11,"All bm except manila, littlenecks, oysters and mussels",biotoxins
PTN-2010-213,2010-07-16,2010-10-20,"Area 23, except 23-3 to 23-5,  ptn 23-6, 23-7 to 23-11",All BM,biotoxins
PTN-2010-214,2010-07-16,2010-10-20,"SA 23-3 to 23-5, ptn 23-6, 23-7 to 23-11","All BM, except manila, littlenecks, oysters and mussels",biotoxins
PTN-2010-215,2010-07-21,2011-01-21,Area 29,All B.M.,biotoxins
PTN-2010-216,2010-07-21,2010-08-13,"Area 16 except 16-3, 16-4, 16-10 to 16-13, 16-16 to 16-22",All BM,biotoxins
PTN-2010-217,2010-07-21,2010-08-13,Subareas 16-1 to 16-20 and 16-22,gducks and horseclams,biotoxins
PTN-2010-218,2010-07-30,2010-08-13,"Area 25, except 25-1 to 25-3 and 25-8",All BM,biotoxins
PTN-2010-219,2010-07-30,2010-08-13,Subareas 25-1 to 25-3 and 25-8,"All BM except manila, littleneck, oysters, mussels",biotoxins
PTN-2010-220,2010-08-05,2010-08-26,Area 20 except 20-6 and 20-7,All BM,biotoxins
PTN-2010-221,2010-08-05,2010-10-22,Subareas 20-6 and 20-7,"All BM, except Manila, Littleneck, Oysters, Mussels",biotoxins
PTN-2010-222,2010-08-06,2010-09-16,"SA 17-1 to17-3, 17-8",All BM,biotoxins
PTN-2010-223,2010-08-05,2010-10-13,"SA 17-6, 17-9","All BM, except Manila, Littleneck, Oysters, Mussels",biotoxins
PTN-2010-224,2010-08-13,2010-08-20,"Area 16 except 16-1 to 16-4, 16-10 to 16-13, 16-16 to 16-22",All BM,biotoxins
PTN-2010-225,2010-08-13,2010-09-08,Area 16-3 to 16-20 and 16-22,gducks and horseclams,biotoxins
PTN-2010-226,2010-08-13,2010-08-27,"Area 25 except 25-1 to 25-3, 25-6 to 25-8 and 25-13 to 25-15",All BM,biotoxins
PTN-2010-227,2010-08-13,2010-08-18,"25-6, 25-7, 25-13 to 25-15",All BM except Gducks and Horse,biotoxins
PTN-2010-228,2010-08-13,2010-09-02,"25-1, 25-2 and 25-8","All BM except manila, littleneck, oysters, mussels",biotoxins
PTN-2010-229,2010-08-13,2010-08-18,SA 25-3,"All BM except manila, littleneck, oysters, mussels, gducks and hclams",biotoxins
PTN-2010-230,2010-08-13,2010-09-08,SA 16-1 and 16-2,All BM except Gducks and Horse,biotoxins
PTN-2010-231,2010-08-18,2010-08-24,"Area 18, except 18-1",All BM,biotoxins
PTN-2010-232,2010-08-18,2010-08-20,"Area 12, Area 13, except SA 13-1 to 13-12, 13-14 to 13-17, Area 14 (except SA 14-5, 14-8, 14-15, Area 15 (except SA 15-4, 15-5), Areas 16 to 29 (except SA 16-16, 17-20,  23-6)",Scallops,biotoxins
PTN-2010-233,2010-08-18,2011-01-21,SA 18-1,All BM except Pink scallops and spiny scallops,biotoxins
PTN-2010-234,2010-08-18,2010-08-27,"SA 25-7, 25-13 to 25-15",All BM except Geoducks and horseclams,biotoxins
PTN-2010-235,2010-08-18,2010-09-02,SA 25-6,"All BM except manila, littleneck, oysters, mussels, gducks and hclams",biotoxins
PTN-2010-236,2010-08-20,2010-08-26,"Area 13, except 13-1 and 13-12 to 13-17",All BM,biotoxins
PTN-2010-237,2010-08-20,2010-08-26,"Areas 12 to 29, except 13-1, 13-12, 13-14 to 13-17, 14-5, 14-8 and 14-15, 15-4, 15-5, 16-16, 17-20, 18-1 ans portion of 23-6",Scallops,biotoxins
PTN-2010-238,2010-08-20,2010-08-26,"Area 16 except 16-1 to 16-4, 16-10,16-11, 16-16 to 16-22",All BM,biotoxins
PTN-2010-239,2010-08-20,2010-09-02,"Area 27, except SA 27-8 to 27-9",All BM,biotoxins
PTN-2010-240,2010-08-20,2010-09-02,"SA 27-7, 27-10 and 27-11","All BM exc+D120ept Manila, littleneck, oysters and mussels",biotoxins
PTN-2010-241,2010-08-24,2010-10-15,Areas 3 to 6,All BM,biotoxins
PTN-2010-242,2010-08-24,2010-09-24,"Area 7, except 7-26 and 7-27",All BM,biotoxins
PTN-2010-243,2010-08-24,2010-09-24,SA 7-26 and 7-27,"All BM, Except Gducks and Hclams",biotoxins
PTN-2010-244,2010-08-24,2010-10-18,"Area 8, except 8-1 to 8-4 and 8-16",All BM,biotoxins
PTN-2010-245,2010-08-24,2010-10-18,SA 8-1 to 8-4 and 8-16,"All BM, Except Gducks and Hclams",biotoxins
PTN-2010-246,2010-08-24,2010-10-18,"Area 9, except 9-1 to9-4, 9-11 and 9-12",All BM,biotoxins
PTN-2010-247,2010-08-24,2010-10-18,"SA 9-1 to 9-4, 9-11 and 9-12","All BM, Except Gducks and Hclams",biotoxins
PTN-2010-248,2010-08-24,2010-10-18,"Area 10, except SA 10-1 and 10-2",All BM,biotoxins
PTN-2010-249,2010-08-24,2010-10-18,SA 10-1 and 10-2,"All BM, Except Gducks and Hclams",biotoxins
PTN-2010-250,2010-08-24,2010-08-27,"Area 18, except 18-1 and 18-7",All BM,biotoxins
PTN-2010-251,2010-08-24,2010-08-27,SA 18-7,"All BM, except Manila, Littleneck, Oysters, Mussels",biotoxins
PTN-2010-252,2010-08-26,2011-01-21,"Area 13, except 13-1 to 13-17",All BM,biotoxins
PTN-2010-253,2010-08-26,2010-09-16,"Areas 12 to 29, except 13-1 TO 13-12, 13-14 to 13-17, 14-5, 14-8 and 14-15, 15-4, 15-5, 16-16, 17-20, 18-1 and portion of 23-6",Scallops,biotoxins
PTN-2010-254,2010-08-26,2010-09-08,"Area 16 except 16-1 to 16-4, 16-8, 16-10 to 16-13, 16-16 to 16-22",All BM,biotoxins
PTN-2010-255,2010-08-26,2010-09-03,"Area 24, except 24-4 (CLIFFORD POINT), 24-6, 24-8, 24-9",All BM,biotoxins
PTN-2010-256,2010-08-26,2010-09-03,"SA 24-4 (clifford point), 24-6, 24-8","All BM, Except Gducks and Hclams",biotoxins
PTN-2010-257,2010-08-26,2010-08-27,"Area 20 except 20-1 to 20-3, 20-6 and 20-7",All BM,biotoxins
PTN-2010-258,2010-08-26,2010-08-27,SA 20-1 to 20-3,"ALL BM, except mussels",biotoxins
PTN-2010-259,2010-08-27,2010-09-02,Area 2,All BM,biotoxins
PTN-2010-260,2010-08-27,2010-09-02,"Area 25 except 25-1 to 25-3, 25-6 to 25-8 and 25-15",All BM,biotoxins
PTN-2010-261,2010-08-27,2010-09-02,"SA 25-7, 25-15",All BM except Geoducks and horseclams,biotoxins
PTN-2010-262,2010-08-27,2010-09-02,"Area 18, except 18-1",All BM,biotoxins
PTN-2010-263,2010-08-27,2010-10-22,Area 20 except 20-6 and 20-7,All BM,biotoxins
PSN-2010-64,2010-09-02,NA,"AREA 14, new closure Map 14.ff",ALL BM,sanitary closure
PTN-2010-265,2010-09-02,2010-09-24,"Area 2, except SA 2-1",All BM,biotoxins
PTN-2010-266,2010-09-02,2010-09-24,SA 2-1,"ALL Bm, except oysters and scallops",biotoxins
PTN-2010-267,2010-09-02,2011-01-07,"Area 18, except 18-1 and 18-7",All BM,biotoxins
PTN-2010-268,2010-09-02,2011-01-07,SA 18-7,"All AM, except Manila, littleneck, oysters and mussels",biotoxins
PTN-2010-269,2010-09-02,2010-11-26,"Area 25, except 25-1 to 25-4, 25-6 and 25-8",All BM,biotoxins
PTN-2010-270,2010-09-02,2010-11-26,"SA  25-1 to 25-4, 25-6 and 25-8","All BM, except Manila, Littleneck, Oysters, Mussels",biotoxins
PTN-2010-271,2010-09-02,2010-09-17,"Area 27, except 27-7 to 27-11","All BM, ",biotoxins
PTN-2010-272,2010-09-02,2010-09-17,"SA 27-7, 27-10 and 27-11","All Bm, eccept Manila, Littleneck, oysters and mussels",biotoxins
PCH-2010-273,2010-09-03,2010-09-23,"New closure, Evans Bay, Read Island, Map 13.jj",All BM,chemical closure
PTN-2010-274,2010-09-03,2010-09-24,"Area 24, except 24-2 to 24-4, 24-6, 24-8, 24-9, 24-13 and 24-14",All Bm,biotoxins
PTN-2010-275,2010-09-03,2010-09-24,"24-2 to 24-4, 24-6, 24-8, 24-13 and 24-14",All BM except Gducks and Horse,biotoxins
PTN-2010-276,2010-09-08,2010-10-07,"Area 16 except SA 16-3, 16-4, 16-8, 16-10 to 16-13 and 16-16 to 16-22",All BM,biotoxins
PTN-2010-277,2010-09-08,2010-10-15,SA 16-1 to 16-22,gducks and horseclams,biotoxins
PTN-2010-278,2010-09-16,2010-10-06,"Areas 12 to 29, except 13-1 TO 13-12, 13-14 to 13-17, 14-5, 14-8 and 14-15, 15-4, 15-5, 16-16,  18-1 and portion of 23-6",Scallops,biotoxins
PTN-2010-279,2010-09-16,2010-10-07,"SA 17-1 to17-3, 17-8, 17-18 TO 17-20",All BM,biotoxins
PTN-2010-280,2010-09-17,2010-09-29,Area 27,All BM,biotoxins
PSN-2010-281,2010-09-24,2011-01-11,"Portion of Area 23, Effingham Inlet, map 23.gg",All BM,sanitary closure
PTN-2010-282,2010-09-24,2010-09-29,"Area 24 except SA 24-4, 24-6, 24-8 and 24-14 ",All Bm,biotoxins
PTN-2010-283,2010-09-24,2010-09-29,"24-4, 24-6, 24-8 and 24-14",All BM except Gducks and Horse,biotoxins
PTN-2010-284,2010-09-24,2010-10-06,"Area 7, except 7-3, 7-4, 7-8, 7-9, 7-12, 7-17, 7-22, 7-23, 7-26 and 7-27",All BM,biotoxins
PTN-2010-285,2010-09-24,2010-10-06,"SA 7-3, 7-4, 7-8, 7-9, 7-12, 7-17, 7-22, 7-23, ","All BM, Except Gducks and Hclams",biotoxins
PTN-2010-286,2010-09-29,2011-01-14,"Area 27, except SA 27-7 to 27-11",All B.M. ,biotoxins
PTN-2010-287,2010-09-29,2011-01-14,SA 27-7 to 27-11,"All BM, except Manila, Littleneck, oysters and mussels",biotoxins
PTN-2010-288,2010-09-29,2010-10-28,"Area 24 except SA 24-4, 24-6 to 24-8, 24-9 and 24-14 ",All BM,biotoxins
