park,year,count,park_name,rgn_area,tot_area,rgn_id
Naikoon Park,2011,114404,naikoonpark,690122986.068831,690122986.068831,2
Prudhomme Lake Park,2011,22279,prudhommelakepark,91329.5589935469,91329.5589935469,1
Pure Lake Park,2011,26187,purelakepark,1418116.20159778,1418116.20159778,2
"Weewanie Hot
Springs Park",2011,4694,weewaniehotspringspark,353531.879106369,353531.879106369,1
Alice Lake Park,2011,266172,alicelakepark,4117248.62176708,4117248.62176708,6
"Copeland
Islands Marine Park",2011,NA,copelandislandsmarinepark,4101422.28695643,4101422.28695643,6
Cypress Park,2011,NA,cypresspark,28607607.4632212,28607607.4632212,6
"Desolation Sound Marine
Park",2011,38422,desolationsoundmarinepark,81397917.118145,81397917.118145,6
"Francis Point
Park",2011,14621,francispointpark,843097.806592267,843097.806592267,6
Garibaldi Park,2011,69569,garibaldipark,37405056.6115122,1886610271.37132,6
Inland Lake Park,2011,24676,inlandlakepark,26757193.3870752,27579100.4506013,6
Murrin Park,2011,109396,murrinpark,313301.432637416,313301.432637416,6
Okeover Arm,2011,NA,okeoverarmpark,30268.6685182268,30268.6685182268,6
Peace Arch Park,2011,97577,peacearchpark,68861.3531157505,68861.3531157505,6
Plumper Cove Marine Park,2011,9245,plumpercovemarinepark,656410.725061331,656410.725061331,6
Porpoise Bay Park,2011,133022,porpoisebaypark,589939.280725068,589939.280725068,6
Porteau Cove Park,2011,483458,porteaucovepark,579658.066692783,579658.066692783,6
Princess Louisa Marine Park,2011,13258,princesslouisamarinepark,9684911.81134113,9684911.81134113,6
Roberts Creek Park,2011,42551,robertscreekpark,396384.83589731,396384.83589731,6
Saltery Bay Park,2011,68279,salterybaypark,594255.465218217,594255.465218217,6
Sargeant Bay Park,2011,74158,sargeantbaypark,1461532.64195496,1461532.64195496,6
"Sechelt Inlets
Marine Park",2011,NA,secheltinletsmarineparkhalfwaybeachsite,36510.3503790665,36510.3503790665,6
"Sechelt Inlets
Marine Park",2011,NA,secheltinletsmarineparkkunechinpointsite,444312.394776923,444312.394776923,6
"Sechelt Inlets
Marine Park",2011,NA,secheltinletsmarineparkpiperpointsite,54827.3649532299,54827.3649532299,6
"Sechelt Inlets
Marine Park",2011,NA,secheltinletsmarineparkskaiakospointsite,5488.92141790502,5488.92141790502,6
"Sechelt Inlets
Marine Park",2011,NA,secheltinletsmarineparktzoonienarrowssite,808452.366196916,808452.366196916,6
"Sechelt Inlets
Marine Park",2011,NA,secheltinletsmarineparkthornhillsite,41836.2947006661,41836.2947006661,6
Shannon Falls Park,2011,277225,shannonfallspark,906214.392914996,906214.392914996,6
Skookumchuck Narrows Park,2011,22624,skookumchucknarrowspark,1411125.70403188,1411125.70403188,6
Smuggler Cove Marine Park,2011,18613,smugglercovemarinepark,1846004.54767561,1846004.54767561,6
"Stawamus Chief
Park",2011,251423,stawamuschiefpark,5304401.62011077,5304401.62011077,6
Tantalus Park,2011,NA,tantaluspark,47549360.3042622,114253130.397342,6
"Tetrahedron
Park",2011,1964,tetrahedronpark,60535446.3291914,60535446.3291914,6
"Hakai Conservation
Study Area",2011,NA,hakaiconservationstudyarea,5451687.40582871,5451687.40582871,3
Bamberton Park,2011,87579,bambertonpark,266586.505483485,266586.505483485,6
Bellhouse Park,2011,2265,bellhousepark,31054.1929862764,31054.1929862764,6
Bodega Ridge Park,2011,1211,bodegaridgepark,3967202.23623831,3967202.23623831,6
Boyle Point Park,2011,NA,boylepointpark,1879715.51018093,1879715.51018093,6
Burgoyne Bay Park,2011,7004,burgoynebaypark,5012461.52449696,5012461.52449696,6
Cape Scott Park,2011,5577,capescottpark,223096246.553779,223096246.553779,4
Carmanah Walbran Park,2011,1988,carmanahwalbranpark,153353240.246816,163644831.26361,5
Cowichan River Park,2011,63338,cowichanriverpark,2381283.37258452,14045234.7121445,6
Dionisio Point Park,2011,6249,dionisiopointpark,1406924.8466792,1406924.8466792,6
Discovery Island Marine Park,2011,1830,discoveryislandmarinepark,675210.475771731,675210.475771731,5
Drumbeg Park,2011,36309,drumbegpark,550660.933450546,550660.933450546,6
Elk Falls Park,2011,131249,elkfallspark,10548582.3736823,10548582.3736823,4
Englishman River Falls Park,2011,152327,englishmanriverfallspark,971149.286096643,971149.286096643,6
Fillongley Park,2011,41399,fillongleypark,264833.428192056,264833.428192056,6
