name,desig,code,class,tot_area,rgn_name,rgn_id,rgn_code,rgn_area
MOUNT ELPHINSTONE PARK,PROVINCIAL PARK,PP,Class A,1403312.30644236,Strait of Georgia,6,SG,1403312.30644236
BAMBERTON PARK,PROVINCIAL PARK,PP,Class A,266586.505483485,Strait of Georgia,6,SG,266586.505483485
SQUITTY BAY PARK,PROVINCIAL PARK,PP,Class A,493366.068009589,Strait of Georgia,6,SG,493366.068009589
BALLINGALL ISLETS ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,4564.83213989832,Strait of Georgia,6,SG,4564.83213989832
GARIBALDI PARK,PROVINCIAL PARK,PP,Class A,1886610271.37132,Strait of Georgia,6,SG,37405056.6115122
DUCK LAKE PROTECTED AREA,PROTECTED AREA,PA,NA,7683579.76057734,Strait of Georgia,6,SG,7683579.76057734
SIMSON PARK,PROVINCIAL PARK,PP,Class A,4839027.40254223,Strait of Georgia,6,SG,4839027.40254223
OKEOVER ARM PARK,PROVINCIAL PARK,PP,Class A,30268.6685182268,Strait of Georgia,6,SG,30268.6685182268
FILLONGLEY PARK,PROVINCIAL PARK,PP,Class A,264833.428192056,Strait of Georgia,6,SG,264833.428192056
BOYLE POINT PARK,PROVINCIAL PARK,PP,Class A,1879715.51018093,Strait of Georgia,6,SG,1879715.51018093
SKOOKUMCHUCK NARROWS PARK,PROVINCIAL PARK,PP,Class A,1411125.70403188,Strait of Georgia,6,SG,1411125.70403188
CLENDINNING PARK,PROVINCIAL PARK,PP,Class A,303594332.077539,Strait of Georgia,6,SG,9056110.66574442
GABRIOLA SANDS PARK,PROVINCIAL PARK,PP,Class A,59680.4931671299,Strait of Georgia,6,SG,59680.4931671299
ROSCOE BAY PARK,PROVINCIAL PARK,PP,Class A,2415856.02097994,Strait of Georgia,6,SG,2415856.02097994
COPELAND ISLANDS MARINE PARK,PROVINCIAL PARK,PP,Class A,4101422.28695643,Strait of Georgia,6,SG,4101422.28695643
BOYLE POINT PROTECTED AREA,PROTECTED AREA,PA,NA,93031.9829615169,Strait of Georgia,6,SG,93031.9829615169
MURRIN PARK,PROVINCIAL PARK,PP,Class A,313301.432637416,Strait of Georgia,6,SG,313301.432637416
EAST REDONDA ISLAND ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,61843076.1967392,Strait of Georgia,6,SG,61843076.1967392
HUDSON ROCKS ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,495234.135189474,Strait of Georgia,6,SG,495234.135189474
PORPOISE BAY PARK,PROVINCIAL PARK,PP,Class A,589939.280725068,Strait of Georgia,6,SG,589939.280725068
SMUGGLER COVE MARINE PARK,PROVINCIAL PARK,PP,Class A,1846004.54767561,Strait of Georgia,6,SG,1846004.54767561
CYPRESS PARK,PROVINCIAL PARK,PP,Class A,28607607.4632212,Strait of Georgia,6,SG,28607607.4632212
MACMILLAN PARK,PROVINCIAL PARK,PP,Class A,3022182.33007833,Strait of Georgia,6,SG,3022182.33007833
SOUTH TEXADA ISLAND PARK,PROVINCIAL PARK,PP,Class A,10951387.5159436,Strait of Georgia,6,SG,10951387.5159436
MITLENATCH ISLAND NATURE PARK,PROVINCIAL PARK,PP,Class A,1617187.23268115,Strait of Georgia,6,SG,1617187.23268115
ROBERTS CREEK PARK,PROVINCIAL PARK,PP,Class A,396384.83589731,Strait of Georgia,6,SG,396384.83589731
FRANCIS POINT PARK,PROVINCIAL PARK,PP,NA,843097.806592267,Strait of Georgia,6,SG,843097.806592267
FRANCIS POINT ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,173384.737350434,Strait of Georgia,6,SG,173384.737350434
KITTY COLEMAN BEACH PARK,PROVINCIAL PARK,PP,Class C,91365.8718648851,Strait of Georgia,6,SG,91365.8718648851
SHANNON FALLS PARK,PROVINCIAL PARK,PP,Class A,906214.392914996,Strait of Georgia,6,SG,906214.392914996
SPIPIYUS PARK,PROVINCIAL PARK,PP,Class A,29823043.2439873,Strait of Georgia,6,SG,29823043.2439873
ARBUTUS GROVE PARK,PROVINCIAL PARK,PP,Class A,224229.809874514,Strait of Georgia,6,SG,224229.809874514
HARMONY ISLANDS MARINE PARK,PROVINCIAL PARK,PP,Class A,429987.56729658,Strait of Georgia,6,SG,429987.56729658
HORNE LAKE CAVES PARK,PROVINCIAL PARK,PP,Class A,1577716.23052645,Strait of Georgia,6,SG,1577716.23052645
HEMER PARK,PROVINCIAL PARK,PP,Class A,1096755.89778773,Strait of Georgia,6,SG,1096755.89778773
SPECTACLE LAKE PARK,PROVINCIAL PARK,PP,Class A,671079.675263412,Strait of Georgia,6,SG,671079.675263412
MOUNT GEOFFREY ESCARPMENT PARK,PROVINCIAL PARK,PP,NA,1889653.19226317,Strait of Georgia,6,SG,1889653.19226317
PIRATES COVE MARINE PARK,PROVINCIAL PARK,PP,Class A,316701.526521343,Strait of Georgia,6,SG,316701.526521343
ROBERTS MEMORIAL PARK,PROVINCIAL PARK,PP,Class A,139280.474251091,Strait of Georgia,6,SG,139280.474251091
JAJI7EM and KW'ULH MARINE PARK [a.k.a Sandy Island,PROVINCIAL PARK,PP,Class A,302400.631354687,Strait of Georgia,6,SG,302400.631354687
NEWCASTLE ISLAND MARINE PARK,PROVINCIAL PARK,PP,Class A,3635987.60027038,Strait of Georgia,6,SG,3635987.60027038
BRACKENDALE EAGLES PARK,PROVINCIAL PARK,PP,Class A,7644883.90955059,Strait of Georgia,6,SG,7644883.90955059
INLAND LAKE PARK,PROVINCIAL PARK,PP,Class A,27579100.4506013,Strait of Georgia,6,SG,26757193.3870752
HALKETT BAY MARINE PARK,PROVINCIAL PARK,PP,Class A,4482604.10515581,Strait of Georgia,6,SG,4482604.10515581
RUCKLE PARK,PROVINCIAL PARK,PP,Class A,5336719.37112203,Strait of Georgia,6,SG,5336719.37112203
ROSE ISLETS ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,14247.6324397828,Strait of Georgia,6,SG,14247.6324397828
GOWLLAND TOD PARK,PROVINCIAL PARK,PP,Class A,12813203.4213595,Strait of Georgia,6,SG,12813203.4213595
MANSONS LANDING PARK,PROVINCIAL PARK,PP,Class A,1036858.76313306,Strait of Georgia,6,SG,1036858.76313306
WOOD MOUNTAIN SKI PARK,PROVINCIAL PARK,PP,Class C,1016124.69321017,Strait of Georgia,6,SG,1016124.69321017
GARDEN BAY MARINE PARK,PROVINCIAL PARK,PP,Class A,1569934.07943186,Strait of Georgia,6,SG,1569934.07943186
MOUNT RICHARDSON PARK,PROVINCIAL PARK,PP,Class A,10013726.9470664,Strait of Georgia,6,SG,10013726.9470664
ANDERSON BAY PARK,PROVINCIAL PARK,PP,Class A,351936.142433028,Strait of Georgia,6,SG,351936.142433028
RATHTREVOR BEACH PARK,PROVINCIAL PARK,PP,Class A,3491404.33031584,Strait of Georgia,6,SG,3491404.33031584
MOUNT TUAM ECOLOGICAL RESERVE,ECOLOGICAL RESERVE,OI,NA,3615287.49266228,Strait of Georgia,6,SG,3615287.49266228
HELLIWELL PARK,PROVINCIAL PARK,PP,Class A,28130888.1118606,Strait of Georgia,6,SG,28130888.1118606
JEDEDIAH ISLAND MARINE PARK,PROVINCIAL PARK,PP,Class A,6035110.00549902,Strait of Georgia,6,SG,6035110.00549902
MORDEN COLLIERY PARK,PROVINCIAL PARK,PP,Class A,42269.5448357768,Strait of Georgia,6,SG,42269.5448357768
MONTAGUE HARBOUR MARINE PARK,PROVINCIAL PARK,PP,Class A,1019777.08416331,Strait of Georgia,6,SG,1019777.08416331
KIN BEACH PARK,PROVINCIAL PARK,PP,Class C,41936.1988944523,Strait of Georgia,6,SG,41936.1988944523
GOLDSTREAM PARK,PROVINCIAL PARK,PP,Class A,4788731.52848189,Strait of Georgia,6,SG,4788731.52848189
BEAVER POINT PARK,PROVINCIAL PARK,PP,Class C,166729.017242253,Strait of Georgia,6,SG,166729.017242253
LITTLE QUALICUM FALLS PARK,PROVINCIAL PARK,PP,Class A,4638961.73067469,Strait of Georgia,6,SG,4638961.73067469
SAY NUTH KHAW YUM PARK (A.K.A. INDIAN ARM PARK),PROVINCIAL PARK,PP,Class A,66935475.6181571,Strait of Georgia,6,SG,66935475.6181571
