rgn_name,year,species,stockid,catch,rgn_catch,rgn_ass_catch_prop
North Vancouver Island,2007,dogfish,NA,86972.78,4732867.0501448,NA
Aristazabal Island,2007,dogfish,NA,2765.42,187168.9044411718,NA
West Vancouver Island,2015,dungeness_crab,NA,1637359,32733550.720067725,NA
Strait of Georgia,2015,dungeness_crab,NA,2719563,16916651.25803751,NA
North Coast,2015,dungeness_crab,NA,781401,6183163.396933077,NA
Haida Gwaii,2015,dungeness_crab,NA,2736739,13542664.750681318,NA
Central Coast,2015,dungeness_crab,NA,66067,4916529.47,NA
North Vancouver Island,2015,dungeness_crab,NA,549963,5466401.905034657,NA
Aristazabal Island,2015,dungeness_crab,NA,1887,130331.65999999999,NA
Pacific Offshore,2015,dungeness_crab,NA,0,41301.17,NA
West Vancouver Island,2014,dungeness_crab,NA,1330841,22189020.67017055,NA
Strait of Georgia,2014,dungeness_crab,NA,2376739,15508684.950623112,NA
North Coast,2014,dungeness_crab,NA,655214,8738613.755689513,NA
Haida Gwaii,2014,dungeness_crab,NA,2833374,9029312.29,NA
Central Coast,2014,dungeness_crab,NA,207568,4845805.251217306,NA
North Vancouver Island,2014,dungeness_crab,NA,426018,5490220.951330182,NA
Aristazabal Island,2014,dungeness_crab,NA,5117,1330071.9520534652,NA
Pacific Offshore,2014,dungeness_crab,NA,0,9361.24,NA
West Vancouver Island,2013,dungeness_crab,NA,1151325,17316756.11883684,NA
Strait of Georgia,2013,dungeness_crab,NA,2342466,14096211.830460355,NA
North Coast,2013,dungeness_crab,NA,558070,4330308.408733,NA
Haida Gwaii,2013,dungeness_crab,NA,1791455,6216991.811604084,NA
Central Coast,2013,dungeness_crab,NA,647663,9412649.495147534,NA
North Vancouver Island,2013,dungeness_crab,NA,415767,4996359.600110408,NA
Pacific Offshore,2013,dungeness_crab,NA,0,30041.54,NA
West Vancouver Island,2012,dungeness_crab,NA,954025,15713811.249980953,NA
Strait of Georgia,2012,dungeness_crab,NA,2353641,11309120.898615398,NA
North Coast,2012,dungeness_crab,NA,407820,3888577.477974049,NA
Haida Gwaii,2012,dungeness_crab,NA,1835978,10845063.119959434,NA
Central Coast,2012,dungeness_crab,NA,752573,5370408.079975308,NA
North Vancouver Island,2012,dungeness_crab,NA,355825,5365299.907356744,NA
Aristazabal Island,2012,dungeness_crab,NA,2460,85526.64,NA
Pacific Offshore,2012,dungeness_crab,NA,0,14818.8,NA
West Vancouver Island,2011,dungeness_crab,NA,1198442,15620818.084793031,NA
Strait of Georgia,2011,dungeness_crab,NA,2368650,7687581.640764271,NA
North Coast,2011,dungeness_crab,NA,455123,8595484.047202013,NA
Haida Gwaii,2011,dungeness_crab,NA,1961424,7319205.81,NA
Central Coast,2011,dungeness_crab,NA,62606,5212590.872784705,NA
North Vancouver Island,2011,dungeness_crab,NA,515525,6452203.007632233,NA
Aristazabal Island,2011,dungeness_crab,NA,3680,993976.140166846,NA
Pacific Offshore,2011,dungeness_crab,NA,0,6367.5,NA
West Vancouver Island,2010,dungeness_crab,NA,1559837,10583536.314029172,NA
Strait of Georgia,2010,dungeness_crab,NA,3018593,7873037.449448899,NA
North Coast,2010,dungeness_crab,NA,787698,3841450.283543457,NA
Haida Gwaii,2010,dungeness_crab,NA,4384831,9241521.132846788,NA
Central Coast,2010,dungeness_crab,NA,59837,9532951.747544048,NA
North Vancouver Island,2010,dungeness_crab,NA,539909,5870856.955335896,NA
