sciname,comname,status,year,cosewic_risk_score,status_history,trend
Acipenser transmontanus,White Sturgeon Upper Kootenay River population,endangered,2003,0.8,The species was considered a single unit and designated Special Concern in April 1990. Status re-examined and designated Endangered in November 2003. Split into four populations in November 2012. The Upper Kootenay River population was designated Endangered in November 2012.,-0.09535
Acipenser transmontanus,White Sturgeon Upper Kootenay River population,endangered,2012,0.8,The species was considered a single unit and designated Special Concern in April 1990. Status re-examined and designated Endangered in November 2003. Split into four populations in November 2012. The Upper Kootenay River population was designated Endangered in November 2012.,-0.09535
Acipenser transmontanus,White Sturgeon Lower Fraser River population,special concern,1990,0.4,The species was considered a single unit and designated Special Concern in April 1990. Status re-examined and designated Endangered in November 2003. Split into four populations in November 2012. The Lower Fraser River population was designated Threatened in November 2012.,-0.05315
Acipenser transmontanus,White Sturgeon Lower Fraser River population,endangered,2003,0.8,The species was considered a single unit and designated Special Concern in April 1990. Status re-examined and designated Endangered in November 2003. Split into four populations in November 2012. The Lower Fraser River population was designated Threatened in November 2012.,-0.05315
Acipenser transmontanus,White Sturgeon Lower Fraser River population,threatened,2012,0.6,The species was considered a single unit and designated Special Concern in April 1990. Status re-examined and designated Endangered in November 2003. Split into four populations in November 2012. The Lower Fraser River population was designated Threatened in November 2012.,-0.05315
Acipenser transmontanus,White Sturgeon Upper Fraser River population,special concern,1990,0.4,The species was considered a single unit and designated Special Concern in April 1990. Status re-examined and designated Endangered in November 2003. Split into four populations in November 2012. The Upper Fraser River population was designated Endangered in November 2012.,-0.09535
Acipenser transmontanus,White Sturgeon Upper Fraser River population,endangered,2003,0.8,The species was considered a single unit and designated Special Concern in April 1990. Status re-examined and designated Endangered in November 2003. Split into four populations in November 2012. The Upper Fraser River population was designated Endangered in November 2012.,-0.09535
Acipenser transmontanus,White Sturgeon Upper Fraser River population,endangered,2012,0.8,The species was considered a single unit and designated Special Concern in April 1990. Status re-examined and designated Endangered in November 2003. Split into four populations in November 2012. The Upper Fraser River population was designated Endangered in November 2012.,-0.09535
Acipenser transmontanus,White Sturgeon Upper Columbia River population,special concern,1990,0.4,The species was considered a single unit and designated Special Concern in April 1990. Status re-examined and designated Endangered in November 2003. Split into four populations in November 2012. The Upper Columbia River population was designated Endangered in November 2012.,-0.09535
Acipenser transmontanus,White Sturgeon Upper Columbia River population,endangered,2003,0.8,The species was considered a single unit and designated Special Concern in April 1990. Status re-examined and designated Endangered in November 2003. Split into four populations in November 2012. The Upper Columbia River population was designated Endangered in November 2012.,-0.09535
Acipenser transmontanus,White Sturgeon Upper Columbia River population,endangered,2012,0.8,The species was considered a single unit and designated Special Concern in April 1990. Status re-examined and designated Endangered in November 2003. Split into four populations in November 2012. The Upper Columbia River population was designated Endangered in November 2012.,-0.09535
Ptychoramphus aleuticus,Cassin's Auklet,special concern,2014,0.4,Designated Special Concern in November 2014.,NA
Gasterosteus aculeatus,Little Quarry Lake Benthic Threespine Stickleback,threatened,2015,0.6,Designated Threatened in November 2015.,NA
Gasterosteus aculeatus,Little Quarry Lake Limnetic Threespine Stickleback,threatened,2015,0.6,Designated Threatened in November 2015.,NA
