iucn_sid,am_sid,pop_trend
NA,W-Msc-140627,NA
NA,W-Msc-140640,NA
NA,W-Msc-139178,NA
NA,W-Msc-139523,NA
NA,W-Msc-138709,NA
NA,ITS-551549,NA
NA,ITS-93329,NA
NA,ITS-93332,NA
NA,ITS-94295,NA
NA,ITS-95442,NA
NA,ITS-96215,NA
NA,ITS-97020,NA
NA,ITS-95923,NA
NA,ITS-96028,NA
NA,ITS-96056,NA
NA,ITS-96083,NA
NA,ITS-96097,NA
NA,ITS-96099,NA
NA,ITS-96102,NA
NA,ITS-96117,NA
NA,ITS-96139,NA
NA,ITS-96142,NA
NA,ITS-96145,NA
NA,ITS-97298,NA
NA,ITS-97935,NA
NA,W-Bch-107379,NA
NA,W-Bch-442171,NA
NA,W-Bch-107315,NA
NA,WBD-Eup-35,NA
NA,WBD-Eup-85,NA
NA,ITS-89606,NA
NA,W-Pol-130639,NA
NA,W-Pol-131143,NA
NA,W-Pol-129938,NA
NA,W-Pol-130248,NA
NA,W-Pol-130603,NA
NA,W-Pol-130072,NA
NA,W-Pol-130703,NA
NA,W-Pol-157583,NA
NA,W-Pol-131290,NA
NA,W-Pol-130467,NA
NA,W-Pol-131573,NA
NA,W-Pol-131574,NA
NA,W-Pol-130344,NA
NA,W-Pol-130140,NA
NA,W-Pol-130041,NA
NA,W-Pol-131128,NA
NA,W-Pol-131140,NA
NA,W-Pol-131183,NA
NA,W-Pol-131499,NA
NA,W-Pol-130113,NA
NA,W-Pol-130980,NA
NA,W-Pol-130500,NA
NA,W-Pol-129876,NA
NA,W-Pol-129884,NA
NA,W-Pol-129898,NA
NA,W-Pol-130305,NA
NA,W-Pol-131051,NA
NA,W-Pol-129784,NA
NA,Hex-5236,NA
NA,W-Hyd-117870,NA
NA,W-Hyd-117906,NA
NA,W-Hyd-117386,NA
NA,W-Hyd-117388,NA
NA,W-Hyd-117368,NA
NA,W-Hyd-117702,NA
NA,W-Hyd-117824,NA
NA,URM-Cn-10261,NA
NA,W-Hyd-135426,NA
NA,URM-Cn-10098,NA
NA,W-Oct-128517,NA
NA,W-Oct-290947,NA
NA,URM-Cn-5912,NA
NA,URM-Cn-5160,NA
NA,URM-Cn-5177,NA
NA,W-Msc-156916,NA
NA,W-Msc-141579,NA
NA,W-Msc-140702,NA
NA,W-Msc-140480,NA
NA,W-Msc-140481,NA
NA,W-Msc-140440,NA
NA,W-Msc-140474,NA
NA,W-Msc-140467,NA
NA,W-Msc-140431,NA
NA,W-Msc-141662,NA
NA,W-Msc-140732,NA
NA,W-Ase-124154,NA
NA,W-Ase-123915,NA
NA,W-Oph-125125,NA
NA,W-Msc-140103,NA
NA,W-Ech-158062,NA
NA,W-Ase-124160,NA
NA,W-Oph-125064,NA
NA,W-Ase-123974,NA
NA,W-Ech-124321,NA
NA,W-Por-134275,NA
NA,W-Bry-111411,NA
NA,W-Por-134121,NA
NA,URM-2-2126,NA
NA,URM-2-1980,NA
NA,URM-2-2291,NA
NA,URM-2-3412,NA
NA,URM-2-3747,NA
NA,URM-2-4042,NA
NA,SLB-71681,NA
NA,W-Msc-141887,NA
NA,W-Msc-140197,NA
NA,W-Msc-140152,NA
NA,W-Cha-105445,NA
NA,W-Cha-105416,NA
NA,W-Cha-105440,NA
NA,W-Msc-139106,NA
NA,W-Oct-156103,NA
NA,W-Pol-131188,NA
NA,SLB-138599,NA
NA,SLB-133119,NA
NA,SLB-132722,NA
NA,SLB-133812,NA
NA,SLB-134854,NA
NA,SLB-143238,NA
NA,W-Pho-128548,NA
NA,W-Msc-141821,NA
NA,W-Msc-456602,NA
NA,W-Msc-456582,NA
NA,W-Msc-141905,NA
NA,W-Msc-139035,NA
NA,W-Msc-139048,NA
NA,W-Msc-215423,NA
NA,W-Msc-420532,NA
NA,W-Msc-140629,NA
NA,W-Msc-138757,NA
NA,ITS-181145,NA
NA,ITS-89818,NA
NA,W-Bch-209568,NA
NA,ITS-96593,NA
NA,ITS-97195,NA
NA,ITS-95917,NA
NA,ITS-96109,NA
NA,ITS-96121,NA
NA,ITS-96126,NA
NA,ITS-96140,NA
NA,ITS-96154,NA
NA,ITS-96165,NA
NA,SLB-9740,NA
NA,W-Pol-333453,NA
NA,W-Pol-129854,NA
NA,W-Pol-129922,NA
NA,W-Pol-130118,NA
NA,W-Pol-131508,NA
NA,W-Pol-131516,NA
NA,W-Pol-131544,NA
NA,W-Hyd-117544,NA
NA,W-Hyd-117554,NA
NA,W-Hyd-117328,NA
NA,W-Hyd-117679,NA
NA,W-Hyd-157947,NA
NA,W-Hyd-117970,NA
NA,URM-Cn-10258,NA
NA,W-Hyd-117263,NA
NA,W-Hyd-117267,NA
NA,W-Hyd-135439,NA
NA,W-Hyd-135449,NA
NA,W-Hyd-135403,NA
NA,W-Hyd-135484,NA
NA,W-Oct-128506,NA
NA,URM-Cn-5671,NA
NA,W-Msc-140584,NA
NA,W-Msc-254460,NA
NA,W-Msc-140430,NA
NA,W-Msc-140233,NA
NA,W-Msc-140048,NA
NA,W-Msc-381980,NA
NA,W-Ase-213335,NA
NA,W-Ase-242160,NA
NA,W-Ech-124324,NA
NA,W-Ase-124147,NA
NA,W-Ase-369117,NA
NA,W-Ase-240755,NA
NA,W-Ase-240764,NA
NA,W-Oph-124895,NA
NA,URM-2-1888,NA
NA,URM-2-1939,NA
NA,URM-2-2761,NA
NA,URM-2-3509,NA
NA,URM-2-3711,NA
NA,URM-2-4049,NA
NA,URM-2-4199,NA
NA,URM-2-6,NA
NA,URM-2-609,NA
NA,URM-2-788,NA
NA,W-Nem-122637,NA
NA,W-Msc-386441,NA
NA,W-Msc-240776,NA
NA,W-Bra-183339,NA
NA,W-Ase-213245,NA
NA,W-Ase-213301,NA
NA,W-Pol-131415,NA
NA,SLB-132739,NA
NA,SLB-147286,NA
NA,SLB-154626,NA
NA,W-Msc-153507,NA
NA,W-Msc-420534,NA
NA,W-Msc-456588,NA
NA,W-Msc-367955,NA
NA,W-Msc-140187,NA
NA,W-Msc-580412,NA
NA,W-Msc-534190,NA
NA,W-Msc-240767,NA
NA,W-Msc-160127,NA
NA,W-Msc-139029,NA
NA,W-Msc-139682,NA
NA,W-Msc-141879,NA
NA,W-Msc-181218,NA
NA,W-Iso-261982,NA
NA,W-Iso-118204,NA
NA,ITS-96995,NA
NA,ITS-97026,NA
NA,ITS-95750,NA
NA,ITS-96033,NA
NA,ITS-96051,NA
NA,ITS-96163,NA
NA,ITS-96178,NA
NA,ITS-96545,NA
NA,ITS-96977,NA
NA,ITS-96984,NA
NA,ITS-97037,NA
NA,ITS-97081,NA
NA,ITS-97837,NA
NA,W-Bch-240780,NA
NA,W-Bch-440382,NA
NA,WBD-Eup-49,NA
NA,WBD-Eup-50,NA
NA,WBD-Eup-72,NA
NA,WBD-Eup-95,NA
NA,ITS-89476,NA
NA,W-Pol-130069,NA
NA,Hex-1431,NA
NA,Hex-1985,NA
NA,W-Hyd-117545,NA
NA,W-Hyd-117606,NA
NA,W-Hyd-117588,NA
NA,W-Hyd-135429,NA
NA,W-Hyd-135417,NA
NA,W-Hyd-135420,NA
NA,SLB-64981,NA
NA,URM-Cn-10097,NA
NA,URM-Cn-5097,NA
NA,W-Msc-506568,NA
NA,W-Msc-141987,NA
NA,W-Msc-393720,NA
NA,W-Msc-141983,NA
NA,W-Msc-157006,NA
NA,W-Msc-157007,NA
NA,W-Msc-367837,NA
NA,W-Msc-420705,NA
NA,W-Msc-140435,NA
NA,W-Msc-367964,NA
NA,W-Ase-368114,NA
NA,W-Ase-368318,NA
NA,W-Ech-240747,NA
NA,W-Ech-513215,NA
NA,W-Ase-292719,NA
NA,W-Ase-292720,NA
NA,W-Oph-242878,NA
NA,W-Ase-369053,NA
NA,W-Ase-240771,NA
NA,W-Ase-255048,NA
NA,W-Ase-255062,NA
NA,ITS-158580,NA
NA,URM-2-2060,NA
NA,URM-2-2294,NA
NA,URM-2-3314,NA
NA,URM-2-3436,NA
NA,URM-2-3552,NA
NA,URM-2-3872,NA
NA,URM-2-4081,NA
NA,URM-2-4201,NA
NA,URM-2-4206,NA
NA,W-Msc-342305,NA
NA,W-Msc-386338,NA
NA,W-Msc-386353,NA
NA,W-Bra-235615,NA
NA,SLB-56010,NA
NA,SLB-97626,NA
NA,SLB-141400,NA
NA,SLB-140653,NA
NA,W-Ech-160784,NA
NA,W-Msc-141636,NA
NA,W-Msc-156716,NA
NA,W-Msc-445651,NA
NA,W-Msc-511364,NA
NA,W-Msc-160204,NA
NA,W-Msc-581401,NA
NA,W-Msc-581391,NA
NA,W-Msc-139478,NA
NA,W-Msc-531258,NA
NA,W-Msc-536817,NA
NA,W-Msc-581837,NA
NA,W-Msc-240765,NA
NA,W-Msc-248351,NA
NA,W-Msc-367883,NA
NA,W-Iso-118917,NA
NA,W-Iso-260464,NA
NA,ITS-96787,NA
NA,ITS-96137,NA
NA,ITS-96149,NA
NA,ITS-96970,NA
NA,ITS-96981,NA
NA,ITS-97921,NA
NA,ITS-97966,NA
NA,W-Bch-440388,NA
NA,WBD-Eup-19,NA
NA,W-Pol-195986,NA
NA,Hex-1267,NA
NA,Hex-3898,NA
NA,Hex-483,NA
NA,W-Hyd-117428,NA
NA,W-Hyd-117802,NA
NA,W-Hyd-151860,NA
NA,W-Hyd-117385,NA
NA,W-Hyd-117517,NA
NA,W-Hyd-117965,NA
NA,W-Hyd-117635,NA
NA,W-Hyd-135427,NA
NA,W-Hyd-135423,NA
NA,W-Hyd-135455,NA
NA,W-Hyd-135504,NA
NA,SLB-64971,NA
NA,W-Hyd-135278,NA
NA,W-Oct-128512,NA
NA,URM-Cn-5333,NA
NA,W-Msc-240774,NA
NA,W-Msc-246814,NA
NA,W-Msc-225182,NA
NA,W-Msc-536684,NA
NA,W-Msc-156226,NA
NA,W-Ase-123935,NA
NA,W-Msc-141607,NA
NA,W-Ase-559194,NA
NA,W-Ase-292727,NA
NA,W-Ase-292729,NA
NA,W-Ase-382131,NA
NA,W-Ase-240757,NA
NA,W-Oph-124969,NA
NA,W-Oph-244279,NA
NA,W-Hol-225807,NA
NA,W-Hol-529305,NA
NA,ITS-158582,NA
NA,URM-2-2613,NA
NA,URM-2-3083,NA
NA,URM-2-3557,NA
NA,URM-2-3770,NA
NA,URM-2-3830,NA
NA,URM-2-4214,NA
NA,URM-2-1165,NA
NA,URM-2-587,NA
NA,W-Msc-574540,NA
NA,W-Msc-342023,NA
NA,W-Msc-386342,NA
NA,ITS-154685,NA
NA,W-Sca-344398,NA
NA,W-Sca-344422,NA
NA,SLB-131273,NA
NA,W-Hol-241785,NA
NA,W-Msc-451657,NA
NA,W-Tnd-136475,NA
NA,ITS-682544,NA
NA,W-Msc-215410,NA
NA,W-Msc-140814,NA
NA,W-Msc-534197,NA
NA,W-Msc-140835,NA
NA,W-Msc-139185,NA
NA,W-Msc-562476,NA
NA,W-Iso-260262,NA
NA,ITS-551986,NA
NA,ITS-552060,NA
NA,ITS-89928,NA
NA,ITS-682635,NA
NA,ITS-95949,NA
NA,ITS-684695,NA
NA,ITS-96110,NA
NA,ITS-96148,NA
NA,ITS-96982,NA
NA,WBD-Eup-61,NA
NA,WBD-Eup-64,NA
NA,WBD-Eup-65,NA
NA,Hex-1246,NA
NA,Hex-2453,NA
NA,W-Oct-289357,NA
NA,W-Oct-289935,NA
NA,W-Hyd-135433,NA
NA,W-Hyd-135441,NA
NA,W-Hyd-135446,NA
NA,W-Hyd-135445,NA
NA,URM-Cn-5100,NA
NA,URM-Cn-5206,NA
NA,W-Msc-423165,NA
NA,W-Msc-391795,NA
NA,W-Msc-420694,NA
NA,W-Msc-464200,NA
NA,W-Oph-243819,NA
NA,W-Msc-420805,NA
NA,W-Msc-140161,NA
NA,W-Ase-254890,NA
NA,W-Ase-370836,NA
NA,W-Oph-124951,NA
NA,W-Oph-244282,NA
NA,W-Por-164324,NA
NA,W-Bry-111360,NA
NA,URM-2-3561,NA
NA,URM-2-964,NA
NA,URM-2-1045,NA
NA,URM-2-433,NA
NA,W-Msc-341951,NA
NA,W-Msc-367856,NA
NA,W-Sca-344321,NA
NA,W-Cha-105441,NA
NA,W-Msc-714919,NA
NA,W-Bch-107310,NA
NA,W-Msc-367756,NA
NA,W-Msc-545037,NA
NA,SLB-97601,NA
NA,W-Oct-378316,NA
NA,W-Msc-581816,NA
NA,W-Pho-128550,NA
NA,W-Pho-128552,NA
NA,W-Msc-718659,NA
NA,W-Msc-558400,NA
NA,W-Msc-531551,NA
NA,W-Msc-581396,NA
NA,W-Msc-533278,NA
NA,W-Msc-367819,NA
NA,W-Msc-548245,NA
NA,ITS-657029,NA
NA,ITS-660182,NA
NA,ITS-95940,NA
NA,ITS-95944,NA
NA,ITS-96082,NA
NA,ITS-96979,NA
NA,ITS-98208,NA
NA,ITS-97933,NA
NA,ITS-97947,NA
NA,ITS-97953,NA
NA,ITS-97954,NA
NA,W-Pol-326964,NA
NA,W-Pol-330562,NA
NA,W-Hyd-418901,NA
NA,W-Hyd-284054,NA
NA,W-Hyd-196554,NA
NA,W-Hyd-196556,NA
NA,SLB-64977,NA
NA,W-Msc-506181,NA
NA,W-Msc-140472,NA
NA,W-Msc-506105,NA
NA,W-Msc-420690,NA
NA,W-Ase-368322,NA
NA,W-Msc-507737,NA
NA,W-Ase-381961,NA
NA,W-Oph-243913,NA
NA,W-Ase-255116,NA
NA,W-Ase-292869,NA
NA,W-Ase-368510,NA
NA,W-Por-134257,NA
NA,URM-2-2128,NA
NA,URM-2-1864,NA
NA,URM-2-3773,NA
NA,URM-2-4065,NA
NA,URM-2-4198,NA
NA,URM-2-1071,NA
NA,SLB-83781,NA
NA,W-Msc-386440,NA
NA,W-Msc-386048,NA
NA,W-Msc-386437,NA
NA,W-Msc-159928,NA
NA,W-Msc-386377,NA
NA,ITS-64279,NA
NA,W-Cha-105414,NA
NA,SLB-119335,NA
NA,W-Msc-183000,NA
NA,Chn-0721ac0c-7d19-46fa-9dcc-02da54310867,NA
NA,W-Msc-545044,NA
NA,W-Msc-544977,NA
NA,W-Bry-173982,NA
NA,SLB-145429,NA
NA,W-Ase-370831,NA
NA,W-Pho-128555,NA
NA,SLB-75746,NA
NA,W-Msc-430397,NA
NA,W-Iso-261827,NA
NA,W-Bch-444382,NA
NA,ITS-96038,NA
NA,ITS-97950,NA
NA,SLB-120057,NA
NA,W-Bch-441490,NA
NA,WBD-Eup-97,NA
NA,ITS-89654,NA
NA,W-Pol-266009,NA
NA,W-Pol-266010,NA
NA,W-Hyd-284249,NA
NA,W-Hyd-117320,NA
NA,W-Oct-290417,NA
NA,W-Hyd-117628,NA
NA,W-Hyd-135451,NA
NA,W-Hyd-135407,NA
NA,URM-Cn-4450,NA
NA,W-Oct-286695,NA
NA,W-Msc-505780,NA
NA,W-Msc-504512,NA
NA,W-Msc-546021,NA
NA,W-Msc-420752,NA
NA,W-Msc-542155,NA
NA,W-Oph-244889,NA
NA,W-Oph-245866,NA
NA,SLB-68942,NA
NA,W-Ase-380657,NA
NA,W-Ase-368808,NA
NA,W-Oph-242666,NA
NA,W-Ase-240758,NA
NA,W-Ech-568594,NA
NA,W-Ech-513094,NA
NA,W-Por-164219,NA
NA,URM-2-2048,NA
NA,URM-2-2005,NA
NA,URM-2-3514,NA
NA,URM-2-3648,NA
NA,URM-2-988,NA
NA,W-Gtr-114692,NA
NA,W-Sca-344594,NA
NA,W-Msc-449994,NA
NA,W-Msc-536543,NA
NA,W-Msc-545018,NA
NA,W-Hol-529595,NA
NA,SLB-98767,NA
NA,W-Msc-140721,NA
NA,W-Msc-511703,NA
NA,W-Msc-140816,NA
NA,W-Msc-534375,NA
NA,W-Iso-118801,NA
NA,ITS-96081,NA
NA,ITS-667657,NA
NA,ITS-667658,NA
NA,ITS-667660,NA
NA,W-Pol-333269,NA
NA,W-Pol-333271,NA
NA,W-Pol-332992,NA
NA,W-Pol-332560,NA
NA,W-Hyd-157917,NA
NA,W-Hyd-418879,NA
NA,W-Hyd-117821,NA
NA,Hex-7312,NA
NA,W-Hyd-117425,NA
NA,W-Hyd-117373,NA
NA,W-Hyd-117887,NA
NA,W-Hyd-117699,NA
NA,W-Hyd-117279,NA
NA,W-Hyd-117743,NA
NA,URM-Cn-10292,NA
NA,W-Hyd-287252,NA
NA,W-Msc-506763,NA
NA,W-Msc-504729,NA
NA,W-Ase-254837,NA
NA,W-Ase-345389,NA
NA,W-Ase-380747,NA
NA,W-Ase-378630,NA
NA,W-Oph-242670,NA
NA,W-Ase-369041,NA
NA,W-Ase-254842,NA
NA,W-Oph-242740,NA
NA,W-Oph-124854,NA
NA,W-Oph-124918,NA
NA,W-Hol-529459,NA
NA,W-Oph-242906,NA
NA,W-Ech-569742,NA
NA,W-Bry-111700,NA
NA,W-Por-167343,NA
NA,W-Por-169914,NA
NA,W-Bry-111663,NA
NA,SLB-66824,NA
NA,W-Bry-111418,NA
NA,URM-2-4064,NA
NA,URM-2-4194,NA
NA,W-Msc-386035,NA
NA,W-Msc-386400,NA
NA,W-Msc-386343,NA
NA,W-Msc-386360,NA
NA,W-Sca-344183,NA
NA,W-Msc-395234,NA
NA,W-Msc-536893,NA
NA,SLB-119368,NA
NA,W-Msc-413442,NA
NA,W-Pol-329812,NA
NA,W-Msc-146791,NA
NA,W-Msc-545059,NA
NA,ITS-682581,NA
NA,W-Msc-507364,NA
NA,SLB-190422,NA
NA,W-Msc-399334,NA
NA,W-Msc-509649,NA
NA,W-Msc-575295,NA
NA,W-Msc-578323,NA
NA,W-Iso-256048,NA
NA,ITS-96596,NA
NA,ITS-95933,NA
NA,ITS-97074,NA
NA,W-Bch-440384,NA
NA,W-Bch-441601,NA
NA,SLB-27845,NA
NA,W-Pol-131121,NA
NA,W-Pol-334720,NA
NA,URM-M-1442,NA
NA,W-Hyd-117782,NA
NA,W-Hyd-117370,NA
NA,W-Hyd-117598,NA
NA,W-Hyd-284982,NA
NA,W-Hyd-117768,NA
NA,W-Hyd-285860,NA
NA,URM-Cn-6244,NA
NA,SLB-69078,NA
NA,W-Ase-380775,NA
NA,SLB-66328,NA
NA,W-Hol-225804,NA
NA,W-Ase-255123,NA
NA,URM-2-1797,NA
NA,URM-2-2581,NA
NA,URM-2-2765,NA
NA,URM-2-3504,NA
NA,URM-2-3862,NA
NA,URM-2-4084,NA
NA,URM-2-973,NA
NA,URM-2-1124,NA
NA,URM-2-3,NA
NA,URM-2-11,NA
NA,URM-2-63,NA
NA,URM-2-311,NA
NA,URM-2-333,NA
NA,URM-2-437,NA
NA,URM-2-588,NA
NA,W-Sca-344168,NA
NA,W-Msc-343681,NA
NA,W-Msc-449949,NA
NA,W-Msc-464366,NA
NA,W-Pol-328709,NA
NA,SLB-97303,NA
NA,SLB-111574,NA
NA,SLB-153747,NA
NA,Chn-f41af29f-5e40-4cb4-8862-220e6e64b329,NA
NA,W-Oph-243916,NA
NA,W-Msc-403752,NA
NA,W-Msc-141630,NA
NA,ITS-551539,NA
NA,ITS-96093,NA
NA,ITS-96111,NA
NA,ITS-97045,NA
NA,ITS-98155,NA
NA,ITS-87294,NA
NA,ITS-85107,NA
NA,W-Pol-327435,NA
NA,Hex-5992,NA
NA,W-Hyd-284646,NA
NA,URM-Cn-4415,NA
NA,W-Hyd-285265,NA
NA,W-Hyd-287481,NA
NA,W-Oct-287562,NA
NA,W-Msc-397161,NA
NA,W-Msc-505934,NA
NA,W-Msc-156225,NA
NA,W-Oph-243980,NA
NA,W-Ase-368805,NA
NA,W-Oph-125033,NA
NA,SLB-66324,NA
NA,W-Oph-244266,NA
NA,SLB-66452,NA
NA,W-Por-170653,NA
NA,URM-2-1836,NA
NA,URM-2-3547,NA
NA,URM-2-4053,NA
NA,URM-2-630,NA
NA,W-Msc-140151,NA
NA,W-Sca-344446,NA
NA,W-Sca-344207,NA
NA,W-Cha-105431,NA
NA,SLB-119122,NA
NA,W-Msc-449951,NA
NA,W-Msc-450000,NA
NA,SLB-119530,NA
NA,W-Por-134380,NA
NA,W-Bra-235453,NA
NA,SLB-113180,NA
NA,SLB-118397,NA
NA,SLB-190089,NA
NA,W-Msc-391007,NA
NA,W-Msc-403751,NA
NA,W-Bch-442169,NA
NA,SLB-64873,NA
NA,W-Hyd-289899,NA
NA,W-Msc-138821,NA
NA,W-Oph-244022,NA
NA,W-Msc-545994,NA
NA,W-Oph-572090,NA
NA,W-Oph-244043,NA
NA,W-Oph-244260,NA
NA,W-Oph-243327,NA
NA,W-Oph-243405,NA
NA,ITS-158600,NA
NA,SLB-67642,NA
NA,SLB-67342,NA
NA,URM-2-1893,NA
NA,URM-2-1935,NA
NA,URM-2-3855,NA
NA,URM-2-4175,NA
NA,URM-2-1077,NA
NA,URM-2-187,NA
NA,URM-2-351,NA
NA,URM-2-602,NA
NA,URM-2-738,NA
NA,W-Sca-344129,NA
NA,W-Sca-344271,NA
NA,SLB-119334,NA
NA,SLB-119529,NA
NA,SLB-119543,NA
NA,SLB-119544,NA
NA,SLB-119568,NA
NA,W-Msc-545036,NA
NA,SLB-56831,NA
NA,SLB-97619,NA
NA,SLB-158004,NA
NA,W-Ase-255042,NA
NA,W-Msc-579084,NA
NA,W-Oph-243915,NA
NA,W-Msc-506939,NA
NA,SLB-190206,NA
NA,SLB-190276,NA
NA,W-Msc-420571,NA
NA,W-Msc-536436,NA
NA,W-Msc-558916,NA
NA,ITS-612378,NA
NA,ITS-660125,NA
NA,ITS-96617,NA
NA,WBD-Eup-90,NA
NA,W-Pol-130871,NA
NA,W-Pol-131009,NA
NA,W-Pol-131220,NA
NA,URM-M-1439,NA
NA,W-Hyd-292482,NA
NA,SLB-69728,NA
NA,W-Ase-380614,NA
NA,W-Msc-506773,NA
NA,W-Ase-292746,NA
NA,W-Ase-292882,NA
NA,W-Ech-220659,NA
NA,W-Ech-513143,NA
NA,URM-2-1092,NA
NA,URM-2-1136,NA
NA,URM-2-615,NA
NA,W-Nem-147240,NA
NA,W-Pol-332941,NA
NA,W-Bra-235579,NA
NA,SLB-97620,NA
NA,SLB-101854,NA
NA,SLB-154005,NA
NA,W-Bch-440206,NA
NA,W-Ase-178726,NA
NA,SLB-188852,NA
NA,W-Pho-128553,NA
NA,W-Msc-430414,NA
NA,SLB-77390,NA
NA,W-Msc-445374,NA
NA,W-Msc-581826,NA
NA,ITS-551983,NA
NA,ITS-660028,NA
NA,ITS-94279,NA
NA,ITS-96477,NA
NA,ITS-96124,NA
NA,ITS-96549,NA
NA,ITS-98012,NA
NA,SLB-9723,NA
NA,W-Oct-287556,NA
NA,URM-Cn-10268,NA
NA,URM-Cn-6268,NA
NA,W-Ase-254775,NA
NA,W-Ase-368527,NA
NA,W-Oph-243318,NA
NA,W-Oph-243431,NA
NA,ITS-158597,NA
NA,URM-2-3295,NA
NA,URM-2-547,NA
NA,URM-2-646,NA
NA,ITS-Mam-612597,NA
NA,SLB-97520,NA
NA,SLB-56007,NA
NA,SLB-154625,NA
NA,W-Bch-440471,NA
NA,SLB-75788,NA
NA,ITS-660135,NA
NA,ITS-96170,NA
NA,URM-Cn-10281,NA
NA,W-Oph-242631,NA
NA,SLB-67618,NA
NA,URM-2-853,NA
NA,URM-2-1097,NA
NA,URM-2-41,NA
NA,SLB-96837,NA
NA,URM-2-614,NA
NA,W-Msc-385818,NA
NA,SLB-119475,NA
NA,SLB-119577,NA
NA,W-Por-164605,NA
NA,SLB-166541,NA
NA,W-Oph-244366,NA
NA,W-Bch-211050,NA
NA,SLB-189632,NA
NA,SLB-190381,NA
NA,SLB-190383,NA
NA,SLB-190484,NA
NA,ITS-660123,NA
NA,W-Oph-244054,NA
NA,W-Ech-591102,NA
NA,W-Ech-513483,NA
NA,W-Ech-513000,NA
NA,W-Oph-382690,NA
NA,W-Oph-243420,NA
NA,W-Bry-470797,NA
NA,URM-2-1151,NA
NA,URM-2-137,NA
NA,URM-2-687,NA
NA,URM-2-696,NA
NA,SLB-130155,NA
NA,W-Bch-440444,NA
NA,W-Msc-445308,NA
NA,SLB-74686,NA
NA,W-Msc-254477,NA
NA,W-Msc-581807,NA
NA,ITS-552848,NA
NA,ITS-657028,NA
NA,SLB-65739,NA
NA,SLB-65922,NA
NA,W-Ech-513214,NA
NA,SLB-65694,NA
NA,SLB-65492,NA
NA,URM-2-37,NA
NA,SLB-130283,NA
NA,SLB-100444,NA
NA,W-Bch-440391,NA
NA,W-Bch-107451,NA
NA,Hex-3591,NA
NA,W-Por-134131,NA
NA,URM-2-2829,NA
NA,URM-2-620,NA
NA,URM-2-627,NA
NA,SLB-119333,NA
NA,SLB-119637,NA
NA,SLB-156238,NA
