shp,data_type,dupes,domain,category,layer,data_cols,raster,value
BCMCA_hu_CommercialFish_shrimpTrawl_marxan_data.shp,marxan,TRUE,hu,commercialfish,shrimptrawl,"UNIT_ID,AREA,COST,X530,ID",FALSE,
BCMCA_hu_CommercialFish_SidestripeShrimp_data.shp,feature,TRUE,hu,commercialfish,sidestripeshrimp,"FID_SDE_EC,OBJECTID,ID,GRIDCELL,CATCH_LBS,GRIDCELL_1,CATCH_LB_1,GRIDCELL_2,CATCH_LB_2,GRIDCELL_3,CATCH_LB_3,GRIDCELL_4,CATCH_LB_4,GRIDCELL_5,CATCH_LB_5,GRIDCELL_6,CATCH_LB_6,GRIDCELL_7,CATCH_LB_7,Cumu_Catch",TRUE,CATCH_LBS
BCMCA_hu_CommercialFish_sidestripeShrimp_marxan_data.shp,marxan,TRUE,hu,commercialfish,sidestripeshrimp,"UNIT_ID,AREA,COST,X531,ID",FALSE,
bcmca_hu_commercialFisheries_Sardines_Presence.shp,NA,FALSE,hu,commercialfisheries,sardines_presence,"FID_1,ID,X_TABS,WGT_MT",FALSE,
bcmca_hu_oceanenergy_offshorepetroleumtenures_exploratorywells_data.shp,feature,TRUE,hu,oceanenergy,offshorepetroleumtenures_exploratorywells,"KEY,GRID_LOCAT,FULL_NAME,SHORT_NAME,LAT_DD,LONG_DD,DEPTH,OVERBURDEN,BEDROCK,DATE_,COMPANY,STATUS,BASIN",FALSE,
bcmca_hu_oceanenergy_offshorepetroleumtenures_exploratorywells_marxan_data.shp,marxan,TRUE,hu,oceanenergy,offshorepetroleumtenures_exploratorywells,"UNIT_ID,AREA,X1100",FALSE,
bcmca_hu_oceanenergy_offshorepetroleumtenures_federal_data.shp,feature,TRUE,hu,oceanenergy,offshorepetroleumtenures_federal,"Z,EA_TYPE,FULL_ID,REP_ID,REP,SHORT_DESC,ISSUE_DATE,EXPIRY_DAT,HA",FALSE,
bcmca_hu_oceanenergy_offshorepetroleumtenures_federal_marxan_data.shp,marxan,TRUE,hu,oceanenergy,offshorepetroleumtenures_federal,"UNIT_ID,AREA,X1108,X1109,X1110,X1111,X1112",FALSE,
bcmca_hu_oceanenergy_offshorepetroleumtenures_provincial_data.shp,feature,TRUE,hu,oceanenergy,offshorepetroleumtenures_provincial,"AREA,PERIMETER,GRID_BLOCK,GRID_BLO_1,MAPUNITER,Tenure_ID,Status,Owner",FALSE,
bcmca_hu_oceanenergy_offshorepetroleumtenures_provincial_marxan_data.shp,marxan,TRUE,hu,oceanenergy,offshorepetroleumtenures_provincial,"UNIT_ID,AREA,X1105,X1106,X1107",FALSE,
bcmca_hu_oceanenergy_oilandgasprospectivity_data.shp,feature,TRUE,hu,oceanenergy,oilandgasprospectivity,"Id,Region,Comment",FALSE,
bcmca_hu_oceanenergy_oilandgasprospectivity_marxan_data.shp,marxan,TRUE,hu,oceanenergy,oilandgasprospectivity,"UNIT_ID,AREA,X1119,X1120",FALSE,
bcmca_hu_oceanenergy_tidalcurrentpower_data.shp,feature,FALSE,hu,oceanenergy,tidalcurrentpower,"ID,REGION,PROVINCE,SITENAME,CHART,LATITUDE,LONGITUDE,CURRENTSTA,MAXIMUMCUR,MAXIMUMCU1,MEANMAXIMU,MEANPOWERD,WIDTHOFPAS,AVERAGEDEP,FLOWCROSSS,MEANPOTENT,TYPEI,BRANCHESI,COORDINATE,XI,YI,LONGITUDEI,LATITUDEI,LENGTHI,AREAI,BEARINGI,SELECTIONM,SELECTIONI,VERSIONI",FALSE,
bcmca_hu_oceanenergy_TidalEnergyAreas_data.shp,feature,TRUE,hu,oceanenergy,tidalenergyareas,"ID,GRIDCODE",FALSE,
bcmca_hu_oceanenergy_tidalenergyareas_marxan_data.shp,marxan,TRUE,hu,oceanenergy,tidalenergyareas,"UNIT_ID,AREA,X1113,X1114",FALSE,
bcmca_hu_oceanenergy_WaveEnergyAreas_data.shp,feature,TRUE,hu,oceanenergy,waveenergyareas,"ID,GRIDCODE",FALSE,
bcmca_hu_oceanenergy_waveenergyareas_marxan_data.shp,marxan,TRUE,hu,oceanenergy,waveenergyareas,"UNIT_ID,AREA,X1115,X1116",FALSE,
bcmca_hu_oceanenergy_windenergy_data.shp,feature,TRUE,hu,oceanenergy,windenergy,"OBJECTID,E1,E2,EU,EU2,MG,ME,LATITUDE,LONGITUD,RUGOSITE,Shape_Leng,Shape_Area,class",TRUE,"E1,E2,EU,EU2,MG,ME,RUGOSITE,class"
bcmca_hu_oceanenergy_windenergy_marxan_data.shp,marxan,TRUE,hu,oceanenergy,windenergy,"UNIT_ID,AREA,X1117,X1118",FALSE,
bcmca_hu_shippingtrans_FerryRoutes_data.shp,feature,TRUE,hu,shippingtrans,ferryroutes,"ROUTE,TYPE,FERRY_ID,OPERATOR,ROUND_TRIP,FREQ_USE,ID",FALSE,
bcmca_hu_shippingtrans_ferryroutes_marxan_data.shp,marxan,TRUE,hu,shippingtrans,ferryroutes,"UNIT_ID,X1213,X1214,X1215,X1216,X1217",FALSE,
bcmca_hu_shippingtrans_pilotageareas_data.shp,feature,FALSE,hu,shippingtrans,pilotageareas,"OBJECTID,Area,Shape_Leng,Shape_Le_1,Shape_Area",FALSE,
bcmca_hu_shippingtrans_tankerexclusionzone_data.shp,feature,FALSE,hu,shippingtrans,tankerexclusionzone,NA,FALSE,
bcmca_hu_shippingtrans_TowBoatReserves_data.shp,feature,TRUE,hu,shippingtrans,towboatreserves,"RES_NO,WATERWAY,SITE_LOC,DIM_FT,DIM_M,COMM2,LWBCSTAT2,AREA,PERIMETER,ID",FALSE,
bcmca_hu_shippingtrans_towboatreserves_marxan_data.shp,marxan,TRUE,hu,shippingtrans,towboatreserves,"UNIT_ID,X1211",FALSE,
BCMCA_HU_ShippingTrans_VesselTraffic_Data.shp,feature,FALSE,hu,shippingtrans,vesseltraffic,"Id,XMIN,XMAX,YMIN,YMAX,FOC,NonFOC,Q1,Q2,Q3,Q4,L1,L2,L3,L4,L5,L6,L7,L8,T1,T2,T3,T4,T5,T6,T7,T8,Y1,Y2,Y3,Y4,Y5,Shape_Leng,Shape_Area",FALSE,
bcmca_hu_sportfish_anadromous_data.shp,feature,TRUE,hu,sportfish,anadromous,"OBJECTID,RFISH_ID,RI,LOCATION,SPECIES,OTHER_SPEC,START_SEAS,CLOSE_SEAS,START,CLOSE,TIMING,GEAR_TYPE,USE_LEVEL,COMMENTS,SOURCE1,SOURCE2,COMPILER,COMPILE_DA,ACCURACY,MAP_DATE,DATA_DATE,PROJECT,Shape_Leng,Shape_Area,ID",TRUE,RI
bcmca_hu_sportfish_anadromous_marxan_data.shp,marxan,TRUE,hu,sportfish,anadromous,"UNIT_ID,AREA,SPP_ID,DATA",FALSE,
bcmca_hu_sportfish_crab_data.shp,feature,TRUE,hu,sportfish,crab,"OBJECTID,RCRAB_ID,RI,RI_ABORIGI,RI_BIOLOGI,RI_COMMERC,RI_RECREAT,LOCATION,SPECIES,OTHER_SPEC,START_SEAS,CLOSE_SEAS,START,CLOSE,TIMING,GEAR_TYPE,COMMENTS,SOURCE1,SOURCE2,COMPILER,COMPILE_DA,ACCURACY,MAP_DATE,DATA_DATE,PROJECT",TRUE,"RI,RI_ABORIGI,RI_BIOLOGI,RI_COMMERC,RI_RECREAT"
bcmca_hu_sportfish_crab_marxan_data.shp,marxan,TRUE,hu,sportfish,crab,"SHAPE_AREA,SHAPE_LEN,Unit_ID,FID_1,UNIT_ID_1,AREA,ID,DATA",FALSE,
bcmca_hu_sportfish_groundfish_data.shp,feature,TRUE,hu,sportfish,groundfish,"OBJECTID,RGRNDF_ID,RI,LOCATION,SPECIES,OTHER_SPEC,START_SEAS,CLOSE_SEAS,START,CLOSE,TIMING,GEAR_TYPE,USE_LEVEL,COMMENTS,SOURCE1,SOURCE2,COMPILER,COMPILE_DA,ACCURACY,MAP_DATE,DATA_DATE,PROJECT,ID",TRUE,RI
bcmca_hu_sportfish_groundfish_marxan_data.shp,marxan,TRUE,hu,sportfish,groundfish,"UNIT_ID,AREA,SPP_ID,DATA",FALSE,
bcmca_hu_sportfish_prawnandshrimp_data.shp,feature,TRUE,hu,sportfish,prawnandshrimp,"OBJECTID,RPRAWN_ID,RI,RI_ABORIGI,RI_BIOLOGI,RI_COMMERC,RI_RECREAT,LOCATION,SPECIES,START_SEAS,CLOSE_SEAS,START,CLOSE,TIMING,GEAR_TYPE,COMMENTS,SOURCE1,SOURCE2,COMPILER,COMPILE_DA,MAP_DATE,DATA_DATE,PROJECT",TRUE,"RI,RI_ABORIGI,RI_BIOLOGI,RI_COMMERC,RI_RECREAT"
bcmca_hu_sportfish_prawnandshrimp_marxan_data.shp,marxan,TRUE,hu,sportfish,prawnandshrimp,"UNIT_ID,AREA,SPP_ID,DATA",FALSE,
bcmca_hu_tourismrec_anchorages_data.shp,feature,TRUE,hu,tourismrec,anchorages,"ANCHORA_ID,F_CODE,REL_IMPORT,REL_ABUNDA,NAME,DESCRPT,LOCATION,ANCHORA_TY,COMMENTS,DATA_SRC,SRC_PRJ,OBJECTID,CBCYC",TRUE,"REL_IMPORT,REL_ABUNDA"
bcmca_hu_tourismrec_anchorages_marxan_data.shp,marxan,TRUE,hu,tourismrec,anchorages,"UNIT_ID,AREA,X1415,X1416",FALSE,"X1415,X1416"
bcmca_hu_tourismrec_coastalcampsites_data.shp,feature,TRUE,hu,tourismrec,coastalcampsites,"RLTVMPRTNC,DSCRPTN,LOCATION,FACILITIES,SITE_TOTAL,COMMENTS,DTSRC,SRCPRJCT,TYPE,Site_No,Site_Name,Kayaking_A,Kayak_Club,Trail_Name,Latitude,Degrees_La,Longitude,Degrees_Lo,Coordinate,Site_Revie,Site_Rev_1,Site_Rev_2,Land_Photo,Camp_Photo,Air_Photo,Land_Pho_1,Camp_Pho_1,Air_Photo_,Campsite_U,Site_Confi,Land_Tenur,Tent_Sites,Data_Last_,Data_Updat,ILMB_Updat,ILMB_Date,Website_Up,Website_Da,Land_Commn,Camp_Comme,Other_Comm,Recreation,Marine_Cha,Topo_Sheet,Site_Acces,RI",TRUE,"RLTVMPRTNC,SITE_TOTAL"
bcmca_hu_tourismrec_coastalcampsites_marxan_data.shp,marxan,TRUE,hu,tourismrec,coastalcampsites,"UNIT_ID,AREA,X1417,X1418,X1419,X1420,X1421",FALSE,"X1417,X1418,X1419,X1420,X1421"
bcmca_hu_tourismrec_divesites_data.shp,feature,TRUE,hu,tourismrec,divesites,"DVNG_ST_ID,F_CODE,REL_IMPORT,DESCRIPTN,DIVE_TYPE,LOCATION,COMMENTS,DATA_SRC,SRC_PRJ",TRUE,REL_IMPORT
bcmca_hu_tourismrec_divesites_marxan_data.shp,marxan,TRUE,hu,tourismrec,divesites,"UNIT_ID,AREA,X1422,X1423,X1424",FALSE,"X1422,X1423,X1424"
bcmca_hu_tourismrec_kayakroutes_data.shp,feature,TRUE,hu,tourismrec,kayakroutes,"KYK_ROU_ID,F_CODE,REL_IMPOR,DESCRIPT,LOCATION,INTEN_GEN,INTEN_KYK,IN_SEASON,DAY_USD_I,DAY_USD_O,USER_IN_S,USER_OUT_S,CAPACITY,USER_ORI_C,USER_ORI_D,COMMENTS,DATA_SOURC,SRC_PRJ",FALSE,?
bcmca_hu_tourismrec_kayakroutes_marxan_data.shp,marxan,TRUE,hu,tourismrec,kayakroutes,"UNIT_ID,AREA,X1442,X1443,X1444,X1445",TRUE,"X1442,X1443,X1444,X1445"
bcmca_hu_tourismrec_marinas_data.shp,feature,TRUE,hu,tourismrec,marinas,"OBJECTID,Marina,Marina_Sou,Positionin,Location,facility_t,Updated,Contact,Title,Street_Add,Mailing_Ad,Postal_Cod,City,Province,Toll_Free,Telephone,Fax,Cell,Email,Website,VHF,Chart,Season,Notes,Customs,Pumpouts,Launch_Ram,Gasoline,Deisel,Propane,Lubricants,Groceries,Bait,Tackle,Moorage,Transient_,Live_Aboar,Max_Number,Max_Length,Average_De,Water,Garbage,Washrooms,Showers,Laundry,Restaurant,Bar,Lodging,Camping,Lift,Repairs,Charter,Powerboat_,Houseboat_,Sailboat_R,Rowboat_Re,Shore_Powe,RI",TRUE,"Max_Number,Max_Length,RI"
bcmca_hu_tourismrec_marinas_marxan_data.shp,marxan,TRUE,hu,tourismrec,marinas,"UNIT_ID,AREA,X1425,X1426,X1427,X1428,X1429,X1430,X1431,X1432,X1433,X1434,X1435",FALSE,"X1425,X1426,X1427,X1428,X1429,X1430,X1431,X1432,X1433,X1434,X1435"
bcmca_hu_tourismrec_recreationalboatingroutes_data.shp,feature,TRUE,hu,tourismrec,recreationalboatingroutes,"B_CRS_R_ID,F_CODE,REL_IMPORT,COMMENTS,OBJECTID",TRUE,REL_IMPORT
bcmca_hu_tourismrec_recreationalboatingroutes_marxan_data.shp,marxan,TRUE,hu,tourismrec,recreationalboatingroutes,"UNIT_ID,AREA,X1436,X1437,X1438,X1439,X1440,X1441",FALSE,"X1436,X1437,X1438,X1439,X1440,X1441"
dfo_endeavour_vent_zones.shp,NA,FALSE,NA,NA,dfo_endeavour_vent_zones,"PRIMARY,VENT_NAME,HECTARES,SQUAREKM,AREA,LEN",FALSE,
foreman_rms_tidal_albA.shp,NA,FALSE,NA,NA,foreman_rms_tidal_alba,"Longitude,Latitude,RMS_Tidal_",FALSE,
PacificCoastUpperOceanSubRegionsApril2013.shp,NA,FALSE,NA,NA,pacificcoastupperoceansubregionsapril2013,"Region,Id,Area",FALSE,
Sponge_Reefs_Hecate_Update_2008.shp,NA,FALSE,NA,NA,sponge_reefs_hecate_update_2008,SHAPE_AREA,FALSE,
