goal,model,lag,yrs,rgns,adj_r_squared,aic,model_error,intercept,factor_rgn_code_cc,factor_rgn_code_hg,factor_rgn_code_nc,factor_rgn_code_nv,factor_rgn_code_po,factor_rgn_code_sg,factor_rgn_code_wv,factor_year_2002,factor_year_2003,factor_year_2004,factor_year_2005,factor_year_2006,factor_year_2007,factor_year_2008,factor_year_2009,factor_year_2010,factor_year_2011,factor_year_2012,factor_year_2013,factor_year_2014,factor_year_2015,res_ecol,res_reg,res_soc,rmse,rsquared,mae,rmsesd,rsquaredsd,maesd
CW,intercept only,4,11,6,0.2352468910616332,-420.5107600411954,NA,-0.0066,-0.0085,-0.0301***,-0.0021,-0.0014,NA,-0.0056,-0.0042,-0.0070,0.0218*,0.0073,-0.0004,0.0135,0.0081,0.0032,0.0129,0.0064,-0.0034,0.0169°,NA,NA,NA,NA,NA,NA,0.019263137685888942,0.2300203582141994,0.013804765984285762,0.006163121679712249,0.16854127287392803,0.003675310817329254
CW,intercept only,5,10,6,0.2384934207583982,-356.45012144255463,NA,-0.0127,-0.0107,-0.0381***,-0.0034,-0.0036,NA,-0.0080,-0.0054,0.0167,0.0130,0.0119,0.0133,0.0328**,-0.0049,0.0176,0.0199°,0.0146,0.0041,NA,NA,NA,NA,NA,NA,NA,0.023742904454091468,0.20372262468793256,0.01673684726576992,0.008352457995112922,0.1897129810847228,0.0044953796016436965
CW,intercept only,6,9,6,0.41593257406658257,-346.9765012492547,NA,0.0028,-0.0130,-0.0469***,-0.0038,-0.0048,NA,-0.0065,0.0034,-0.0154,-0.0061,0.0018,0.0086,-0.0052,-0.0145,0.0009,0.0044,-0.0017,NA,NA,NA,NA,NA,NA,NA,NA,0.01948295158467562,0.4119039038774261,0.013738168230555639,0.006382170675745146,0.1630894106588535,0.0032808168017134562
FIS,d_prs ~ res_ecol + factor(year) + factor(rgn_code),1,14,7,0.47936796252463076,-420.6932686312214,NA,4.8446,0.1372,0.1461,-0.0814,0.0889,0.4577,-0.0679,0.2322,-0.0352°,0.0287,0.0573**,0.0204,0.0093,-0.0333°,-0.0644**,-0.0301,0.0032,0.0271,0.0140,0.0139,0.0929***,0.0391°,-5.6633,NA,NA,0.04288687819268997,0.3894332211567272,0.03241437160163457,0.007368175107345627,0.17280439392382277,0.0056277935708827454
FIS,d_prs ~ res_ecol + factor(year) + factor(rgn_code),2,13,7,0.6326428606855246,-329.92061749232596,NA,21.3511°,0.5675*,0.5991*,-0.3823°,0.2912**,1.9821*,-0.3629°,0.9429*,0.0298,0.1099***,0.1065***,0.0362,0.0052,-0.0635*,-0.0621*,0.0104,0.0586*,0.0681**,0.0486°,0.1419***,0.1727***,NA,-24.8393°,NA,NA,0.056933368675729824,0.5596731011958187,0.04532803871367041,0.007904566251608855,0.1086832525141506,0.00600381470208643
FIS,d_prs ~ res_ecol + factor(year) + factor(rgn_code),3,12,7,0.6462409140761958,-275.73037592700524,NA,25.0644,0.6767°,0.7191°,-0.4396,0.3600*,2.3381,-0.4165,1.1114°,0.0563°,0.1033**,0.0826*,-0.0315,-0.0819**,-0.1166***,-0.0864**,0.0090,0.0402,0.0437,0.0972**,0.1465***,NA,NA,-29.1540,NA,NA,0.06729491497706096,0.5602761097977721,0.052410697482910246,0.009182557414341257,0.12248736228053861,0.006955714035948501
FIS,d_prs ~ res_ecol + factor(year) + factor(rgn_code),4,11,7,0.6615806534362075,-233.90146267586903,NA,57.7396*,1.5052*,1.5905*,-1.0458*,0.7180**,5.3403*,-1.0198*,2.4791*,0.0280,0.0316,-0.0302,-0.1985***,-0.1717***,-0.1777***,-0.1265***,-0.0310,-0.0214,0.0571°,0.0555,NA,NA,NA,-66.9084*,NA,NA,0.07444505141725437,0.5720556015850806,0.05820932006099812,0.012499498486155778,0.15513517629382634,0.01002566484627278
FIS,d_prs ~ res_ecol + factor(year) + factor(rgn_code),5,10,7,0.6860634834739069,-209.870804667555,NA,69.7338*,1.8136*,1.9115*,-1.2634*,0.8685**,6.4443*,-1.2182*,2.9995*,0.0114,-0.0371,-0.1235**,-0.2658***,-0.1949***,-0.1795***,-0.1433***,-0.0491,0.0283,0.0573,NA,NA,NA,NA,-80.7943*,NA,NA,0.07666363933389492,0.5857862024139598,0.061327032995120816,0.010874105937824253,0.1233368384888632,0.009412691503414092
FIS,d_prs ~ res_ecol + factor(year) + factor(rgn_code),6,9,7,0.6838471137865842,-191.38747588250465,NA,43.7576,1.1705°,1.2382°,-0.7631,0.6433*,4.0538,-0.6957,1.9521°,-0.0272,-0.0860*,-0.1359***,-0.2227***,-0.1635***,-0.1621***,-0.1328***,0.0189,0.0605°,NA,NA,NA,NA,NA,-50.8140,NA,NA,0.0750972206386889,0.6170704002361922,0.05901701046810959,0.01293482725666724,0.11872656220425072,0.009084161486035773
FIS,d_prs ~ res_ecol + res_soc + factor(year) + factor(rgn_code),1,14,5,0.48012023942015114,-312.6060793165075,NA,15.9065,NA,-0.0014,-0.7393,-0.2616,NA,-0.7446,0.2045,-0.0209,0.0159,0.0569*,0.0108,0.0167,-0.0303,-0.0571*,-0.0144,-0.0037,0.0301,0.0110,0.0182,0.1252***,0.0534*,-18.2102,NA,0.3102,0.04502889691892904,0.37595155967418864,0.03481531278170964,0.008756807445220621,0.1622958414931214,0.006661492707450005
