goal,model,lag,yrs,rgns,adj_r_squared,aic,model_error,intercept,factor_rgn_code_cc,factor_rgn_code_hg,factor_rgn_code_nc,factor_rgn_code_nv,factor_rgn_code_po,factor_rgn_code_sg,factor_rgn_code_wv,factor_year_2002,factor_year_2003,factor_year_2004,factor_year_2005,factor_year_2006,factor_year_2007,factor_year_2008,factor_year_2009,factor_year_2010,factor_year_2011,factor_year_2012,factor_year_2013,factor_year_2014,factor_year_2015,res_ecol,res_reg,res_soc
CPP,d_prs ~ res_reg + res_ecol + factor(year) + factor(rgn_code),4,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPP,d_prs ~ res_reg + res_soc + factor(year) + factor(rgn_code),4,11,5,0.7751318761817709,-182.3441864422252,NA,0.7556,NA,0.1312°,0.2335*,0.3590***,NA,0.4368**,0.4378*,0.0371,0.0376,-0.0355,-0.0988**,-0.1221**,-0.1304***,-0.0643,-0.0110,0.0420,0.1201**,0.1730***,NA,NA,NA,NA,-0.1486,-1.3913°
CPP,d_prs ~ res_ecol + res_soc + factor(year) + factor(rgn_code),4,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPP,d_prs ~ res_reg + res_ecol + res_soc + factor(year) + factor(rgn_code),4,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPP,intercept only,4,11,6,0.41931324213509846,15.391002527652837,NA,0.2986**,-0.4838***,-0.4806***,-0.4243***,-0.3138**,NA,-0.2944**,-0.3616***,0.1357,0.1271,-0.0302,-0.1509,-0.1938,-0.2095,-0.1323,-0.0550,0.0750,0.2561*,0.3334*,NA,NA,NA,NA,NA,NA
CPP,d_prs ~ res_reg + factor(year) + factor(rgn_code),5,10,6,0.4177100464005491,23.956326393563067,NA,0.3909**,-0.5517***,-0.5022***,-0.4897***,-0.3354**,NA,-0.3195**,-0.3095**,0.0733,-0.0223,-0.1459,-0.2082,-0.2632°,-0.2369°,-0.1324,0.0382,0.1878,0.3947**,NA,NA,NA,NA,NA,-0.2589,NA
CPP,d_prs ~ res_ecol + factor(year) + factor(rgn_code),5,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPP,d_prs ~ res_soc + factor(year) + factor(rgn_code),5,10,5,0.7956074954848316,-159.7331241515797,NA,-0.0149,NA,0.0334,0.1159°,0.2531***,NA,0.2857***,0.2089*,0.0088,-0.0333,-0.1049**,-0.1332***,-0.1587***,-0.1463***,-0.0948*,-0.0172,0.0565,0.1292***,NA,NA,NA,NA,NA,NA,-0.2610
CPP,d_prs ~ res_reg + res_ecol + factor(year) + factor(rgn_code),5,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPP,d_prs ~ res_reg + res_soc + factor(year) + factor(rgn_code),5,10,5,0.799232492515512,-160.27504252723796,NA,0.6115,NA,0.1252,0.2292*,0.3797**,NA,0.4519**,0.4360*,0.0108,-0.0290,-0.0986*,-0.1250**,-0.1497***,-0.1385***,-0.0692°,0.0054,0.0870*,0.1573***,NA,NA,NA,NA,NA,-0.1427,-1.2136
CPP,d_prs ~ res_ecol + res_soc + factor(year) + factor(rgn_code),5,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPP,d_prs ~ res_reg + res_ecol + res_soc + factor(year) + factor(rgn_code),5,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPP,intercept only,5,10,6,0.4122082942609524,23.97459154902412,NA,0.3313**,-0.5171***,-0.5035***,-0.4353***,-0.2990**,NA,-0.2781*,-0.3580**,0.0733,-0.0229,-0.1467,-0.2091,-0.2602°,-0.2363°,-0.1641,0.0065,0.1393,0.3454*,NA,NA,NA,NA,NA,NA,NA
CPP,d_prs ~ res_reg + factor(year) + factor(rgn_code),6,9,6,0.480377133436829,-6.745455272374151,NA,0.3133**,-0.5161***,-0.4580***,-0.4297***,-0.2463*,NA,-0.2288*,-0.2008*,-0.0156,-0.0858,-0.1469,-0.2181°,-0.2324*,-0.2102°,-0.0181,0.1668,0.3352**,NA,NA,NA,NA,NA,NA,-0.3438°,NA
CPP,d_prs ~ res_ecol + factor(year) + factor(rgn_code),6,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPP,d_prs ~ res_soc + factor(year) + factor(rgn_code),6,9,5,0.8228672549527952,-146.08854254100152,NA,-0.2359,NA,0.0293,0.1103,0.2683***,NA,0.2922**,0.1989*,-0.0310,-0.0718°,-0.1065**,-0.1364***,-0.1432***,-0.1263**,-0.0550,0.0514,0.1171**,NA,NA,NA,NA,NA,NA,NA,-0.0086
CPP,d_prs ~ res_reg + res_ecol + factor(year) + factor(rgn_code),6,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPP,d_prs ~ res_reg + res_soc + factor(year) + factor(rgn_code),6,9,5,0.8226483640729421,-145.39381471692695,NA,0.2235,NA,0.0938,0.1905°,0.3590**,NA,0.4121*,0.3654°,-0.0296,-0.0687°,-0.1019**,-0.1303**,-0.1366***,-0.1206**,-0.0355,0.0687°,0.1406**,NA,NA,NA,NA,NA,NA,-0.1093,-0.7042
CPP,d_prs ~ res_ecol + res_soc + factor(year) + factor(rgn_code),6,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPP,d_prs ~ res_reg + res_ecol + res_soc + factor(year) + factor(rgn_code),6,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CPP,intercept only,6,9,6,0.46211951654002903,-5.019689385734246,NA,0.2286*,-0.4631***,-0.4345***,-0.3540***,-0.1959*,NA,-0.1724°,-0.2658**,-0.0156,-0.0865,-0.1480,-0.2192°,-0.2284*,-0.2095°,-0.0601,0.1247,0.2709*,NA,NA,NA,NA,NA,NA,NA,NA
CSS,d_prs ~ res_reg + factor(year) + factor(rgn_code),1,14,6,0.3059829253438149,-197.40057488693472,NA,-0.0002,-0.1037**,-0.1022**,-0.0966**,-0.0678*,NA,-0.0608°,-0.0700*,0.0492,0.1065*,0.1206**,0.1000*,0.0434,-0.0210,-0.0133,0.0392,0.0216,0.0876°,0.0743,0.1782***,0.1531**,0.1455**,NA,-0.0243,NA
CSS,d_prs ~ res_ecol + factor(year) + factor(rgn_code),1,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSS,d_prs ~ res_soc + factor(year) + factor(rgn_code),1,14,5,0.6231131942484109,-369.10516637641996,NA,0.0463,NA,0.0058,0.0335,0.0615**,NA,0.0765**,0.0611*,0.0119,0.0471**,0.0415*,0.0372*,0.0107,-0.0304°,-0.0334*,0.0045,-0.0006,0.0236,0.0288°,0.0553***,0.0824***,0.0713***,NA,NA,-0.1661
CSS,d_prs ~ res_reg + res_ecol + factor(year) + factor(rgn_code),1,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSS,d_prs ~ res_reg + res_soc + factor(year) + factor(rgn_code),1,14,5,0.6394446293902638,-372.40600014050574,NA,0.4048*,NA,0.0639*,0.1036*,0.1383**,NA,0.1754**,0.1940**,0.0130,0.0495**,0.0451**,0.0420*,0.0160,-0.0259,-0.0191,0.0172,0.0164,0.0392*,0.0456*,0.0721***,0.0991***,0.0880***,NA,-0.0795*,-0.7165*
CSS,d_prs ~ res_ecol + res_soc + factor(year) + factor(rgn_code),1,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSS,d_prs ~ res_reg + res_ecol + res_soc + factor(year) + factor(rgn_code),1,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSS,intercept only,1,14,6,0.31246589080020504,-199.1285126122069,NA,-0.0048,-0.1018**,-0.1070***,-0.0920**,-0.0647*,NA,-0.0570°,-0.0746*,0.0492,0.1064*,0.1205**,0.0999*,0.0437,-0.0209,-0.0163,0.0363,0.0170,0.0830°,0.0693,0.1732***,0.1481**,0.1405**,NA,NA,NA
CSS,d_prs ~ res_reg + factor(year) + factor(rgn_code),2,13,6,0.3831616108692738,-74.20057970611143,NA,0.0857,-0.2488***,-0.2449***,-0.2330***,-0.1750**,NA,-0.1595**,-0.1802**,0.1046,0.1845*,0.1787*,0.0920,-0.0256,-0.0766,-0.0200,0.0125,0.0570,0.1124,0.2040*,0.3036***,0.2605**,NA,NA,-0.0533,NA
CSS,d_prs ~ res_ecol + factor(year) + factor(rgn_code),2,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSS,d_prs ~ res_soc + factor(year) + factor(rgn_code),2,13,5,0.681302628879892,-258.2546847647848,NA,0.0829,NA,0.0110,0.0630,0.1188**,NA,0.1488**,0.1137*,0.0457°,0.0753**,0.0651*,0.0344,-0.0303,-0.0709*,-0.0382,-0.0060,0.0123,0.0401,0.0708*,0.1261***,0.1436***,NA,NA,NA,-0.2975
CSS,d_prs ~ res_reg + res_ecol + factor(year) + factor(rgn_code),2,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSS,d_prs ~ res_reg + res_soc + factor(year) + factor(rgn_code),2,13,5,0.6973258630249964,-261.9107036647641,NA,0.7100*,NA,0.1107*,0.1838**,0.2518**,NA,0.3206**,0.3450**,0.0477°,0.0795**,0.0715**,0.0428,-0.0211,-0.0631*,-0.0131,0.0162,0.0420,0.0674*,0.1002**,0.1555***,0.1730***,NA,NA,-0.1394*,-1.2586*
CSS,d_prs ~ res_ecol + res_soc + factor(year) + factor(rgn_code),2,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSS,d_prs ~ res_reg + res_ecol + res_soc + factor(year) + factor(rgn_code),2,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSS,intercept only,2,13,6,0.3886253230355866,-75.80795879573932,NA,0.0752,-0.2440***,-0.2533***,-0.2228***,-0.1681**,NA,-0.1513**,-0.1901**,0.1046,0.1844*,0.1785*,0.0918,-0.0250,-0.0765,-0.0265,0.0060,0.0470,0.1023,0.1930*,0.2926***,0.2495**,NA,NA,NA,NA
CSS,d_prs ~ res_reg + factor(year) + factor(rgn_code),3,12,6,0.3901405006651828,1.54731267989105,NA,0.2392*,-0.4159***,-0.3997***,-0.3883***,-0.2985**,NA,-0.2827**,-0.2995**,0.1339,0.2012°,0.1207,-0.0313,-0.1273,-0.1312,-0.0840,0.0009,0.0390,0.2109°,0.2876*,0.3969**,NA,NA,NA,-0.1089,NA
CSS,d_prs ~ res_ecol + factor(year) + factor(rgn_code),3,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSS,d_prs ~ res_soc + factor(year) + factor(rgn_code),3,12,5,0.7252639605997379,-207.49942762087065,NA,0.1361,NA,0.0212,0.0940°,0.1783***,NA,0.2146**,0.1655*,0.0400,0.0649°,0.0282,-0.0406,-0.1019**,-0.1065**,-0.0783*,-0.0255,-0.0033,0.0481,0.1077**,0.1546***,NA,NA,NA,NA,-0.4065
CSS,d_prs ~ res_reg + res_ecol + factor(year) + factor(rgn_code),3,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSS,d_prs ~ res_reg + res_soc + factor(year) + factor(rgn_code),3,12,5,0.7379372661716914,-210.51648872056262,NA,0.8768*,NA,0.1364*,0.2342**,0.3332***,NA,0.4157***,0.4373**,0.0423,0.0700*,0.0358,-0.0308,-0.0911**,-0.0973**,-0.0486,0.0007,0.0320,0.0805*,0.1425***,0.1895***,NA,NA,NA,-0.1653°,-1.5391*
CSS,d_prs ~ res_ecol + res_soc + factor(year) + factor(rgn_code),3,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSS,d_prs ~ res_reg + res_ecol + res_soc + factor(year) + factor(rgn_code),3,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSS,intercept only,3,12,6,0.39409682089412945,0.22779640643043564,NA,0.2167*,-0.4049***,-0.4123***,-0.3669***,-0.2841**,NA,-0.2658**,-0.3199***,0.1339,0.2010°,0.1204,-0.0316,-0.1260,-0.1310,-0.0973,-0.0125,0.0186,0.1901,0.2652*,0.3745**,NA,NA,NA,NA,NA
CSS,d_prs ~ res_reg + factor(year) + factor(rgn_code),4,11,6,0.41811754003776447,16.281322879997234,NA,0.3340**,-0.5027***,-0.4700***,-0.4574***,-0.3361**,NA,-0.3202**,-0.3311**,0.1357,0.1274,-0.0297,-0.1504,-0.1957,-0.2098,-0.1123,-0.0350,0.1056,0.2872*,0.3670**,NA,NA,NA,NA,-0.1632,NA
CSS,d_prs ~ res_ecol + factor(year) + factor(rgn_code),4,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSS,d_prs ~ res_soc + factor(year) + factor(rgn_code),4,11,5,0.7690107054454896,-181.06463075588425,NA,0.0944,NA,0.0311,0.1109*,0.2228***,NA,0.2592***,0.1967*,0.0350,0.0332,-0.0422,-0.1076**,-0.1317***,-0.1386***,-0.0909*,-0.0346,0.0102,0.0909*,0.1416***,NA,NA,NA,NA,NA,-0.3828
CSS,d_prs ~ res_reg + res_ecol + factor(year) + factor(rgn_code),4,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSS,d_prs ~ res_reg + res_soc + factor(year) + factor(rgn_code),4,11,5,0.7751318761817709,-182.3441864422252,NA,0.7556,NA,0.1312°,0.2335*,0.3590***,NA,0.4368**,0.4378*,0.0371,0.0376,-0.0355,-0.0988**,-0.1221**,-0.1304***,-0.0643,-0.0110,0.0420,0.1201**,0.1730***,NA,NA,NA,NA,-0.1486,-1.3913°
CSS,d_prs ~ res_ecol + res_soc + factor(year) + factor(rgn_code),4,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSS,d_prs ~ res_reg + res_ecol + res_soc + factor(year) + factor(rgn_code),4,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSS,intercept only,4,11,6,0.41931324213509846,15.391002527652837,NA,0.2986**,-0.4838***,-0.4806***,-0.4243***,-0.3138**,NA,-0.2944**,-0.3616***,0.1357,0.1271,-0.0302,-0.1509,-0.1938,-0.2095,-0.1323,-0.0550,0.0750,0.2561*,0.3334*,NA,NA,NA,NA,NA,NA
CSS,d_prs ~ res_reg + factor(year) + factor(rgn_code),5,10,6,0.4177100464005491,23.956326393563067,NA,0.3909**,-0.5517***,-0.5022***,-0.4897***,-0.3354**,NA,-0.3195**,-0.3095**,0.0733,-0.0223,-0.1459,-0.2082,-0.2632°,-0.2369°,-0.1324,0.0382,0.1878,0.3947**,NA,NA,NA,NA,NA,-0.2589,NA
CSS,d_prs ~ res_ecol + factor(year) + factor(rgn_code),5,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSS,d_prs ~ res_soc + factor(year) + factor(rgn_code),5,10,5,0.7956074954848316,-159.7331241515797,NA,-0.0149,NA,0.0334,0.1159°,0.2531***,NA,0.2857***,0.2089*,0.0088,-0.0333,-0.1049**,-0.1332***,-0.1587***,-0.1463***,-0.0948*,-0.0172,0.0565,0.1292***,NA,NA,NA,NA,NA,NA,-0.2610
CSS,d_prs ~ res_reg + res_ecol + factor(year) + factor(rgn_code),5,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSS,d_prs ~ res_reg + res_soc + factor(year) + factor(rgn_code),5,10,5,0.799232492515512,-160.27504252723796,NA,0.6115,NA,0.1252,0.2292*,0.3797**,NA,0.4519**,0.4360*,0.0108,-0.0290,-0.0986*,-0.1250**,-0.1497***,-0.1385***,-0.0692°,0.0054,0.0870*,0.1573***,NA,NA,NA,NA,NA,-0.1427,-1.2136
CSS,d_prs ~ res_ecol + res_soc + factor(year) + factor(rgn_code),5,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSS,d_prs ~ res_reg + res_ecol + res_soc + factor(year) + factor(rgn_code),5,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSS,intercept only,5,10,6,0.4122082942609524,23.97459154902412,NA,0.3313**,-0.5171***,-0.5035***,-0.4353***,-0.2990**,NA,-0.2781*,-0.3580**,0.0733,-0.0229,-0.1467,-0.2091,-0.2602°,-0.2363°,-0.1641,0.0065,0.1393,0.3454*,NA,NA,NA,NA,NA,NA,NA
CSS,d_prs ~ res_reg + factor(year) + factor(rgn_code),6,9,6,0.480377133436829,-6.745455272374151,NA,0.3133**,-0.5161***,-0.4580***,-0.4297***,-0.2463*,NA,-0.2288*,-0.2008*,-0.0156,-0.0858,-0.1469,-0.2181°,-0.2324*,-0.2102°,-0.0181,0.1668,0.3352**,NA,NA,NA,NA,NA,NA,-0.3438°,NA
CSS,d_prs ~ res_ecol + factor(year) + factor(rgn_code),6,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSS,d_prs ~ res_soc + factor(year) + factor(rgn_code),6,9,5,0.8228672549527952,-146.08854254100152,NA,-0.2359,NA,0.0293,0.1103,0.2683***,NA,0.2922**,0.1989*,-0.0310,-0.0718°,-0.1065**,-0.1364***,-0.1432***,-0.1263**,-0.0550,0.0514,0.1171**,NA,NA,NA,NA,NA,NA,NA,-0.0086
CSS,d_prs ~ res_reg + res_ecol + factor(year) + factor(rgn_code),6,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSS,d_prs ~ res_reg + res_soc + factor(year) + factor(rgn_code),6,9,5,0.8226483640729421,-145.39381471692695,NA,0.2235,NA,0.0938,0.1905°,0.3590**,NA,0.4121*,0.3654°,-0.0296,-0.0687°,-0.1019**,-0.1303**,-0.1366***,-0.1206**,-0.0355,0.0687°,0.1406**,NA,NA,NA,NA,NA,NA,-0.1093,-0.7042
CSS,d_prs ~ res_ecol + res_soc + factor(year) + factor(rgn_code),6,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSS,d_prs ~ res_reg + res_ecol + res_soc + factor(year) + factor(rgn_code),6,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CSS,intercept only,6,9,6,0.46211951654002903,-5.019689385734246,NA,0.2286*,-0.4631***,-0.4345***,-0.3540***,-0.1959*,NA,-0.1724°,-0.2658**,-0.0156,-0.0865,-0.1480,-0.2192°,-0.2284*,-0.2095°,-0.0601,0.1247,0.2709*,NA,NA,NA,NA,NA,NA,NA,NA
CW,d_prs ~ res_reg + factor(year) + factor(rgn_code),1,13,6,0.12419391359692311,-535.5728555125961,NA,-0.0014,-0.0022,-0.0074,-0.0008,-0.0004,NA,-0.0019,-0.0014,-0.0117,-0.0013,0.0053,-0.0071,0.0173°,-0.0150,-0.0024,0.0067,0.0120,-0.0196*,0.0068,-0.0004,0.0008,NA,NA,0.0026,NA
CW,d_prs ~ res_ecol + factor(year) + factor(rgn_code),1,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,d_prs ~ res_soc + factor(year) + factor(rgn_code),1,14,5,0.1385251149292821,-444.28203814224497,NA,0.0027,NA,-0.0048,0.0024,0.0028,NA,0.0016,0.0022,-0.0137,-0.0014,0.0061,-0.0080,0.0200°,-0.0175,-0.0029,0.0077,0.0139,-0.0227*,0.0084,0.0000,0.0014,0.0005,NA,NA,-0.0067
CW,d_prs ~ res_reg + res_ecol + factor(year) + factor(rgn_code),1,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,d_prs ~ res_reg + res_soc + factor(year) + factor(rgn_code),1,13,5,0.138525114929282,-444.2820381422449,NA,0.0009,NA,-0.0048,0.0024,0.0028,NA,0.0016,0.0022,-0.0137,-0.0014,0.0061,-0.0080,0.0200°,-0.0175,-0.0029,0.0077,0.0139,-0.0227*,0.0078,-0.0005,0.0010,NA,NA,0.0026,-0.0067
CW,d_prs ~ res_ecol + res_soc + factor(year) + factor(rgn_code),1,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,d_prs ~ res_reg + res_ecol + res_soc + factor(year) + factor(rgn_code),1,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,intercept only,1,14,6,0.124193913596923,-535.5728555125961,NA,0.0004,-0.0022,-0.0074,-0.0008,-0.0004,NA,-0.0019,-0.0014,-0.0117,-0.0013,0.0053,-0.0071,0.0173°,-0.0150,-0.0024,0.0067,0.0120,-0.0196*,0.0074,0.0001,0.0013,0.0005,NA,NA,NA
CW,d_prs ~ res_reg + factor(year) + factor(rgn_code),2,12,6,0.10688081581206821,-472.33722703253704,NA,-0.0633,-0.0045,-0.0150*,-0.0014,-0.0009,NA,-0.0042,-0.0039,-0.0012,0.0158,0.0098,0.0217*,0.0132,-0.0058,0.0161,0.0307**,0.0030,-0.0007,0.0019,-0.0021,NA,NA,NA,0.0770,NA
CW,d_prs ~ res_ecol + factor(year) + factor(rgn_code),2,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,d_prs ~ res_soc + factor(year) + factor(rgn_code),2,13,5,0.10926180803640773,-390.2791394837177,NA,-0.0176,NA,-0.0107,0.0028,0.0034,NA,-0.0000,0.0003,-0.0014,0.0183,0.0117,0.0253*,0.0151,-0.0069,0.0185,0.0356**,0.0037,-0.0008,0.0221°,0.0152,0.0157,NA,NA,NA,0.0013
CW,d_prs ~ res_reg + res_ecol + factor(year) + factor(rgn_code),2,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,d_prs ~ res_reg + res_soc + factor(year) + factor(rgn_code),2,12,5,0.10926180803640784,-390.27913948371776,NA,-0.0789,NA,-0.0107,0.0028,0.0034,NA,-0.0000,0.0003,-0.0014,0.0183,0.0117,0.0253*,0.0151,-0.0069,0.0185,0.0356**,0.0037,-0.0008,0.0021,-0.0024,NA,NA,NA,0.0895,0.0013
CW,d_prs ~ res_ecol + res_soc + factor(year) + factor(rgn_code),2,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,d_prs ~ res_reg + res_ecol + res_soc + factor(year) + factor(rgn_code),2,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,intercept only,2,13,6,0.10688081581206832,-472.33722703253716,NA,-0.0106,-0.0045,-0.0150*,-0.0014,-0.0009,NA,-0.0042,-0.0039,-0.0012,0.0158,0.0098,0.0217*,0.0132,-0.0058,0.0161,0.0307**,0.0030,-0.0007,0.0192°,0.0131,0.0135,NA,NA,NA,NA
CW,d_prs ~ res_reg + factor(year) + factor(rgn_code),3,11,6,0.12045074901329889,-431.600025200565,NA,-0.0632,-0.0065,-0.0226**,-0.0018,-0.0009,NA,-0.0051,-0.0041,0.0052,0.0098,0.0283*,0.0072,0.0119,0.0018,0.0297**,0.0107,0.0115,0.0006,0.0048,NA,NA,NA,NA,0.0751,NA
CW,d_prs ~ res_ecol + factor(year) + factor(rgn_code),3,NA,NA,NA,NA,NA model,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
