term,estimate,std.error,statistic,p.value,goal,n_obs,years,yr_lag,r_squared,aic,bic
(Intercept),-0.06764020757632595,0.019690604939356728,-3.4351513213862535,8.796699843628891e-4,SAL,104,13,3,0.8504931424041704,-271.35312367740914,-260.85323242427205
res_reg,0.057878198325775516,0.07078352952790443,0.8176788966557348,0.4155866459332136,SAL,104,13,3,0.8504931424041704,-271.35312367740914,-260.85323242427205
(Intercept),-0.07232460646859175,0.018135473606661456,-3.9880186223549043,1.308901209560764e-4,SPP,104,13,3,0.8665492197847255,-247.55850100851728,-237.0586097553802
res_reg,0.10934402058238021,0.06580566266524551,1.6616202337877068,0.09988559323158791,SPP,104,13,3,0.8665492197847255,-247.55850100851728,-237.0586097553802
(Intercept),-0.06011542945035508,0.04062311212423172,-1.479833186253994,0.14305125599883164,AO,84,12,4,0.8101977483219343,-52.32460746988686,-42.69773048082985
res_reg,-0.05231061879064034,0.10670426034924463,-0.4902392708541056,0.6253769331847545,AO,84,12,4,0.8101977483219343,-52.32460746988686,-42.69773048082985
(Intercept),-0.06136322560398749,0.07477619346202546,-0.820625158395504,0.4144263675705372,CPP,84,12,4,0.2798163407193415,47.55474857732355,57.18162556638056
res_reg,0.15366232520958018,0.16889094909806138,0.9098316163784528,0.3657878023353389,CPP,84,12,4,0.2798163407193415,47.55474857732355,57.18162556638056
(Intercept),-0.06136322560398749,0.07477619346202546,-0.820625158395504,0.4144263675705372,CSS,84,12,4,0.2798163407193415,47.55474857732355,57.18162556638056
res_reg,0.15366232520958018,0.16889094909806138,0.9098316163784528,0.3657878023353389,CSS,84,12,4,0.2798163407193415,47.55474857732355,57.18162556638056
(Intercept),-0.042787096730287445,0.023198607503052932,-1.844382113221954,0.06902431176352274,CW,84,12,4,0.9712927580348617,-402.81885101463405,-393.19197402557705
res_reg,0.050292695208684055,0.03251963273401495,1.546533308664301,0.12613002616700433,CW,84,12,4,0.9712927580348617,-402.81885101463405,-393.19197402557705
(Intercept),-0.11724512629013176,0.0227060645306597,-5.163604028862738,1.5162710991346046e-6,FIS,96,12,4,0.4843509752613941,-137.41874809514175,-127.24556896606174
res_reg,0.11598730046257402,0.2367468678357146,0.48992116146204273,0.625422858729781,FIS,96,12,4,0.4843509752613941,-137.41874809514175,-127.24556896606174
