year,stockid,stocklong,areaid,score,b_bmsy,f_fmsy
1991,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.7982496955742306,1.57302010248609,0.6039979515291898
1992,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.773001785266219,1.68296236771361,0.6295284544859298
1993,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.661225730088116,2.04238900403436,0.6940265672187466
1994,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.6887811343168679,1.95358948211982,0.6752146176716748
1995,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.7112803589003589,1.91976109281905,0.6859643031271443
1996,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.7595399727270221,1.65336252707543,0.5972793981195212
1997,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.4141953997579702,2.32993031309096,0.46626760663098726
1998,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.6774147377881228,1.2727931474417,0.4313311289007118
1999,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.5980518256364147,1.22627911215314,0.34063065787018826
2000,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.62509400311033,1.31507863406767,0.37153600355466304
2001,ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,0.6380272184239417,1.44193509394558,0.3863168210559335
2000,EULAPCOASTFRDU,Eulachon Pacific Coast of Canada Fraser River DU,Canada-DFO-PCOASTFRDU,0,0.409193363957981,NA
2001,EULAPCOASTFRDU,Eulachon Pacific Coast of Canada Fraser River DU,Canada-DFO-PCOASTFRDU,0,1.0370935258935,NA
2002,EULAPCOASTFRDU,Eulachon Pacific Coast of Canada Fraser River DU,Canada-DFO-PCOASTFRDU,0,2.42341242275115,NA
2003,EULAPCOASTFRDU,Eulachon Pacific Coast of Canada Fraser River DU,Canada-DFO-PCOASTFRDU,0.08256685057751426,4.55051240953272,0.03459131692577944
2004,EULAPCOASTFRDU,Eulachon Pacific Coast of Canada Fraser River DU,Canada-DFO-PCOASTFRDU,0.0821674699795848,4.40941124954721,0.032765577049530495
2005,EULAPCOASTFRDU,Eulachon Pacific Coast of Canada Fraser River DU,Canada-DFO-PCOASTFRDU,0.328446511182498,1.31224078786525,0.03251029849428349
2006,EULAPCOASTFRDU,Eulachon Pacific Coast of Canada Fraser River DU,Canada-DFO-PCOASTFRDU,0.30312208895957987,1.18172221487865,0.003568101668091293
2007,EULAPCOASTFRDU,Eulachon Pacific Coast of Canada Fraser River DU,Canada-DFO-PCOASTFRDU,0.5911677173521785,0.53618440794494,0.005645496107071513
2008,EULAPCOASTFRDU,Eulachon Pacific Coast of Canada Fraser River DU,Canada-DFO-PCOASTFRDU,0.5467669949438537,0.437413595955083,0.007272159338114588
2009,EULAPCOASTFRDU,Eulachon Pacific Coast of Canada Fraser River DU,Canada-DFO-PCOASTFRDU,0.29175421871967533,1.59444310783627,0.0071018577832187
2010,EULAPCOASTFRDU,Eulachon Pacific Coast of Canada Fraser River DU,Canada-DFO-PCOASTFRDU,0.2942294104286913,1.57680546283808,0.00683414094122077
2011,EULAPCOASTFRDU,Eulachon Pacific Coast of Canada Fraser River DU,Canada-DFO-PCOASTFRDU,0.07606607388560122,3.20299633167109,0.004873480619891258
2012,EULAPCOASTFRDU,Eulachon Pacific Coast of Canada Fraser River DU,Canada-DFO-PCOASTFRDU,0.27478169790771495,1.68263133282721,0.0027372671849094747
1951,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0,3.35501301322566,NA
1952,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0,2.00803741828617,NA
1953,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0,1.84898494951103,NA
1954,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.774561031339945,1.95087793732011,0.8874048649605583
1955,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.8990098591734298,1.64768416871749,0.766499935135294
1956,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.83047791489371,1.83904417021258,0.9194734668278365
1957,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.8394259386232019,1.19786390546279,1.3284592491014384
1958,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.9315375877571554,1.19289351581357,1.2547699297942756
1959,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.5980789481255783,1.43395741380089,1.5215368414995374
1960,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,1,1.12330806072444,1.0906118588325162
1961,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.789472200287615,1.92105559942477,1.0272324215686512
1962,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.697519991776985,2.10496001644603,1.0100732749806658
1963,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.47012466532502506,2.55975066934995,0.9621961417418983
1964,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.8193147218334099,1.60792105152371,1.3071623380255144
1965,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.8882137261005196,1.00153351431847,1.2894290191195843
1966,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.4082890262165879,2.20933819907971,1.4938546709287126
1967,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.6239288120565467,1.24756780195502,1.5008569503547626
1968,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.2684900748512144,0.57408000448528,1.1358799746987016
1969,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.9816519557215825,0.785321564577266,0.7990828986826216
1970,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.6833754531209202,1.20283429511201,0.4381433749953374
1971,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.37849519905144846,1.40662027073017,0.08970879891594116
1972,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.40703902539742,1.63028780494521,0.15474613408294216
1973,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.46953157024448194,1.69987326003433,0.25333144424319665
1974,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.5749721490875074,1.64519897389288,0.365694360273878
1975,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.6819855386830563,1.55324676538225,0.45787304764617154
1976,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.7644848796084283,1.36437195871177,0.5308398624096323
1977,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.8390776109697353,1.29727169844726,0.6160886982511262
1978,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.9787313122870975,1.09100052800449,0.7756929283281115
1979,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.5980521178490916,2.12981196469214,0.6547988241665468
1980,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.2879875671603026,2.68401041058053,0.4638410122439759
1981,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.17335348418165203,2.88282599654946,0.2991603968594366
1982,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.1255151875866769,2.80827015181111,0.07188837967904034
1983,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.2673454695623298,2.19939741978127,0.12698304375608283
1984,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.37233345667173423,1.93845196319705,0.2021455601697617
1985,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.4674350333458783,1.69490287038511,0.24903506938627878
1986,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.5083459211502713,1.53336520678536,0.24796609390583504
1987,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.3423894319511903,2.13229715951675,0.22934640364709455
1988,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.34180203897822914,2.05277092512918,0.19697571217898555
1989,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.48771445944395103,1.63525819459443,0.2549606912627945
1990,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.5954598651271641,1.37928312765944,0.33766841728818753
1991,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.5685030022896964,1.77194390994807,0.40910654702862403
1992,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.6026566002847509,1.78934027372035,0.4623882133579438
1993,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.6725554935118765,1.62531741529599,0.4771588491826158
1994,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.7754951718742054,1.30224208809648,0.5434230535705206
1995,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.8608929571969193,1.00153351431847,0.641020522510765
1996,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.8332964431850729,1.34200520529026,0.6094816493543691
1997,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.7355430972949943,1.55324676538225,0.5207558386699265
1998,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.6883527037246892,1.50851325853924,0.4471946188530553
1999,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.6098909119431116,1.4364426086255,0.35416104222069905
2000,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.6589696929089399,1.26744936055192,0.41025107761021706
2001,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.7186616431297136,1.113367281426,0.4784704492911013
2002,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.6574967954620108,1.33703481564104,0.408567766242298
2003,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.59556382651844475,1.33454962081643,0.33778723030679403
2004,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.5251783195050451,1.44389819309934,0.25734665086290875
2005,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.48879448722068064,1.05869299528454,0.2157651282522065
2006,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.5135542237015372,0.812658707647993,0.24406196994461402
2007,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.6896415638297188,0.551713251063775,0.21786451449232383
2008,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.4787509910592124,0.782836369752654,0.17337386333222257
2009,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.5758406803408525,0.653606238872851,0.09666317020427583
2010,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.3135616289189785,0.812658707647993,0.015499004478832578
2011,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.5932911760147025,0.519405718343824,2.7755575615628914e-17
2012,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.5573654237835662,0.593961563082172,2.7755575615628914e-17
2013,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.40897127388506443,0.733132473260422,2.7755575615628914e-17
2014,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.31208565077100087,1.06863377458299,0.013812172309715277
2015,HERRCC,Pacific herring Central Coast,Canada-DFO-CC,0.3217694824761949,1.21526026923507,0.024879408544222752
1951,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0,0.65359645694511,NA
1952,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0,0.756795897515391,NA
1953,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0,2.16432160084894,NA
1954,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.29142766022802213,2.76631833750891,0.5650575567876353
1955,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.19629034345629037,2.92398414949128,0.436051357298817
1956,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.2736746696195951,2.95265066076081,0.833271317287402
1957,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.5899697498994505,0.966061429782904,1.5280242000804396
1958,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0,0.765395850896248,1.9545962094122389
1959,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0,0.776862455404057,2.2200319514157103
1960,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.7350923543276688,1.07786082373404,1.411926116537865
1961,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.7280190334559855,1.94358946407362,0.7262974706791948
1962,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.22895464750804922,2.76058503525501,0.3648982225895268
1963,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.2601656548529772,2.53411959622578,0.2728136499511438
1964,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.8440283594827122,1.77159039645648,0.7733179089722613
1965,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.6683607178738112,1.68845751377487,1.409686961951164
1966,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0,0.470130784820167,1.5046836083178228
1967,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0,0.346864786361221,1.3449947260558983
1968,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.06567787768965755,0.3841312510116,0.8509023997063201
1969,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.5625802836643762,0.450064226931501,0.20540910979305005
1970,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.3221531280217072,0.805528966673579,0.02531786059623682
1971,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.308100165398807,1.10366068387661,0.00925733188435092
1972,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.34967295668062676,1.60532463109325,0.07898423721739697
1973,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.3525503207832817,2.00092248661266,0.19469298210379798
1974,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.3119243562409965,2.35065392410084,0.2774694690073515
1975,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.561755803823535,1.7887903032182,0.40749698866581163
1976,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.7171379521127116,1.7285906295522,0.5824921802965114
1977,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.941522827152607,1.45625877249174,0.7331689453172654
1978,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,1,1.18679356655823,0.9539138365066818
1979,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.47147359737930006,2.5570528052414,0.9167616557939121
1980,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.37002110853586684,2.69178540820815,0.7036007439290526
1981,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.2780542298496593,2.74625177962024,0.5003322779423386
1982,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.3171165915268202,2.27325434367313,0.24800529040403485
1983,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.14674246272835811,2.89531763822176,0.21183299626438207
1984,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.24371568468624474,2.52838629397187,0.23048226012145206
1985,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.36536264743731484,2.1069885783099,0.2566459263284941
1986,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.4859963162087217,1.68559086264792,0.26938003115970954
1987,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.29668830792547984,2.33058736621217,0.23704483890364758
1988,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.2994774295009078,2.19298811211846,0.1808717116437266
1989,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.3115767408983555,1.94358946407362,0.11471840763460509
1990,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.4678406839686551,1.46485872587259,0.19181792453560584
1991,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.5351313820571275,1.31292621614413,0.2687215794938601
1992,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.6052194506484347,0.963194778655952,0.34882222931249685
1993,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.781162432094485,0.624929945675588,0.45871301359338285
1994,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.5912467949338988,0.472997435947119,0.3371471599745222
1995,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.5039014715967955,0.808395617800531,0.23303025325348073
1996,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.4334203054338608,1.020527801195,0.15248034906726948
1997,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.24444190885322492,1.95792271970838,0.01946215866802197
1998,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.33094846078308365,1.19252686881213,0.03536966946638133
1999,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.4227665482871472,0.874328593720433,0.14030462661388257
2000,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.6890110466818443,0.624929945675588,0.22750544032005607
2001,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.662913073107705,0.530330458486164,0.22750544032005607
2002,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.4897299627156547,0.880061895974337,0.2168342431036054
2003,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.631961143908644,0.590530132152161,0.11189928595610414
2004,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.4804751274429462,0.693729572722442,0.024698472249930648
2005,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.6091633644773512,0.487330691581881,0.024698472249930648
2006,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.5038247277872274,0.656463108072063,7.28583859910259e-17
2007,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.5962352246620521,0.507397249470546,7.28583859910259e-17
2008,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.4581824745638201,0.696596223849394,7.28583859910259e-17
2009,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.5804968532078287,0.464397482566263,7.28583859910259e-17
2010,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.5124592282536018,0.647863154691206,7.28583859910259e-17
2011,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.5596862531486857,0.590530132152161,7.28583859910259e-17
2012,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.30000000000000004,1.25272654247813,7.28583859910259e-17
2013,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.30000000000000004,1.00906119668719,7.28583859910259e-17
2014,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.30000000000000004,0.971794732036809,7.28583859910259e-17
2015,HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,0.33561741478199225,0.779729106531009,7.28583859910259e-17
1951,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0,1.74977009494204,NA
1952,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0,1.79510092641723,NA
1953,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0,1.70443926346686,NA
1954,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.4311876709532317,2.52946039631518,0.672631370522198
1955,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.6095994050696714,2.19401224339883,0.7240518397790493
1956,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.965776615479345,1.56844676904131,0.8922859537253858
1957,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.8755580240015911,1.09700612169942,1.299553580798727
1958,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.9435243226063258,1.06074145651927,1.2451805419149393
1959,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.9122088696276046,1.54124827015621,1.2548651423421768
1960,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.92739065276458,1.55938060274628,1.2353858533398292
1961,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.938578116594235,1.62284376681153,1.0221092164879249
1962,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.825251037906275,1.84949792418745,1.153125063498243
1963,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.752721707545985,1.99455658490803,1.170053214382018
1964,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.78445328957861,1.93109342084278,1.138837864589213
1965,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.9976584311644843,1.32366027907533,1.2018732550684126
1966,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,1,0.997278292454015,1.1860720261064974
1967,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.9894430436712343,0.833180682513855,1.2084455650630126
1968,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.46460805424900525,0.5711684765873,0.9073232122240029
1969,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.8349146392098477,0.877604897359533,0.6113310162398259
1970,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.595541048699019,1.11513845428949,0.33776119851316466
1971,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.3381432395202939,1.10607228799445,0.04359227373747876
1972,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.37859740100268524,0.988212126158979,0.08982560114592601
1973,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.42904441701965346,1.06074145651927,0.14747933373674688
1974,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.4496854520834055,1.30552794648526,0.17106908809532062
1975,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.4753027392531636,1.21486628353489,0.2003459877179013
1976,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.472042469830514,1.4415204409108,0.19661996552058753
1977,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.3905750181573532,1.89482875566263,0.21330962239905354
1978,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.5235600800573498,1.65910843199168,0.3072130596543128
1979,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.5262912731279186,1.78603476012219,0.35899576141820977
1980,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.5433694933827036,1.62284376681153,0.3187752729682488
1981,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.49197526287980653,1.74977009494204,0.2996383849204928
1982,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.5097457773953762,1.53218210386117,0.24923687547723727
1983,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.5382294978683184,1.21486628353489,0.2722622832780783
1984,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.5818371172424798,1.1423369531746,0.32209956256283406
1985,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.5660548775599621,1.48685127238599,0.3040627172113853
1986,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.5089652322555125,1.3417926116654,0.23881740829201428
1987,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.40075584230720296,1.70443926346686,0.16729733713759654
1988,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.4185711519851806,1.42338810832073,0.13550988798306352
1989,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.3894688227748278,1.65004226569664,0.13835085208765951
1990,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.4396418157492141,1.56844676904131,0.1773954511428608
1991,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.29524706850353133,2.19401224339883,0.1738785147956383
1992,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.25636491300894626,2.36626940300453,0.17400016484308328
1993,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.20580332843477,2.59292356038044,0.1757403945766353
1994,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.36885828110301494,1.96735808602292,0.2072417646778793
1995,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.34934682117702237,2.07615208156336,0.21795206260206154
1996,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.2649556835051443,2.42066640077475,0.21824184572582428
1997,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.29831001253112904,2.31187240523431,0.2310302579724598
1998,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.41439904251047177,1.8132332590073,0.21868926924193605
1999,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.4274677412545107,1.78603476012219,0.2272064151045748
2000,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.39275887341236965,1.96735808602292,0.24288604973906805
2001,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.24509283413960278,2.53852656261022,0.2398029396095793
2002,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.22301836916262013,2.62012205926555,0.23649170630959554
2003,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.2808813450904273,2.41160023447971,0.24701297968641556
2004,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.3761582789602987,2.02175508379314,0.23877201918689456
2005,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.41538689642412596,1.94015958713781,0.26583061483017406
2006,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.41626481647567976,1.98549041861299,0.28537423273265927
2007,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.5369716106714784,1.47778510609095,0.27082469791026104
2008,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.5440901117897572,1.29646178019022,0.27896012775972256
2009,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.5408902477723306,1.09700612169942,0.27530314031123504
2010,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.5176121205623534,1.33272644537037,0.2486995663569753
2011,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.4925513531250435,1.49591743868102,0.22005868928576405
2012,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.48730078265227866,1.5140497712711,0.21799798041599602
2013,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.42811618181118005,1.75883626123708,0.21915276518661178
2014,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.4867202717679431,1.67724076458175,0.2674831899249058
2015,HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,0.4035735610092689,2.10335058044847,0.3176191662453058
1951,HERRWCVANI,Pacific herring West Coast of Vancouver Island,Canada-DFO-WCVANI,0,1.17804263503011,NA
1952,HERRWCVANI,Pacific herring West Coast of Vancouver Island,Canada-DFO-WCVANI,0,0.953773555847909,NA
1953,HERRWCVANI,Pacific herring West Coast of Vancouver Island,Canada-DFO-WCVANI,0,0.842898954903899,NA
1954,HERRWCVANI,Pacific herring West Coast of Vancouver Island,Canada-DFO-WCVANI,0.4219345483045256,1.0533087089681,1.6624523613563795
