species,variable,value,year,xl_sheet
sardines,harvest,10.4,2008,2008_2009_2010
scallops,harvest,0.03,2008,2008_2009_2010
sea cucumbers,harvest,1.5,2008,2008_2009_2010
sea urchins: green,harvest,0.07,2008,2008_2009_2010
sea urchins: red,harvest,1.9,2008,2008_2009_2010
shellfish,harvest,23.6,2008,2008_2009_2010
shrimp,harvest,0.7,2008,2008_2009_2010
sockeye,harvest,1.9,2008,2008_2009_2010
soles,harvest,4.2,2008,2008_2009_2010
spawn on kelp,harvest,0.14,2008,2008_2009_2010
tuna,harvest,5.4,2008,2008_2009_2010
wild salmon,harvest,5.4,2008,2008_2009_2010
wild shellfish,harvest,16.1,2008,2008_2009_2010
other-sum,harvest,16.2,2008,2008_2009_2010
other non farmed,harvest,13.7,2008,2008_2009_2010
arrowtooth flounder,landed_value,2,2008,2008_2009_2010
atlantic salmon,landed_value,381.8,2008,2008_2009_2010
chinook,landed_value,9,2008,2008_2009_2010
chum,landed_value,3,2008,2008_2009_2010
clams,landed_value,2.1,2008,2008_2009_2010
coho,landed_value,1.9,2008,2008_2009_2010
crabs,landed_value,37.4,2008,2008_2009_2010
dogfish,landed_value,1,2008,2008_2009_2010
farmed clams,landed_value,7.2,2008,2008_2009_2010
farmed oysters,landed_value,6.5,2008,2008_2009_2010
farmed salmon,landed_value,409.3,2008,2008_2009_2010
farmed scallops and mussels,landed_value,2.5,2008,2008_2009_2010
farmed shellfish,landed_value,16.2,2008,2008_2009_2010
food and bait,landed_value,0.7,2008,2008_2009_2010
geoducks,landed_value,25.8,2008,2008_2009_2010
grand total b.c.,landed_value,718.2,2008,2008_2009_2010
groundfish,landed_value,123.8,2008,2008_2009_2010
hake,landed_value,25.8,2008,2008_2009_2010
halibut,landed_value,38.5,2008,2008_2009_2010
herring,landed_value,16,2008,2008_2009_2010
lingcod,landed_value,5,2008,2008_2009_2010
other,landed_value,31.6,2008,2008_2009_2010
other groundfish,landed_value,1.5,2008,2008_2009_2010
other shellfish,landed_value,0.3,2008,2008_2009_2010
other-farmed,landed_value,9,2008,2008_2009_2010
other-wild,landed_value,2.5,2008,2008_2009_2010
pacific,landed_value,27.5,2008,2008_2009_2010
pacific cod,landed_value,1,2008,2008_2009_2010
pink,landed_value,0.2,2008,2008_2009_2010
pollock,landed_value,1,2008,2008_2009_2010
prawns,landed_value,26.3,2008,2008_2009_2010
rockfish,landed_value,21,2008,2008_2009_2010
roe herring,landed_value,11.7,2008,2008_2009_2010
sablefish,landed_value,23,2008,2008_2009_2010
salmon,landed_value,431.1,2008,2008_2009_2010
sardines,landed_value,2.3,2008,2008_2009_2010
scallops,landed_value,0.2,2008,2008_2009_2010
sea cucumbers,landed_value,2.9,2008,2008_2009_2010
sea urchins: green,landed_value,0.2,2008,2008_2009_2010
sea urchins: red,landed_value,2.4,2008,2008_2009_2010
shellfish,landed_value,115.7,2008,2008_2009_2010
shrimp,landed_value,1.9,2008,2008_2009_2010
sockeye,landed_value,7.7,2008,2008_2009_2010
soles,landed_value,4,2008,2008_2009_2010
spawn on kelp,landed_value,3.6,2008,2008_2009_2010
tuna,landed_value,17.8,2008,2008_2009_2010
wild salmon,landed_value,21.8,2008,2008_2009_2010
wild shellfish,landed_value,99.5,2008,2008_2009_2010
other-sum,landed_value,22.6,2008,2008_2009_2010
other non farmed,landed_value,13.6,2008,2008_2009_2010
arrowtooth flounder,wholesale_value,3.5,2008,2008_2009_2010
atlantic salmon,wholesale_value,455.5,2008,2008_2009_2010
chinook,wholesale_value,18.4,2008,2008_2009_2010
chum,wholesale_value,18.7,2008,2008_2009_2010
clams,wholesale_value,3,2008,2008_2009_2010
coho,wholesale_value,21.3,2008,2008_2009_2010
crabs,wholesale_value,60.1,2008,2008_2009_2010
dogfish,wholesale_value,4.6,2008,2008_2009_2010
farmed clams,wholesale_value,9.9,2008,2008_2009_2010
farmed oysters,wholesale_value,13.2,2008,2008_2009_2010
farmed salmon,wholesale_value,495.2,2008,2008_2009_2010
farmed scallops and mussels,wholesale_value,5.2,2008,2008_2009_2010
farmed shellfish,wholesale_value,28.3,2008,2008_2009_2010
food and bait,wholesale_value,3,2008,2008_2009_2010
geoducks,wholesale_value,33.6,2008,2008_2009_2010
grand total b.c.,wholesale_value,1249.6,2008,2008_2009_2010
groundfish,wholesale_value,321.7,2008,2008_2009_2010
hake,wholesale_value,83.1,2008,2008_2009_2010
halibut,wholesale_value,124.4,2008,2008_2009_2010
herring,wholesale_value,48.3,2008,2008_2009_2010
lingcod,wholesale_value,10.7,2008,2008_2009_2010
other,wholesale_value,61,2008,2008_2009_2010
other groundfish,wholesale_value,14.6,2008,2008_2009_2010
other shellfish,wholesale_value,2.5,2008,2008_2009_2010
other-farmed,wholesale_value,9.8,2008,2008_2009_2010
other-wild,wholesale_value,8.2,2008,2008_2009_2010
pacific,wholesale_value,39.7,2008,2008_2009_2010
pacific cod,wholesale_value,2.5,2008,2008_2009_2010
pink,wholesale_value,13.3,2008,2008_2009_2010
pollock,wholesale_value,2.4,2008,2008_2009_2010
prawns,wholesale_value,37.3,2008,2008_2009_2010
rockfish,wholesale_value,35.1,2008,2008_2009_2010
roe herring,wholesale_value,41.1,2008,2008_2009_2010
sablefish,wholesale_value,31.5,2008,2008_2009_2010
salmon,wholesale_value,633.3,2008,2008_2009_2010
sardines,wholesale_value,12.3,2008,2008_2009_2010
scallops,wholesale_value,0.3,2008,2008_2009_2010
sea cucumbers,wholesale_value,4.7,2008,2008_2009_2010
sea urchins: green,wholesale_value,0.8,2008,2008_2009_2010
sea urchins: red,wholesale_value,7.9,2008,2008_2009_2010
shellfish,wholesale_value,185.3,2008,2008_2009_2010
shrimp,wholesale_value,6.8,2008,2008_2009_2010
sockeye,wholesale_value,65.6,2008,2008_2009_2010
soles,wholesale_value,9.3,2008,2008_2009_2010
spawn on kelp,wholesale_value,4.2,2008,2008_2009_2010
tuna,wholesale_value,30.7,2008,2008_2009_2010
wild salmon,wholesale_value,138.1,2008,2008_2009_2010
wild shellfish,wholesale_value,157,2008,2008_2009_2010
other-sum,wholesale_value,51.2,2008,2008_2009_2010
other non farmed,wholesale_value,41.4,2008,2008_2009_2010
arrowtooth flounder,harvest,4.5,2007,2007_2008_2009
atlantic,harvest,73.3,2007,2007_2008_2009
chinook,harvest,1.4,2007,2007_2008_2009
chum,harvest,4.9,2007,2007_2008_2009
clams,harvest,0.9,2007,2007_2008_2009
coho,harvest,0.8,2007,2007_2008_2009
crabs,harvest,6.9,2007,2007_2008_2009
dogfish,harvest,4.1,2007,2007_2008_2009
farmed clams,harvest,1.7,2007,2007_2008_2009
farmed oysters,harvest,7.5,2007,2007_2008_2009
farmed salmon,harvest,78.9,2007,2007_2008_2009
farmed scallops & other,harvest,0.7,2007,2007_2008_2009
farmed shellfish,harvest,9.9,2007,2007_2008_2009
food and bait,harvest,1.1,2007,2007_2008_2009
geoducks,harvest,1.6,2007,2007_2008_2009
groundfish,harvest,122.3,2007,2007_2008_2009
hake,harvest,73.2,2007,2007_2008_2009
halibut,harvest,6,2007,2007_2008_2009
herring,harvest,11.8,2007,2007_2008_2009
lingcod,harvest,2.5,2007,2007_2008_2009
other,harvest,9.8,2007,2007_2008_2009
other groundfish,harvest,1.2,2007,2007_2008_2009
other shellfish,harvest,0.2,2007,2007_2008_2009
other-farmed,harvest,1.1,2007,2007_2008_2009
other-wild,harvest,0.3,2007,2007_2008_2009
pacific salmon,harvest,5.6,2007,2007_2008_2009
pacific cod,harvest,0.5,2007,2007_2008_2009
pink,harvest,11.2,2007,2007_2008_2009
pollock,harvest,3.2,2007,2007_2008_2009
prawns,harvest,2.8,2007,2007_2008_2009
rockfish,harvest,19.1,2007,2007_2008_2009
roe herring,harvest,10.5,2007,2007_2008_2009
sablefish,harvest,3.6,2007,2007_2008_2009
salmon,harvest,99.1,2007,2007_2008_2009
sardines,harvest,1.5,2007,2007_2008_2009
scallops,harvest,0.03,2007,2007_2008_2009
sea cucumbers,harvest,1.5,2007,2007_2008_2009
sea urchins: green,harvest,0.06,2007,2007_2008_2009
sea urchins: red,harvest,2.1,2007,2007_2008_2009
shellfish,harvest,26.8,2007,2007_2008_2009
shrimp,harvest,0.8,2007,2007_2008_2009
sockeye,harvest,1.9,2007,2007_2008_2009
soles,harvest,4.4,2007,2007_2008_2009
spawn on kelp,harvest,0.21,2007,2007_2008_2009
tuna,harvest,6.9,2007,2007_2008_2009
wild salmon,harvest,20.2,2007,2007_2008_2009
wild shellfish,harvest,16.9,2007,2007_2008_2009
other-sum,harvest,8.700000000000001,2007,2007_2008_2009
other non farmed,harvest,7.600000000000001,2007,2007_2008_2009
arrowtooth flounder,landed_value,1.5,2007,2007_2008_2009
atlantic,landed_value,352.1,2007,2007_2008_2009
chinook,landed_value,10.5,2007,2007_2008_2009
chum,landed_value,6.6,2007,2007_2008_2009
clams,landed_value,2.6,2007,2007_2008_2009
coho,landed_value,2.6,2007,2007_2008_2009
crabs,landed_value,38.9,2007,2007_2008_2009
dogfish,landed_value,2,2007,2007_2008_2009
farmed clams,landed_value,9.3,2007,2007_2008_2009
farmed oysters,landed_value,8.6,2007,2007_2008_2009
farmed salmon,landed_value,384.1,2007,2007_2008_2009
farmed scallops & other,landed_value,3.4,2007,2007_2008_2009
farmed shellfish,landed_value,21.3,2007,2007_2008_2009
food and bait,landed_value,0.9,2007,2007_2008_2009
geoducks,landed_value,31,2007,2007_2008_2009
groundfish,landed_value,135.5,2007,2007_2008_2009
hake,landed_value,22.5,2007,2007_2008_2009
halibut,landed_value,49.5,2007,2007_2008_2009
herring,landed_value,20.2,2007,2007_2008_2009
lingcod,landed_value,5.5,2007,2007_2008_2009
other,landed_value,24.3,2007,2007_2008_2009
other groundfish,landed_value,1.5,2007,2007_2008_2009
other shellfish,landed_value,0.4,2007,2007_2008_2009
other-farmed,landed_value,5,2007,2007_2008_2009
other-wild,landed_value,1.5,2007,2007_2008_2009
pacific salmon,landed_value,32,2007,2007_2008_2009
pacific cod,landed_value,1,2007,2007_2008_2009
pink,landed_value,5.2,2007,2007_2008_2009
pollock,landed_value,2,2007,2007_2008_2009
prawns,landed_value,28.7,2007,2007_2008_2009
rockfish,landed_value,22.5,2007,2007_2008_2009
roe herring,landed_value,12.8,2007,2007_2008_2009
sablefish,landed_value,23.5,2007,2007_2008_2009
salmon,landed_value,415.7,2007,2007_2008_2009
sardines,landed_value,0.2,2007,2007_2008_2009
scallops,landed_value,0.2,2007,2007_2008_2009
sea cucumbers,landed_value,2.5,2007,2007_2008_2009
sea urchins: green,landed_value,0.2,2007,2007_2008_2009
sea urchins: red,landed_value,2.9,2007,2007_2008_2009
shellfish,landed_value,131.5,2007,2007_2008_2009
shrimp,landed_value,2.8,2007,2007_2008_2009
sockeye,landed_value,6.7,2007,2007_2008_2009
soles,landed_value,4,2007,2007_2008_2009
spawn on kelp,landed_value,6.5,2007,2007_2008_2009
tuna,landed_value,17.6,2007,2007_2008_2009
wild salmon,landed_value,31.6,2007,2007_2008_2009
wild shellfish,landed_value,110.2,2007,2007_2008_2009
other-sum,landed_value,19.3,2007,2007_2008_2009
other non farmed,landed_value,14.3,2007,2007_2008_2009
arrowtooth flounder,wholesale_value,3,2007,2007_2008_2009
atlantic,wholesale_value,420.2,2007,2007_2008_2009
chinook,wholesale_value,23.8,2007,2007_2008_2009
chum,wholesale_value,30.2,2007,2007_2008_2009
clams,wholesale_value,2.8,2007,2007_2008_2009
coho,wholesale_value,19.9,2007,2007_2008_2009
crabs,wholesale_value,53.4,2007,2007_2008_2009
dogfish,wholesale_value,6.6,2007,2007_2008_2009
farmed clams,wholesale_value,10.2,2007,2007_2008_2009
farmed oysters,wholesale_value,17.2,2007,2007_2008_2009
farmed salmon,wholesale_value,469.3,2007,2007_2008_2009
farmed scallops & other,wholesale_value,5.4,2007,2007_2008_2009
farmed shellfish,wholesale_value,32.8,2007,2007_2008_2009
food and bait,wholesale_value,4,2007,2007_2008_2009
geoducks,wholesale_value,38.7,2007,2007_2008_2009
groundfish,wholesale_value,338,2007,2007_2008_2009
hake,wholesale_value,60.3,2007,2007_2008_2009
halibut,wholesale_value,163.2,2007,2007_2008_2009
herring,wholesale_value,57.1,2007,2007_2008_2009
lingcod,wholesale_value,11.1,2007,2007_2008_2009
other,wholesale_value,38.5,2007,2007_2008_2009
other groundfish,wholesale_value,10.9,2007,2007_2008_2009
other shellfish,wholesale_value,1.2,2007,2007_2008_2009
other-farmed,wholesale_value,5.6,2007,2007_2008_2009
other-wild,wholesale_value,6.3,2007,2007_2008_2009
pacific salmon,wholesale_value,49.1,2007,2007_2008_2009
pacific cod,wholesale_value,2.3,2007,2007_2008_2009
pink,wholesale_value,43.3,2007,2007_2008_2009
pollock,wholesale_value,4.3,2007,2007_2008_2009
prawns,wholesale_value,37.9,2007,2007_2008_2009
rockfish,wholesale_value,36.3,2007,2007_2008_2009
roe herring,wholesale_value,46,2007,2007_2008_2009
sablefish,wholesale_value,29,2007,2007_2008_2009
salmon,wholesale_value,651.4,2007,2007_2008_2009
sardines,wholesale_value,1.4,2007,2007_2008_2009
scallops,wholesale_value,0.5,2007,2007_2008_2009
sea cucumbers,wholesale_value,3.8,2007,2007_2008_2009
sea urchins: green,wholesale_value,1,2007,2007_2008_2009
sea urchins: red,wholesale_value,7.2,2007,2007_2008_2009
shellfish,wholesale_value,188.4,2007,2007_2008_2009
shrimp,wholesale_value,9.1,2007,2007_2008_2009
sockeye,wholesale_value,64.1,2007,2007_2008_2009
soles,wholesale_value,11,2007,2007_2008_2009
spawn on kelp,wholesale_value,7.1,2007,2007_2008_2009
tuna,wholesale_value,25.2,2007,2007_2008_2009
wild salmon,wholesale_value,182.1,2007,2007_2008_2009
wild shellfish,wholesale_value,155.6,2007,2007_2008_2009
other-sum,wholesale_value,32.9,2007,2007_2008_2009
other non farmed,wholesale_value,27.299999999999997,2007,2007_2008_2009
roe herring,harvest,23.8,2004,2004_2005_2006
arrowtooth flounder,harvest,5.4,2004,2004_2005_2006
chinook,harvest,2.4,2004,2004_2005_2006
chum,harvest,14.3,2004,2004_2005_2006
clams,harvest,1.4,2004,2004_2005_2006
coho,harvest,1.2,2004,2004_2005_2006
crabs,harvest,9.4,2004,2004_2005_2006
dogfish,harvest,5.5,2004,2004_2005_2006
farmed clams,harvest,1.6,2004,2004_2005_2006
farmed oysters,harvest,8.1,2004,2004_2005_2006
farmed scallops and other,harvest,0.2,2004,2004_2005_2006
farmed shellfish,harvest,9.9,2004,2004_2005_2006
food and bait,harvest,1.3,2004,2004_2005_2006
geoducks,harvest,1.8,2004,2004_2005_2006
groundfish,harvest,181.5,2004,2004_2005_2006
hake,harvest,124.9,2004,2004_2005_2006
halibut,harvest,7.3,2004,2004_2005_2006
herring,harvest,25.5,2004,2004_2005_2006
lingcod,harvest,2.9,2004,2004_2005_2006
other-sum,harvest,14.4,2004,2004_2005_2006
other groundfish,harvest,2.1,2004,2004_2005_2006
other shellfish,harvest,0.2,2004,2004_2005_2006
pacific cod,harvest,1.3,2004,2004_2005_2006
pink,harvest,3.6,2004,2004_2005_2006
pollock,harvest,2.9,2004,2004_2005_2006
prawns,harvest,2,2004,2004_2005_2006
rockfish,harvest,20.1,2004,2004_2005_2006
sablefish,harvest,3,2004,2004_2005_2006
scallops,harvest,0.04,2004,2004_2005_2006
sea cucumbers,harvest,1.4,2004,2004_2005_2006
sea urchins: green,harvest,0.13,2004,2004_2005_2006
sea urchins: red,harvest,4.4,2004,2004_2005_2006
shrimp,harvest,0.9,2004,2004_2005_2006
sockeye,harvest,4.4,2004,2004_2005_2006
soles,harvest,6.1,2004,2004_2005_2006
spawn on kelp,harvest,0.4,2004,2004_2005_2006
total,harvest,25.9,2004,2004_2005_2006
tuna,harvest,7.3,2004,2004_2005_2006
wild shellfish,harvest,21.7,2004,2004_2005_2006
wild salmon,harvest,25.9,2004,2004_2005_2006
farmed salmon,harvest,61.8,2004,2004_2005_2006
other non farmed,harvest,6.9,2004,2004_2005_2006
other-farmed,harvest,0.2,2004,2004_2005_2006
roe herring,harvest,28.7,2005,2004_2005_2006
arrowtooth flounder,harvest,16.5,2005,2004_2005_2006
chinook,harvest,2,2005,2004_2005_2006
chum,harvest,10.5,2005,2004_2005_2006
clams,harvest,1.4,2005,2004_2005_2006
coho,harvest,1.2,2005,2004_2005_2006
crabs,harvest,5.7,2005,2004_2005_2006
dogfish,harvest,5.4,2005,2004_2005_2006
farmed clams,harvest,1.9,2005,2004_2005_2006
farmed oysters,harvest,8,2005,2004_2005_2006
farmed scallops and other,harvest,0.2,2005,2004_2005_2006
farmed shellfish,harvest,10.1,2005,2004_2005_2006
food and bait,harvest,1.4,2005,2004_2005_2006
geoducks,harvest,1.6,2005,2004_2005_2006
groundfish,harvest,168.7,2005,2004_2005_2006
hake,harvest,102,2005,2004_2005_2006
halibut,harvest,7.4,2005,2004_2005_2006
herring,harvest,30.4,2005,2004_2005_2006
lingcod,harvest,2.8,2005,2004_2005_2006
other-sum,harvest,10.5,2005,2004_2005_2006
other groundfish,harvest,2,2005,2004_2005_2006
other shellfish,harvest,0.4,2005,2004_2005_2006
pacific cod,harvest,1.5,2005,2004_2005_2006
pink,harvest,12.6,2005,2004_2005_2006
pollock,harvest,1.9,2005,2004_2005_2006
prawns,harvest,2.2,2005,2004_2005_2006
rockfish,harvest,18.6,2005,2004_2005_2006
sablefish,harvest,4.7,2005,2004_2005_2006
scallops,harvest,0.02,2005,2004_2005_2006
sea cucumbers,harvest,1.6,2005,2004_2005_2006
sea urchins: green,harvest,0.03,2005,2004_2005_2006
sea urchins: red,harvest,4.1,2005,2004_2005_2006
shrimp,harvest,1,2005,2004_2005_2006
sockeye,harvest,0.9,2005,2004_2005_2006
soles,harvest,5.9,2005,2004_2005_2006
spawn on kelp,harvest,0.3,2005,2004_2005_2006
total,harvest,27.2,2005,2004_2005_2006
tuna,harvest,4.7,2005,2004_2005_2006
wild shellfish,harvest,18.1,2005,2004_2005_2006
wild salmon,harvest,27.2,2005,2004_2005_2006
farmed salmon,harvest,70.4,2005,2004_2005_2006
other non farmed,harvest,5.3999999999999995,2005,2004_2005_2006
other-farmed,harvest,0.4,2005,2004_2005_2006
roe herring,harvest,22.3,2006,2004_2005_2006
arrowtooth flounder,harvest,5.9,2006,2004_2005_2006
chinook,harvest,1.8,2006,2004_2005_2006
chum,harvest,9.8,2006,2004_2005_2006
clams,harvest,1,2006,2004_2005_2006
coho,harvest,0.5,2006,2004_2005_2006
crabs,harvest,4.2,2006,2004_2005_2006
dogfish,harvest,4,2006,2004_2005_2006
farmed clams,harvest,1.6,2006,2004_2005_2006
farmed oysters,harvest,7.5,2006,2004_2005_2006
farmed scallops and other,harvest,0.3,2006,2004_2005_2006
farmed shellfish,harvest,9.4,2006,2004_2005_2006
food and bait,harvest,1.3,2006,2004_2005_2006
geoducks,harvest,1.6,2006,2004_2005_2006
groundfish,harvest,149.4,2006,2004_2005_2006
hake,harvest,96.2,2006,2004_2005_2006
halibut,harvest,7.1,2006,2004_2005_2006
herring,harvest,23.9,2006,2004_2005_2006
lingcod,harvest,2.3,2006,2004_2005_2006
other-sum,harvest,10.3,2006,2004_2005_2006
other groundfish,harvest,2,2006,2004_2005_2006
other shellfish,harvest,0.1,2006,2004_2005_2006
pacific cod,harvest,1,2006,2004_2005_2006
pink,harvest,1.4,2006,2004_2005_2006
pollock,harvest,3.1,2006,2004_2005_2006
prawns,harvest,2.3,2006,2004_2005_2006
rockfish,harvest,17.7,2006,2004_2005_2006
sablefish,harvest,4.7,2006,2004_2005_2006
scallops,harvest,0.02,2006,2004_2005_2006
sea cucumbers,harvest,1.5,2006,2004_2005_2006
sea urchins: green,harvest,0.03,2006,2004_2005_2006
sea urchins: red,harvest,4.1,2006,2004_2005_2006
shrimp,harvest,0.8,2006,2004_2005_2006
sockeye,harvest,10,2006,2004_2005_2006
soles,harvest,5.4,2006,2004_2005_2006
spawn on kelp,harvest,0.3,2006,2004_2005_2006
total,harvest,23.5,2006,2004_2005_2006
tuna,harvest,6,2006,2004_2005_2006
wild shellfish,harvest,15.7,2006,2004_2005_2006
wild salmon,harvest,23.5,2006,2004_2005_2006
farmed salmon,harvest,78,2006,2004_2005_2006
other non farmed,harvest,3.6000000000000005,2006,2004_2005_2006
other-farmed,harvest,0.7,2006,2004_2005_2006
roe herring,landed_value,27.9,2004,2004_2005_2006
arrowtooth flounder,landed_value,1.8,2004,2004_2005_2006
chinook,landed_value,14.8,2004,2004_2005_2006
chum,landed_value,11.2,2004,2004_2005_2006
clams,landed_value,4.3,2004,2004_2005_2006
coho,landed_value,3.9,2004,2004_2005_2006
crabs,landed_value,46.8,2004,2004_2005_2006
dogfish,landed_value,3.6,2004,2004_2005_2006
farmed clams,landed_value,7.4,2004,2004_2005_2006
farmed oysters,landed_value,7.7,2004,2004_2005_2006
farmed scallops and other,landed_value,0.8,2004,2004_2005_2006
farmed shellfish,landed_value,15.9,2004,2004_2005_2006
food and bait,landed_value,0.5,2004,2004_2005_2006
geoducks,landed_value,34.4,2004,2004_2005_2006
groundfish,landed_value,147.5,2004,2004_2005_2006
hake,landed_value,26.6,2004,2004_2005_2006
halibut,landed_value,51.4,2004,2004_2005_2006
herring,landed_value,34,2004,2004_2005_2006
lingcod,landed_value,5.5,2004,2004_2005_2006
other-sum,landed_value,30.2,2004,2004_2005_2006
other groundfish,landed_value,1.5,2004,2004_2005_2006
other shellfish,landed_value,0.4,2004,2004_2005_2006
pacific cod,landed_value,1.8,2004,2004_2005_2006
pink,landed_value,1.1,2004,2004_2005_2006
pollock,landed_value,1.4,2004,2004_2005_2006
prawns,landed_value,30,2004,2004_2005_2006
rockfish,landed_value,26.5,2004,2004_2005_2006
sablefish,landed_value,20.4,2004,2004_2005_2006
scallops,landed_value,0.2,2004,2004_2005_2006
sea cucumbers,landed_value,2.8,2004,2004_2005_2006
sea urchins: green,landed_value,0.5,2004,2004_2005_2006
sea urchins: red,landed_value,7.4,2004,2004_2005_2006
shrimp,landed_value,2.6,2004,2004_2005_2006
sockeye,landed_value,22.2,2004,2004_2005_2006
soles,landed_value,7,2004,2004_2005_2006
spawn on kelp,landed_value,5.6,2004,2004_2005_2006
total,landed_value,53.2,2004,2004_2005_2006
tuna,landed_value,26.4,2004,2004_2005_2006
wild shellfish,landed_value,129.4,2004,2004_2005_2006
wild salmon,landed_value,53.2,2004,2004_2005_2006
farmed salmon,landed_value,225.2,2004,2004_2005_2006
other non farmed,landed_value,2.2000000000000006,2004,2004_2005_2006
other-farmed,landed_value,1.6,2004,2004_2005_2006
roe herring,landed_value,27.9,2005,2004_2005_2006
arrowtooth flounder,landed_value,4.7,2005,2004_2005_2006
chinook,landed_value,12.4,2005,2004_2005_2006
chum,landed_value,10.1,2005,2004_2005_2006
clams,landed_value,3.9,2005,2004_2005_2006
coho,landed_value,3.5,2005,2004_2005_2006
crabs,landed_value,29.5,2005,2004_2005_2006
dogfish,landed_value,4,2005,2004_2005_2006
farmed clams,landed_value,8.6,2005,2004_2005_2006
farmed oysters,landed_value,8.4,2005,2004_2005_2006
farmed scallops and other,landed_value,1,2005,2004_2005_2006
farmed shellfish,landed_value,18,2005,2004_2005_2006
food and bait,landed_value,0.6,2005,2004_2005_2006
geoducks,landed_value,32.7,2005,2004_2005_2006
groundfish,landed_value,157.2,2005,2004_2005_2006
hake,landed_value,29.7,2005,2004_2005_2006
halibut,landed_value,52,2005,2004_2005_2006
herring,landed_value,31.2,2005,2004_2005_2006
lingcod,landed_value,5.5,2005,2004_2005_2006
other-sum,landed_value,21.2,2005,2004_2005_2006
other groundfish,landed_value,1.5,2005,2004_2005_2006
other shellfish,landed_value,0.6,2005,2004_2005_2006
pacific cod,landed_value,2.1,2005,2004_2005_2006
pink,landed_value,4.2,2005,2004_2005_2006
pollock,landed_value,0.9,2005,2004_2005_2006
prawns,landed_value,43.2,2005,2004_2005_2006
rockfish,landed_value,24.5,2005,2004_2005_2006
sablefish,landed_value,25.5,2005,2004_2005_2006
scallops,landed_value,0.1,2005,2004_2005_2006
sea cucumbers,landed_value,3.2,2005,2004_2005_2006
sea urchins: green,landed_value,0.1,2005,2004_2005_2006
sea urchins: red,landed_value,6.5,2005,2004_2005_2006
shrimp,landed_value,3.3,2005,2004_2005_2006
sockeye,landed_value,3.8,2005,2004_2005_2006
soles,landed_value,6.8,2005,2004_2005_2006
spawn on kelp,landed_value,2.7,2005,2004_2005_2006
total,landed_value,34,2005,2004_2005_2006
tuna,landed_value,16.9,2005,2004_2005_2006
wild shellfish,landed_value,123.1,2005,2004_2005_2006
wild salmon,landed_value,34,2005,2004_2005_2006
farmed salmon,landed_value,318.3,2005,2004_2005_2006
other non farmed,landed_value,1.6000000000000005,2005,2004_2005_2006
other-farmed,landed_value,2.7,2005,2004_2005_2006
roe herring,landed_value,13.5,2006,2004_2005_2006
arrowtooth flounder,landed_value,2,2006,2004_2005_2006
chinook,landed_value,13.7,2006,2004_2005_2006
chum,landed_value,10.1,2006,2004_2005_2006
clams,landed_value,3.5,2006,2004_2005_2006
coho,landed_value,2.1,2006,2004_2005_2006
crabs,landed_value,23.1,2006,2004_2005_2006
dogfish,landed_value,3,2006,2004_2005_2006
farmed clams,landed_value,8.3,2006,2004_2005_2006
farmed oysters,landed_value,8.1,2006,2004_2005_2006
farmed scallops and other,landed_value,1.5,2006,2004_2005_2006
farmed shellfish,landed_value,17.9,2006,2004_2005_2006
food and bait,landed_value,0.6,2006,2004_2005_2006
geoducks,landed_value,33,2006,2004_2005_2006
groundfish,landed_value,154.6,2006,2004_2005_2006
hake,landed_value,26.9,2006,2004_2005_2006
halibut,landed_value,53.9,2006,2004_2005_2006
herring,landed_value,18.6,2006,2004_2005_2006
lingcod,landed_value,4.5,2006,2004_2005_2006
other-sum,landed_value,22.4,2006,2004_2005_2006
other groundfish,landed_value,1.5,2006,2004_2005_2006
other shellfish,landed_value,0.3,2006,2004_2005_2006
pacific cod,landed_value,1.3,2006,2004_2005_2006
pink,landed_value,0.5,2006,2004_2005_2006
pollock,landed_value,1.4,2006,2004_2005_2006
prawns,landed_value,38.7,2006,2004_2005_2006
rockfish,landed_value,23.4,2006,2004_2005_2006
sablefish,landed_value,30.5,2006,2004_2005_2006
scallops,landed_value,0.1,2006,2004_2005_2006
sea cucumbers,landed_value,2.6,2006,2004_2005_2006
sea urchins: green,landed_value,0.1,2006,2004_2005_2006
sea urchins: red,landed_value,5,2006,2004_2005_2006
shrimp,landed_value,2.7,2006,2004_2005_2006
sockeye,landed_value,32.4,2006,2004_2005_2006
soles,landed_value,6.2,2006,2004_2005_2006
spawn on kelp,landed_value,4.5,2006,2004_2005_2006
total,landed_value,58.8,2006,2004_2005_2006
tuna,landed_value,17.3,2006,2004_2005_2006
wild shellfish,landed_value,109.1,2006,2004_2005_2006
wild salmon,landed_value,58.8,2006,2004_2005_2006
farmed salmon,landed_value,407.4,2006,2004_2005_2006
other non farmed,landed_value,1.4999999999999978,2006,2004_2005_2006
other-farmed,landed_value,3.6,2006,2004_2005_2006
roe herring,wholesale_value,87,2004,2004_2005_2006
arrowtooth flounder,wholesale_value,2,2004,2004_2005_2006
chinook,wholesale_value,26.9,2004,2004_2005_2006
chum,wholesale_value,46.8,2004,2004_2005_2006
clams,wholesale_value,6,2004,2004_2005_2006
coho,wholesale_value,19.3,2004,2004_2005_2006
crabs,wholesale_value,67.4,2004,2004_2005_2006
dogfish,wholesale_value,9.9,2004,2004_2005_2006
farmed clams,wholesale_value,11,2004,2004_2005_2006
farmed oysters,wholesale_value,13.2,2004,2004_2005_2006
farmed scallops and other,wholesale_value,2.1,2004,2004_2005_2006
farmed shellfish,wholesale_value,26.3,2004,2004_2005_2006
food and bait,wholesale_value,3,2004,2004_2005_2006
