assessid,stockid,stocklong,scientificname,FisheryType,region,areaid,areaname,assessorid,mgmt,managementauthority
DFO-PSALMSUNDC-1954-1997-HIVELY,PSALMSUNDC,Pink Salmon SundChnl (Area 13),Oncorhynchus gorbuscha,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-SUNDC,SundChnl (Area 13),DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-PSALMSUTILC-1953-1996-HIVELY,PSALMSUTILC,Pink Salmon Sutil Chnl (Area 13),Oncorhynchus gorbuscha,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-SUTILC,Sutil Chnl (Area 13),DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-PSALMTHOMPSON-1957-1991-HIVELY,PSALMTHOMPSON,Pink Salmon Thompson,Oncorhynchus gorbuscha,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-THOMPSON,Thompson,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-PSALMTOBAI-1953-1997-HIVELY,PSALMTOBAI,Pink Salmon Toba Inlt (Area 15),Oncorhynchus gorbuscha,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-TOBAI,Toba Inlt (Area 15),DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-PSALMVANCI-1953-1997-HIVELY,PSALMVANCI,Pink Salmon VancIsland (Area 13),Oncorhynchus gorbuscha,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-VANCI,VancIsland (Area 13),DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-QROCKPCOASTIN-1918-2010-WATSON,QROCKPCOASTIN,Quillback rockfish Pacific Coast of Canada (Inside),Sebastes maliger,Rockfish,Canada West Coast,Canada-DFO-PCOASTIN,Pacific Coast of Canada (Inside),DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-QROCKPCOASTOUT-1918-2010-WATSON,QROCKPCOASTOUT,Quillback rockfish Pacific Coast of Canada (Outside),Sebastes maliger,Rockfish,Canada West Coast,Canada-DFO-PCOASTOUT,Pacific Coast of Canada (Outside),DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-PAC-RSOLE5AB-1944-2014-OSGOOD,RSOLE5AB,Rock sole Queen Charlotte Sound,Lepidopsetta bilineata,Flatfish,Canada West Coast,Canada-DFO-5AB,Queen Charlotte Sound,DFO-PAC,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-PAC-RSOLEHSTR-1945-2014-OSGOOD,RSOLEHSTR,Rock sole Hecate Strait,Lepidopsetta bilineata,Flatfish,Canada West Coast,Canada-DFO-HS,Hecate Strait,DFO-PAC,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-PAC-SABLEFPCAN-1913-2010-HIVELY,SABLEFPCAN,Sablefish Pacific Coast of Canada,Anoplopoma fimbria,Other Marine,Canada West Coast,Canada-DFO-PCOAST,Pacific Coast of Canada,DFO-PAC,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-PAC-SARDBC-2002-2012-OSGOOD,SARDBC,Pacific sardine British Columbia,Sardinops sagax,Forage Fish,Canada West Coast,Canada-DFO-PCOAST,Pacific Coast of Canada,DFO-PAC,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMA1-1980-2002-HIVELY,SSALMA1,Sockeye Salmon Area 1,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-A1,Area 1,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMA12-1980-2004-HIVELY,SSALMA12,Sockeye Salmon Area 12,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-A12,Area 12,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMA13-1980-2004-HIVELY,SSALMA13,Sockeye Salmon Area 13,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-A13,Area 13,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMA16-1980-2002-HIVELY,SSALMA16,Sockeye Salmon Area 16,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-A16,Area 16,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMA28-1980-2003-HIVELY,SSALMA28,Sockeye Salmon Area 28,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-A28,Area 28,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMA2E-1980-2002-HIVELY,SSALMA2E,Sockeye Salmon Area 2E,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-A2E,Area 2E,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMA2W-1980-2002-HIVELY,SSALMA2W,Sockeye Salmon Area 2W,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-A2W,Area 2W,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMA5-1980-2002-HIVELY,SSALMA5,Sockeye Salmon Area 5,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-A5,Area 5,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMA6-1980-2002-HIVELY,SSALMA6,Sockeye Salmon Area 6,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-A6,Area 6,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMA7-1980-2002-HIVELY,SSALMA7,Sockeye Salmon Area 7,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-A7,Area 7,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMA8-1980-2002-HIVELY,SSALMA8,Sockeye Salmon Area 8,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-A8,Area 8,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMADAMS-1948-2001-HIVELY,SSALMADAMS,Sockeye Salmon Adams,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-ADAMS,Adams,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMATNARKO-1953-1999-HIVELY,SSALMATNARKO,Sockeye Salmon Atnarko,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-ATNARKO,Atnarko (Area 8),DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMBARKS-1977-2004-HIVELY,SSALMBARKS,Sockeye Salmon Barkley Sound,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-BARKS,Barkley Sound,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMBIRKENH-1948-2001-HIVELY,SSALMBIRKENH,Sockeye Salmon Birkenhead,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-BIRKENH,Birkenhead,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMBOWRON-1948-2001-HIVELY,SSALMBOWRON,Sockeye Salmon Bowron,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-BOWRON,Bowron,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMCAYENNE-1976-2001-HIVELY,SSALMCAYENNE,Sockeye Salmon cayenne,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-CAYENNE,cayenne,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMCHILKO-1948-2001-HIVELY,SSALMCHILKO,Sockeye Salmon Chilko,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-CHILKO,Chilko,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMCHILKOS-1967-1989-HIVELY,SSALMCHILKOS,Sockeye Salmon Chilko South,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-CHILKOS,Chilko South,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMCHILLIW-1976-2001-HIVELY,SSALMCHILLIW,Sockeye Salmon chilliwack,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-CHILLIW,chilliwack,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMCULTUS-1948-2001-HIVELY,SSALMCULTUS,Sockeye Salmon Cultus,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-CULTUS,Cultus,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMFENNELL-1954-2001-HIVELY,SSALMFENNELL,Sockeye Salmon fennell,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-FENNELL,fennell,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMGATES-1948-2001-HIVELY,SSALMGATES,Sockeye Salmon Gates,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-GATES,Gates,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMGATESC-1968-2001-HIVELY,SSALMGATESC,Sockeye Salmon Gates Channel,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-GATESC,Gates Channel,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMHARRISON-1948-2001-HIVELY,SSALMHARRISON,Sockeye Salmon harrison,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-HARRISON,harrison,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMHORSEFLY-1948-2001-HIVELY,SSALMHORSEFLY,Sockeye Salmon Horsefly,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-HORSEFLY,Horsefly,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMKIMSQUIT-1953-1999-HIVELY,SSALMKIMSQUIT,Sockeye Salmon Kimsquit,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-KIMSQUIT,Kimsquit,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMKITLOPE-1953-1999-HIVELY,SSALMKITLOPE,Sockeye Salmon Kitlope,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-KITLOPE,Kitlope,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMLLAKE-1951-2005-HIVELY,SSALMLLAKE,Sockeye Salmon Long Lake,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-LLAKE,Long Lake,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMLSTUART-1948-2001-HIVELY,SSALMLSTUART,Sockeye Salmon Late Stuart,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-LSTUART,Late Stuart,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMMITCHELL-1949-2001-HIVELY,SSALMMITCHELL,Sockeye Salmon Mitchell,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-MITCHELL,Mitchell,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMNADINA-1948-2001-HIVELY,SSALMNADINA,Sockeye Salmon Nadina,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-NADINA,Nadina,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMNADINAC-1973-2001-HIVELY,SSALMNADINAC,Sockeye Salmon Nadina Channel,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-NADINAC,Nadina Channel,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMNAHANTLATCH-1975-2001-HIVELY,SSALMNAHANTLATCH,Sockeye Salmon nahatlatch,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-NAHANTLATCH,nahatlatch,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMNASS-1967-2002-HIVELY,SSALMNASS,Sockeye Salmon Nass,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-NASS,Nass,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMOWIKENOL-1948-2005-HIVELY,SSALMOWIKENOL,Sockeye Salmon Owikeno Lake,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-OWIKENOL,Owikeno Lake,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMPITT-1948-2001-HIVELY,SSALMPITT,Sockeye Salmon Pitt,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-PITT,Pitt,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMPORTAGE-1949-2001-HIVELY,SSALMPORTAGE,Sockeye Salmon Portage,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-PORTAGE,Portage,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMRAFT-1948-2001-HIVELY,SSALMRAFT,Sockeye Salmon Raft,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-RAFT,Raft,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMSCOTCH-1948-2001-HIVELY,SSALMSCOTCH,Sockeye Salmon scotch,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-SCOTCH,scotch,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMSEYMOUR-1948-2001-HIVELY,SSALMSEYMOUR,Sockeye Salmon Seymour,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-SEYMOUR,Seymour,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMSHUSWAP-1949-2001-HIVELY,SSALMSHUSWAP,Sockeye Salmon shuswap,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-SHUSWAP,shuswap,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMSKEENA-1950-2002-HIVELY,SSALMSKEENA,Sockeye Salmon Skeena,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-SKEENA,Skeena,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMSKIDEGATE-1983-1999-HIVELY,SSALMSKIDEGATE,Sockeye Salmon Skidegate,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-SKIDEGATE,Skidegate,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMSTELLAKO-1948-2001-HIVELY,SSALMSTELLAKO,Sockeye Salmon Stellako,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-STELLAKO,Stellako,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMTASEKO-1975-2001-HIVELY,SSALMTASEKO,Sockeye Salmon taseko,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-TASEKO,taseko,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMWEAVER-1948-2001-HIVELY,SSALMWEAVER,Sockeye Salmon Weaver,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-WEAVER,Weaver,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMWEAVERC-1965-2001-HIVELY,SSALMWEAVERC,Sockeye Salmon Weaver Channel,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-WEAVERC,Weaver Channel,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSALMYAKOUN-1992-1999-HIVELY,SSALMYAKOUN,Sockeye Salmon Yakoun,Oncorhynchus nerka,Pacific Salmon,Canada West Coast (Pacific Salmon),Canada-DFO-YAKOUN,Yakoun,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSHRIMPSMAGTSE-1992-2011-WATSON,SSHRIMPSMAGTSE,Sidestripe shrimp SMA GTSE,Pandalopsis dispar,Invertebrate,Canada West Coast,Canada-DFO-SMA-GTSE,Shrimp Management Area GTSE,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSHRIMPSMAPRD-1987-2011-WATSON,SSHRIMPSMAPRD,Sidestripe shrimp SMA PRD,Pandalopsis dispar,Invertebrate,Canada West Coast,Canada-DFO-SMA-PRD,Shrimp Management Area PRD,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSSHRIMPSMA14-1987-2011-WATSON,SSSHRIMPSMA14,Sidestripe shrimp SMA 14,Pandalopsis dispar,Invertebrate,Canada West Coast,Canada-DFO-SMA-14,Shrimp Management Area 14,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSSHRIMPSMA16-1987-2011-WATSON,SSSHRIMPSMA16,Sidestripe shrimp SMA 16,Pandalopsis dispar,Invertebrate,Canada West Coast,Canada-DFO-SMA-16,Shrimp Management Area 16,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSSHRIMPSMA18-19-1987-2011-WATSON,SSSHRIMPSMA18-19,Sidestripe shrimp SMA 18-19,Pandalopsis dispar,Invertebrate,Canada West Coast,Canada-DFO-SMA-18-19,Shrimp Management Areas 18 and 19,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-SSSHRIMPSMAFR-1987-2011-WATSON,SSSHRIMPSMAFR,Sidestripe shrimp SMA FR,Pandalopsis dispar,Invertebrate,Canada West Coast,Canada-DFO-SMA-FR,Shrimp Management Area FR,DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
DFO-YEYEROCKPCOASTIN-1918-2009-WATSON,YEYEROCKPCOASTIN,Yelloweye rockfish Pacific Coast of Canada (Inside),Sebastes ruberrimus,Rockfish,Canada West Coast,Canada-DFO-PCOASTIN,Pacific Coast of Canada (Inside),DFO,DFO,"Department of Fisheries and Oceans, Canada national management"
